org_id,organization,summary_status,top1_type,top1_evidence,top2_type,top2_evidence,top3_type,top3_evidence,search_notes,last_audited
D1-09,Southern Minnesota Regional Legal Services (SMRLS),top3_partial,substantive_independent_news,"Minnesota Women's Press, Feb. 25, 2026: SMRLS used as primary expert source explaining immigration law and constitutional rights.",government_or_directory_reference,"Minnesota legal-service and immigration-help listings confirm ongoing access-to-counsel role.",out_of_window_context,"Additional immigration legal-aid references exist outside the fixed period.","Rotating legal/resettlement search completed for this pass; substantive in-window journalism verified.",2026-09-23
D2-07,Groundwork Legal,top3_partial,substantive_independent_news,"Sahan Journal, Jan. 23, 2026: CEO Irina Vaynerman quoted regarding detained Minneapolis toddler transferred to Texas.",first_party_crisis_communication,"Groundwork Legal's own crisis/legal-response materials and family representation activity are retrievable.",partner_funder_secondary_reference,"Coalition/legal-network references confirm role in immigration defense ecosystem.","Rotating advocacy/legal search completed for this pass; strong in-window earned coverage verified.",2026-09-23
D2-08,Defend the 612,top3_partial,national_regional_external_coverage,"Washington Post, Feb. 2, 2026: extended feature centered on Defend the 612's ICE-watch network.",community_ethnic_media_mention,"Additional local/community references to ICE-watch and rapid-response infrastructure found, requiring item-level verification before promotion.",first_party_crisis_communication,"Defend the 612 organizing/rapid-response messaging is part of the crisis communication environment.","Rotating advocacy/community search completed; major national-origin coverage verified.",2026-09-23
D1-01,Voice in the Wilderness Organization,top3_partial,government_or_directory_reference,"Minnesota refugee/immigrant service listings identify the organization within resettlement/support infrastructure.",partner_funder_secondary_reference,"Institutional/community references found, but no substantive in-window independent-news uptake verified in this pass.",searched_no_recoverable_mention_yet,"No stronger earned-media item recovered yet.","Balanced search completed across exact name, refugee terms, Minnesota news and broader web; continue later rotation.",2026-09-23
D1-02,CHW Solutions,top3_partial,government_or_directory_reference,"Minnesota health/community-service references verify organizational presence and community-health work.",partner_funder_secondary_reference,"Secondary institutional references found; no clear immigration-crisis news uptake verified.",searched_no_recoverable_mention_yet,"No substantive in-window earned-media item recovered yet.","Name ambiguity requires continued careful searching; current result is service-infrastructure visibility rather than news uptake.",2026-09-23
D1-03,ESHARA - Ethnic Self-Help Alliance for Refugee Assistance,top3_partial,government_or_directory_reference,"Refugee-assistance listings document ESHARA's role in ethnic self-help/refugee services.",partner_funder_secondary_reference,"Secondary resettlement-network references found.",searched_no_recoverable_mention_yet,"No verified substantive independent-news item in the fixed window recovered in this pass.","Geographic eligibility remains to verify separately; mention search preserved regardless.",2026-09-23
D2-04,Black Immigrant Collective,top3_partial,first_party_crisis_communication,"Organization/network advocacy around Black immigrant rights and immigration enforcement is recoverable in first-party channels.",partner_funder_secondary_reference,"Coalition references place the group in broader immigrant-rights networks.",searched_no_recoverable_mention_yet,"No sufficiently verified in-window independent-news item recovered in this rotation.","Exact-name and crisis-term search completed; continue with leader/spokesperson aliases in later pass.",2026-09-23
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,top3_partial,first_party_crisis_communication,"Tenant/immigrant advocacy activity is visible through organization-owned and coalition channels.",community_ethnic_media_mention,"Local movement/community references found but not yet strong enough for substantive-news promotion.",searched_no_recoverable_mention_yet,"No verified in-window independent-news item admitted in this pass.","Search balanced against housing/tenant aliases as well as immigration terms.",2026-09-23
D3-01,Community Services Agency of Minnesota (COMSA-MN),top3_partial,government_or_directory_reference,"Community/service listings verify COMSA-MN within Minnesota immigrant/refugee support infrastructure.",partner_funder_secondary_reference,"Institutional references found.",searched_no_recoverable_mention_yet,"No substantive independent-news uptake verified in-window in this pass.","Continue with acronym and leader-name searches in later rotation.",2026-09-23
D3-09,The Urban Village,top3_partial,government_or_directory_reference,"Minnesota community-service references verify organizational presence.",first_party_crisis_communication,"Organization-owned community programming is retrievable.",searched_no_recoverable_mention_yet,"No sufficiently verified earned-media item found in this pass.","Generic organization name creates search noise; later pass should use address/leader aliases.",2026-09-23
D3-18,Asian Media Access,top3_partial,first_party_crisis_communication,"Organization-owned media/community programming is readily recoverable during the study period.",partner_funder_secondary_reference,"Minnesota Asian-community network references verify institutional role.",searched_no_recoverable_mention_yet,"No verified independent in-window crisis-news uptake found in this rotation.","Because the organization itself produces media, later coding must distinguish owned media from independent coverage.",2026-09-23
D3-20,MN Zej Zog,top3_partial,first_party_crisis_communication,"Community-led Hmong civic/organizing communication is recoverable in first-party channels.",community_ethnic_media_mention,"Hmong/community-media references are present but require date/item verification before promotion.",searched_no_recoverable_mention_yet,"No fully verified substantive in-window independent-news item admitted in this pass.","Continue with Hmong-language/community outlet search in later rotation.",2026-09-23
