source_batch,legacy_news_item_id,date,outlet,org_id,organization,matched_org_item_id,match_confidence,candidate_transformation,candidate_subtype,candidate_confidence,promotion_status,rationale
news_media_uptake_batch_03_reformer_startribune.csv,NM009,2025-12-17,Minnesota Reformer,D2-01,ACLU of Minnesota,D2-01-WEB-001,high,preserved,proceduralized_context,high,candidate_requires_pair_text_audit,"Same-day independent report centers the ACLU lawsuit, retains the constitutional-rights and observer/protester accountability frame, and places it in conventional legal reporting context."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM021,2025-12-17,Sahan Journal,D2-01,ACLU of Minnesota,D2-01-WEB-001,high,preserved,expanded_with_reported_detail,high,candidate_requires_pair_text_audit,"Detailed same-day reporting uses multiple ACLU quotations and keeps detention, observer-rights, racial-profiling and accountability claims central."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM017,2026-01-15,FOX 9,D2-01,ACLU of Minnesota,D2-01-WEB-003,high,preserved,television_legal_frame,medium,candidate_requires_pair_text_audit,"FOX 9 centers the ACLU class-action lawsuit and retains illegality, fear, rights and accountability language according to the verified collection record."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM041,2026-01-06,FOX 9,TC075,Unidos MN,TC075-LI-001,high,preserved,advocacy_to_news,high,candidate_requires_pair_text_audit,"Coverage is built around Unidos MN's account and rally and carries patient-safety, warrant and institutional-policy demands into local television reporting."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM042,2026-01-06,Sahan Journal,TC075,Unidos MN,TC075-LI-001,high,preserved,advocacy_to_news,high,candidate_requires_pair_text_audit,"Sahan centers Unidos MN's account, protest and demand for hospital protections, indicating strong continuity of the organization's advocacy frame."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM043,2026-01-07,CBS Minnesota / WCCO,TC075,Unidos MN,TC075-LI-001,high,mixed,contested_with_institutional_response,high,candidate_requires_pair_text_audit,"CBS attributes the core incident and policy concern to Unidos MN but also includes Hennepin Healthcare's response; organizational framing is carried forward while being institutionally contested/contextualized."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM036,2026-01-13,MPR News,TC041,International Institute of Minnesota,CI0039,high,preserved,affective_interpretation_centered,medium,candidate_requires_pair_text_audit,"MPR centers IIMN leadership interpreting the emotional and practical effects of Operation PARRIS on refugee families; the verified match indicates strong continuity with IIMN refugee-focused communication."
news_media_uptake_batch_08_alight_cvt.csv,NM046,2026-01-29,CBS Minnesota / WCCO,TC054,Alight,TC054-LI-003,high,preserved,service_care_frame_centered,medium,candidate_requires_pair_text_audit,"CBS centers Alight's emergency response, including food, care kits, reassurance and volunteer support, retaining the service/care pathway documented in the matched organizational item."
news_media_uptake_batch_08_alight_cvt.csv,NM051,2026-02-04,MPR News,TC073,Center for Victims of Torture,TC073-LI-003,high,mixed,expanded_multi_voice_trauma_frame,medium,candidate_requires_pair_text_audit,"MPR retains CVT's trauma/retraumatization interpretation but broadens it through multiple clinicians and clients and adds hope/community-support elements; likely continuity plus expansion rather than simple one-to-one preservation."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM023,2026-02-06,Sahan Journal,TC064,The Advocates for Human Rights,TC064-LI-003,high,preserved,legal_advocacy_to_news,high,candidate_requires_pair_text_audit,"Advocates remains central to the story's interpretation of Operation PARRIS, with rights violations, organizational response and legal strategy carried into journalistic coverage."
news_media_uptake_batch_03_reformer_startribune.csv,NM012,2026-02-02,Minnesota Star Tribune,TC073,Center for Victims of Torture,TC073-WEB-007,medium,amplified,human_consequence_foregrounded,medium,candidate_requires_pair_text_audit,"The column centers six CVT clients and explicitly foregrounds parallels between Minnesota detention and abusive security environments they fled; this appears to heighten the human-consequence dimension of the matched CVT frame."
news_media_uptake_batch_06_mpr_sahan_extended.csv,NM038,2026-03-25,Sahan Journal,TC057,Immigrant Law Center of Minnesota,, ,not_assessable,no_reliable_owned_match,high,candidate_only,"Strong news-media affective-intermediation case, but no matched organization-owned item is recorded; transformation should remain not_assessable even though within-news textual analysis is possible."
