search_pass_id,org_id,organization,media_layer,query_focus,outcome,verified_items_added,candidate_items,followup_needed,notes,audit_date
SP001,TC041,International Institute of Minnesota,national_amplification,"NPR; Reuters; national refugee detention coverage",verified_coverage_added,2,0,1,"Washington Post relation added in batch 15 and NPR relation added in batch 16; continue AP/Reuters/NYT audit for additional source appearances.",2026-09-26
SP002,TC057,Immigrant Law Center of Minnesota,national_amplification,"Washington Post; NOTUS; Reuters",verified_coverage_added,3,0,1,"Washington Post Jan 14 and Jan 20 plus NOTUS Jan 27 added; continue AP/NPR/NYT searches and distinguish syndication.",2026-09-26
SP003,TC064,The Advocates for Human Rights,national_amplification,"Washington Post; national legal/refugee coverage",verified_coverage_added,1,0,1,"Washington Post Jan 14 relation added; continue national litigation-related audit.",2026-09-26
SP004,TC078,Jewish Community Action,national_amplification,"Jewish Telegraphic Agency; national Jewish media",verified_coverage_added,1,0,1,"JTA Jan 21 coalition/mobilization uptake added; continue Jewish/community national outlets.",2026-09-26
SP005,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),national_amplification,"Reuters; national protest coverage",verified_coverage_added,1,0,1,"Reuters Jan 10 organizer identification added; syndication hosts should be tracked separately from original wire item.",2026-09-26
SP006,TC074,COPAL - Communities Organizing Latine Power and Action,national_amplification,"New York Times; national protest/observer coverage",verified_coverage_added,1,0,1,"New York Times Opinion/Interesting Times Jan 16 interview added; genre must remain distinguishable from straight-news coverage.",2026-09-26
SP007,TC069,Hmong Cultural Center,community_ethnic,"Hmong Times; exact-date resolution; Thi Dua Vang",candidate_date_unresolved,0,1,1,"Substantive Hmong Times article remains discoverable but exact publication date could not be defensibly resolved; keep outside dated primary corpus pending archive/date evidence.",2026-09-26
SP008,TC006,Ka Joog,community_ethnic,"Sahan; Somali/community media; Minnesota ICE coverage",searched_no_verified_coverage_yet,0,0,1,"No sufficiently verified in-window independent item identified in this pass; deeper Somali-language/community archive search needed.",2026-09-26
SP009,TC055,CAPI USA,community_ethnic,"Sahan; Minnesota ICE; food shelf/community fear",searched_no_verified_coverage_yet,0,0,1,"Search continued to surface organizational/partner material but no new verified independent in-window article for CAPI in this pass.",2026-09-26
SP010,TC060,SEWA-AIFW,community_ethnic,"Sahan; South Asian/community media; Minnesota ICE",searched_no_verified_coverage_yet,0,0,1,"No new verified independent in-window item found; later out-of-window coverage remains excluded.",2026-09-26
SP011,TC063,Afghan Cultural Society,community_ethnic,"community media; Minnesota ICE; refugee coverage",searched_no_verified_coverage_yet,0,0,1,"No new verified independent in-window item found; known Sahan feature remains outside study window.",2026-09-26
SP012,TC056,Karen Organization of Minnesota,community_ethnic,"Karen/community media; Minnesota ICE",searched_no_verified_coverage_yet,0,0,1,"No new verified independent in-window item identified in this pass; language/community archives remain to be explored.",2026-09-26
