item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,retrieval_status,source_repo_path
TC076-WEB-001,TC076,Minnesota Interfaith Coalition on Immigration,2025-11-03,website,https://mnicom.org/2025/11/03/november-vigil-2025/,vigil_notice,"November Vigil 2025","ICOM announces its November vigil, 'We Are All Family,' hosted by Edina Community Lutheran Church and centered on welcome, love, justice, and solidarity with immigrants.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-002,TC076,Minnesota Interfaith Coalition on Immigration,2025-12-02,website,https://mnicom.org/2025/12/02/december-vigil-2025/,vigil_notice,"December Vigil 2025","ICOM announces its December vigil, hosted by First Universalist Church, framing the immigration system as unjust while emphasizing direct accompaniment and support for people affected by it.",English,text_image,retrieved_from_archive_index,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-003,TC076,Minnesota Interfaith Coalition on Immigration,2025-12-10,website,https://mnicom.org/2025/12/10/whats-new-in-icom-aid/,article,"What’s new in ICOM AID?","ICOM profiles volunteer Patti Klucas and describes winter coat and Angel Tree programs providing clothing, gifts, and practical support to immigrant families during the winter season.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-004,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-05,website,https://mnicom.org/2026/01/05/january-2026-vigil/,vigil_notice,"January 13 Vigil 2026 – NEW LOCATION!!!","ICOM announces a January vigil honoring immigrant women and Indigenous land, while explaining a location change due to DHS restrictions and advising participants on attendance and parking.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-005,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-12,website,https://mnicom.org/2026/01/12/icom-general-meeting-january-2026-zoom-or-in-person/,event_notice,"January 19 ICOM General Meeting – ZOOM or in Person","ICOM invites new and returning supporters to a general meeting to receive organizational updates and learn how to get involved during a period described as crucial.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-006,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-18,website,https://mnicom.org/2026/01/18/icom-vigil-in-the-news/,article,"ICOM VIGIL in the NEWS","ICOM reflects on its long-running Whipple vigils, thanks participants in the Jan. 13 gathering, and links to media coverage of the event.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-007,TC076,Minnesota Interfaith Coalition on Immigration,2026-02-24,website,https://mnicom.org/2026/02/24/metro-surge-a-thank-you-to-those-helping-us-to-meet-the-need/,article,"Metro Surge: a thank you to those helping us to meet the need","ICOM reports sharply increased requests for food and rent support during intensified ICE operations, describes widespread donor generosity, and frames community kindness and solidarity as sustaining immigrant families through crisis.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC076-WEB-008,TC076,Minnesota Interfaith Coalition on Immigration,2026-03-13,website,https://mnicom.org/2026/03/13/its-that-time-again-join-icom-for-our-spring-fundraiser-on-saturday-may-16/,event_notice,"It’s that time again! Join ICOM for our Spring Fundraiser on Saturday, May 16.","ICOM promotes its spring fundraiser under the theme 'Be the Light,' emphasizing volunteers, staff, donors, community stories, and continued support for its work.",English,text_image,retrieved_from_archive_index,research_workspace/05_data/raw/communication_items_batch_19_ICOM_web_verified.csv
TC077-WEB-001,TC077,ISAIAH,2026-01-12,website,https://www.isaiahmn.org/stories/mn-clergy-call-for-ice-out,open_letter,"Hundreds of MN Clergy Urge Congressional Delegation to Remove ICE from the State","ISAIAH publishes a Minnesota clergy letter urging the congressional delegation to call for an end to the ICE surge, seek accountability after Renee Good's killing, and respond to fear and disruption affecting immigrant communities, workers, schools, childcare centers, and faith communities.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_20_ISAIAH_web_verified.csv
TC077-WEB-002,TC077,ISAIAH,2026-01-12,website,https://www.isaiahmn.org/stories/us-clergy-call-for-ice-out-mn,open_letter,"Thousands of Clergy Nationwide Urge U.S. Congressional Leaders to Remove ICE from Minnesota","ISAIAH publishes a national clergy letter expressing heartbreak and alarm about immigration enforcement in Minnesota, calling for an end to the ICE surge and congressional accountability while describing fear, family disruption, worker impacts, and community suffering.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_20_ISAIAH_web_verified.csv
TC055-EVT-001,TC055,CAPI USA,2026-03-09,website,https://www.capiusa.org/calendar-of-events/voaw48zx0c9lakpl0xcfc90n59cymu,event_notice,"Warehouse Training First Session","CAPI promotes a March 9-19 warehouse training program offering hands-on workforce skills for Minneapolis residents who are unemployed or underemployed.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_21_CAPI_web_verified.csv
TC055-EVT-002,TC055,CAPI USA,2026-03-14,website,https://www.capiusa.org/calendar-of-events,event_notice,"First Time Homestretch Workshop","CAPI promotes a first-time homebuyer workshop offering guidance from trusted experts to help participants plan for homeownership.",English,text,retrieved_from_calendar_index,research_workspace/05_data/raw/communication_items_batch_21_CAPI_web_verified.csv
TC055-EVT-003,TC055,CAPI USA,2026-03-20,website,https://www.capiusa.org/calendar-of-events/financial-literacy-workshop-1,event_notice,"Financial Literacy Workshop","CAPI offers a free financial-literacy workshop covering budgeting, banking, credit building, and saving.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_21_CAPI_web_verified.csv
TC056-WEB-001,TC056,Karen Organization of Minnesota,2025-11-04,website,https://mnkaren.org/news/new-executive-director-of-the-karen-organization-of-minnesota/,news_update,"New Executive Director of the Karen Organization of Minnesota","KOM announces Alice Buckner as its next executive director, highlighting her nonprofit-management experience, commitment to the communities KOM serves, and plans for strategic leadership development.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_22_KOM_web_verified.csv
