item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC074-WEB-001,TC074,COPAL,2026-01-07,website,advocacy,ethnocultural,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,1,2,3,3,3,2,2,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,contact_official;share_information;protest,general,high,general_public,1,3,1,0,1,Fatal shooting framed as grave harm requiring accountability/protection.,Alarm heartbreak solidarity outrage defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-002,TC074,COPAL,2026-01-15,website,advocacy,ethnocultural,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3,3,2,3,2,3,3,3,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;share_information;protest,general,high,general_public,1,3,1,0,1,Escalating enforcement violence framed as fear confusion family trauma and disruption.,Fear anxiety outrage care solidarity empathy and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-003,TC074,COPAL,2026-01-22,website,advocacy,ethnocultural,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,2,0,3,1,1,0,0,0,0,3,3,0,explicit,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,protest;attend_event,specific,high,general_public,1,3,0,0,1,March mobilizes public participation against enforcement.,Solidarity defiance urgency and moral outrage dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-004,TC074,COPAL,2026-01-23,website,advocacy,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,2,0,1,0,1,1,0,implicit,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,attend_event;other,specific,moderate,ethnocultural_community,1,1,0,0,1,Caucus training converts public advocacy into civic efficacy.,Solidarity hope and mild defiance/urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC074-WEB-005,TC074,COPAL,2026-02-13,website,advocacy,ethnocultural,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,2,2,3,2,3,3,3,1,0,0,0,2,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;share_information;protest,general,high,general_public,1,3,1,0,1,End of surge is framed as insufficient given continuing fear trauma and economic harm.,Outrage solidarity care empathy and urgency remain high.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-006,TC074,COPAL,2026-02-17,website,advocacy,ethnocultural,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,3,2,1,3,0,1,0,1,2,0,mixed,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,contact_official;attend_event;share_information,specific,high,policymakers,1,2,0,0,1,Legislative agenda frames multiple policy areas as collective justice priorities.,Solidarity hope and collective efficacy dominate with moderate urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC074-WEB-007,TC074,COPAL,2026-02-20,website,advocacy,ethnocultural,1,1,0,1,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,3,2,1,1,0,0,2,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,attend_event;report_incident;safety_plan,specific,high,general_public,1,3,1,1,1,Observer training turns enforcement risk into documentation and response capacity.,Solidarity efficacy reassurance defiance and urgency are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-008,TC074,COPAL,2026-02-27,website,advocacy,coalition_network,1,1,1,0,1,0,0,0,1,0,1,1,1,1,3,2,0,0,2,3,3,3,2,2,0,2,0,3,0,explicit,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,donate;mutual_aid;use_resource,specific,high,supporters_donors,1,3,0,1,1,Raids framed as disrupting work school health businesses and family stability.,Fear grief care empathy solidarity and urgent mutual aid are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-009,TC074,COPAL,2026-03-05,website,advocacy,ethnocultural,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,3,1,1,3,0,3,0,2,2,0,explicit,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,attend_event;share_information,specific,moderate,general_public,1,2,0,0,1,Selma delegation connects voting rights immigrant rights and multiracial democracy.,Solidarity pride hope and defiance are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-010,TC074,COPAL,2026-03-05,website,advocacy,ethnocultural,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,2,2,3,2,3,3,3,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;share_information,general,high,policymakers,1,3,1,0,1,Personnel change is framed as not resolving raids separation detention deaths and economic harm.,Outrage fear care solidarity empathy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC074-WEB-011,TC074,COPAL,2026-03-19,website,advocacy,ethnocultural,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,2,3,2,3,3,3,1,0,0,0,2,2,0,explicit,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,share_information,general,moderate,general_public,1,2,0,0,1,Disclosure of sexual harm is framed through survivor courage dignity and accountability.,Outrage care empathy solidarity and grief are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC075-WEB-001,TC075,Unidos MN,2026-01-06,website,advocacy,service,1,1,1,1,1,1,0,1,1,1,1,1,1,0,3,3,1,2,0,3,3,3,1,0,0,3,1,3,0,explicit,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,share_information;use_resource;contact_official,specific,high,immigrants_refugees,1,3,1,1,1,ICE presence at hospital framed as threat to patient rights privacy safety and care.,Fear anxiety care empathy solidarity reassurance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC075-WEB-002,TC075,Unidos MN,2026-01-07,website,advocacy,ethnocultural,1,1,1,1,0,1,1,1,1,0,0,1,1,0,3,1,2,3,3,3,3,3,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,share_information;protest;contact_official,general,high,general_public,1,3,1,0,1,Renee Good killing is framed through grief dignity family harm and protection.,Grief outrage solidarity care empathy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC075-WEB-003,TC075,Unidos MN,2026-03-05,website,advocacy,ethnocultural,1,1,1,1,0,1,0,1,1,1,0,1,1,1,2,2,1,2,1,3,2,2,2,0,0,2,1,2,0,mixed,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,contact_official;share_information,general,high,policymakers,1,2,1,0,1,Personnel change framed as partial accountability after enforcement harms.,Solidarity hope/reassurance coexist with fear outrage and grief.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC075-EVT-001,TC075,Unidos MN,2026-01-16,website,advocacy,coalition_network,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,3,2,1,2,0,1,1,2,3,0,mixed,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,attend_event;protest;volunteer,specific,high,general_public,1,3,0,0,1,Organizing links immigrant safety worker justice freedom and democracy.,Solidarity collective efficacy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC075-EVT-002,TC075,Unidos MN,2026-02-26,website,advocacy,coalition_network,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,3,1,0,2,0,1,0,1,2,0,implicit,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,attend_event;contact_official,specific,high,policymakers,1,2,0,0,1,Capitol day mobilizes members across healthcare climate labor and family priorities.,Solidarity efficacy and urgency support advocacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
