org_id,organization,screening_decision,screening_evidence_certainty,verified_typology_labels,typology_label_count,verified_news_edge_count,unique_news_story_count,unique_outlet_count,media_layer_count,media_layers_observed,community_ethnic_edge_count,local_regional_edge_count,national_amplification_edge_count,national_amplification_observed,cross_layer_observed,three_layer_observed,direct_quote_edge_count,substantive_interpretation_edge_count,resource_routing_edge_count,mobilization_uptake_edge_count,legal_information_uptake_edge_count,service_uptake_edge_count,media_visibility_status,interpretation_note
D1-01,Voice in the Wilderness Organization,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration;refugee_resettlement,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D1-09,Southern Minnesota Regional Legal Services (SMRLS),eligible,verified,civil_rights_human_rights;direct_service;legal,3,1,1,1,1,community_ethnic,1,0,0,0,0,0,1,1,1,0,1,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-01,ACLU of Minnesota,eligible,verified,advocacy;civil_rights_human_rights;legal,3,12,12,7,1,local_regional,0,12,0,0,0,0,9,12,1,2,11,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-02,MN8 / Release MN8,eligible,verified,advocacy;civil_rights_human_rights;direct_service,3,2,2,2,2,community_ethnic;local_regional,1,1,0,0,1,0,1,1,2,1,1,2,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-03,Ayada Leads,eligible,verified,advocacy;community_rooted;education_workforce;ethnocultural;gender_based,5,1,1,1,1,local_regional,0,1,0,0,0,0,0,0,1,0,1,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-04,Black Immigrant Collective,eligible,verified,advocacy;civil_rights_human_rights;community_rooted;direct_service;legal;organizing,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-05,CAIR-Minnesota,eligible,verified,advocacy;civil_rights_human_rights;community_rooted;faith_based,4,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,probably_eligible,provisional,advocacy;community_rooted;housing_economic;organizing,4,2,2,2,1,local_regional,0,2,0,0,0,0,1,1,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-07,Groundwork Legal,eligible,verified,advocacy;civil_rights_human_rights;legal,3,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,0,0,1,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D2-08,Defend the 612,eligible,verified,community_rooted;media_information;organizing,3,1,1,1,1,national_amplification,0,0,1,1,0,0,0,1,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
