candidate_id,org_id,organization,platform,date_or_period,date_precision,verification_tier,content_observable,coding_eligibility,primary_corpus_eligible,notes
TC041-LIC-001,TC041,International Institute of Minnesota,LinkedIn,2025-12,month,unresolved_social_trace,yes,candidate_only,no,"Employee/reposter trace; exact company-post URL unresolved."
TC041-LIC-002,TC041,International Institute of Minnesota,LinkedIn,2025-12_to_2026-01,relative_period,unresolved_social_trace,yes,candidate_only,no,"Repost trace; exact date and canonical URL unresolved."
TC041-LIC-003,TC041,International Institute of Minnesota,LinkedIn,2026-01-02,exact_day,unresolved_social_trace,yes,candidate_only,no,"Exact date visible in trace; canonical company-post URL unresolved."
TC041-LIC-004,TC041,International Institute of Minnesota,LinkedIn,2025-12,month,unresolved_social_trace,yes,candidate_only,no,"Likely organization post via employee activity; canonical verification needed."
TC075-LIC-001,TC075,Unidos MN,LinkedIn,2026-01-08,exact_day,unresolved_social_trace,yes,candidate_only,no,"Organization source identifiable through activity trace; canonical company-post URL unresolved."
TC075-LIC-002,TC075,Unidos MN,LinkedIn,2025-12-06,exact_day,unresolved_social_trace,yes,candidate_only,no,"Date corroborated by matching official event; canonical LinkedIn URL unresolved."
TC075-LIC-003,TC075,Unidos MN,LinkedIn,2026-01-23,exact_day,unresolved_social_trace,yes,candidate_only,no,"Source identified through repost trace; canonical company-post URL unresolved."
TC075-WEBC-001,TC075,Unidos MN,website,2026-02-24,exact_day,official_navigation_candidate,yes,candidate_only,no,"Exact date and canonical URL exposed by official previous/next navigation; page not retrievable."
TC075-WEBC-002,TC075,Unidos MN,website,2026-03-10,exact_day,official_navigation_candidate,yes,candidate_only,no,"Exact date and canonical URL exposed by official previous/next navigation; page not retrievable."
TC007-WEB-U001,TC007,Keystone Community Services,website,2025-11_to_2026-01,issue_period,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official newsletter issue spans Nov 2025-Jan 2026; exact publication day unavailable."
TC007-WEB-U002,TC007,Keystone Community Services,website,2026-02_to_2026-04,issue_period,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official newsletter issue overlaps study window Feb-Mar 2026; exact publication day unavailable."
TC065-WEB-U001,TC065,Volunteer Lawyers Network,website,2025-11,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official Tip of the Month archive; exact day unavailable."
TC065-WEB-U002,TC065,Volunteer Lawyers Network,website,2025-12,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official Tip of the Month archive; exact day unavailable."
TC065-WEB-U003,TC065,Volunteer Lawyers Network,website,2026-01,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official Tip of the Month archive; exact day unavailable."
TC065-WEB-U004,TC065,Volunteer Lawyers Network,website,2026-03,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official Tip of the Month archive; exact day unavailable."
TC008-WEB-U001,TC008,Literacy Minnesota,website,2026-03,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official educator resource labeled March 2026; exact day unavailable."
TC008-WEB-U002,TC008,Literacy Minnesota,website,2026-03,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official educator-resources archive labels March 2026; exact day unavailable."
TC008-WEB-U003,TC008,Literacy Minnesota,website,2026-02,month,window_confirmed_partial_date,yes,partial_date_qualitative,no,"Official educator-resources archive labels February 2026; exact day unavailable."
TC057-LI-U001,TC057,Immigrant Law Center of Minnesota,LinkedIn,2026-01-22,exact_day,indexed_social_candidate,yes,candidate_only,no,"Organization-authored LinkedIn text indexed; stable canonical post URL unresolved."
D2-01-LI-U001,D2-01,ACLU of Minnesota,LinkedIn,2026-01-15,exact_day,indexed_social_candidate,yes,candidate_only,no,"Organization-authored LinkedIn text visible through partner reposts/embeds; canonical post URL unresolved."
SRC001,TC074,COPAL,Instagram,2026-02-27,exact_day,secondary_verified_candidate,no,not_coded,no,"Exact Instagram URL/date cited by secondary source, but primary Instagram content not retrievable."
SRC002,TC074,COPAL,Facebook,2026-03-23,exact_day,secondary_verified_candidate,partial,not_coded,no,"Exact Facebook URL/date cited by secondary source; primary post not independently retrievable."
