metric,entity_id,entity_name,count,notes
media_layer,,national_amplification,16,"Verified edges currently backfilled from batches 15-22 only."
media_layer,,local_regional,7,"Verified edges currently backfilled from batches 15-22 only."
media_layer,,community_ethnic,4,"Verified edges currently backfilled from batches 15-22 only."
organization,TC041,International Institute of Minnesota,3,"Washington Post; NPR; PBS NewsHour in current partial edge table."
organization,TC057,Immigrant Law Center of Minnesota,3,"Two Washington Post relations plus NOTUS in current partial edge table."
organization,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),3,"Reuters; WCCO; The Circle in current partial edge table."
organization,TC073,Center for Victims of Torture,2,"La Nacion; CNN in current partial edge table."
organization,D2-10,Immigrant Defense Network,1,"Sahan primary-subject relation currently backfilled; earlier verified relations still to backfill."
organization,D2-02,MN8 / Release MN8,1,"Sahan substantive interview/explainer currently backfilled; earlier relation still to backfill."
outlet,NEWS031,The Washington Post,5,"Most connected outlet in current partial edge table."
outlet,NEWS003,Star Tribune,3,"Vietnamese Community of Minnesota; LEDC; CLUES."
outlet,NEWS001,Sahan Journal,2,"IDN; MN8."
outlet,NEWS033,CNN,2,"CVT; Alight."
outlet,NEWS032,The New York Times,2,"COPAL; Project for Pride in Living."
outlet,NEWS004,CBS Minnesota / WCCO,2,"MIRAC; United Renters for Justice."
