item_id,org_role_primary,org_role_secondary,role_hybrid_flag,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,normalization_note
TC054-LI-001,service,advocacy,1,explicit,1,0,0,0,"Organization-authored support/solidarity framing."
TC073-WEB-001,service,education,1,mixed,1,0,0,0,"Retrospective program/trauma-healing article."
TC041-LI-003,service,education,1,explicit,1,0,0,0,"Direct organization solidarity statement."
TC028-WEB-001,economic_development,ethnocultural,1,explicit,1,0,1,0,"Community gathering/reflection; organization voice plus community participation."
TC057-LI-001,legal,advocacy,1,explicit,1,0,0,0,"Organization-authored fundraising/legal-services appeal."
D2-01-WEB-001,advocacy,legal,1,explicit,1,1,0,0,"Organization-authored rights release describing affected protesters/observers/journalists."
TC073-LI-001,service,advocacy,1,explicit,1,0,0,0,"Direct organization New Year hope statement."
CI0032,service,education,1,mixed,1,1,0,0,"Organization resource announcement addressing affected clients/community."
TC064-LI-002,advocacy,legal,1,mixed,1,0,0,0,"Organization update on international advocacy."
TC042-WEB-001,ethnocultural,service,1,explicit,1,0,1,0,"Community celebration/event framing."
TC054-LI-002,service,advocacy,1,mixed,1,1,0,0,"Organization amplifies refugee-serving care needs."
TC057-WEB-001,legal,advocacy,1,explicit,1,1,0,0,"Direct condemnation concerning affected Somali community."
TC073-LI-004,service,advocacy,1,explicit,1,0,0,0,"Direct leadership announcement."
TC073-WEB-004,service,advocacy,1,mixed,1,1,0,0,"Program story describing Afghan participant/community needs and healing."
TC075-LI-001,advocacy,service,1,explicit,1,1,0,0,"Direct training/resistance communication addressing workers and patients."
D2-01-WEB-003,advocacy,legal,1,explicit,1,1,0,0,"Direct rights statement concerning fatal enforcement encounter and affected community."
TC041-LI-001,service,education,1,explicit,1,0,1,0,"Award/recognition post thanking collective stakeholders."
CI0034,service,advocacy,1,explicit,1,1,0,0,"Direct organization statement concerning targeted communities."
TC064-LI-001,advocacy,legal,1,mixed,1,1,0,0,"Organization litigation post centered on detained person."
TC057-WEB-002,legal,advocacy,1,explicit,1,1,1,0,"Organization action guide for supporters of affected communities."
TC073-LI-002,advocacy,service,1,explicit,1,0,0,0,"Direct universal human-rights framing."
TC073-WEB-005,advocacy,service,1,explicit,1,1,0,0,"Organization statement describing community trauma after fatal shooting."
TC054-LI-003,service,advocacy,1,explicit,1,1,1,0,"Organization appeal describing refugee needs and supporter response."
TC028-WEB-004,economic_development,ethnocultural,1,mixed,1,1,0,1,"Story/testimonial framing includes affected people and attributed experience."
TC057-LI-002,legal,advocacy,1,explicit,1,1,0,0,"Rapid-response guidance directly addressing affected immigrants and neighbors."
D2-01-WEB-008,advocacy,legal,1,mixed,1,1,0,0,"Legislative testimony documents impacts on affected communities."
TC064-LI-003,advocacy,legal,1,explicit,1,1,0,0,"Rights post centered on Somali asylum seekers."
CI0039,service,media_information,1,mixed,0,1,0,1,"Organization-hosted media coverage; affect primarily belongs to affected family/quoted actors rather than organization voice."
TC073-LI-003,service,media_information,1,mixed,1,1,0,1,"Organization amplification of clinician/community testimony; source is mixed."
TC057-WEB-003,legal,advocacy,1,explicit,1,1,0,0,"Direct organization press release about fatal incident/community harm."
TC054-LI-004,service,advocacy,1,mixed,1,1,0,0,"Organization diaspora reflection describing community concerns and humanitarian conditions."
TC042-WEB-003,ethnocultural,media_information,1,mixed,0,1,0,1,"Organization-hosted CBS coverage; affect/source primarily in affected public and journalist/quoted actors."
TC064-LI-004,advocacy,legal,1,mixed,1,1,0,0,"Organization post on documenting community impacts."
TC073-WEB-013,service,advocacy,1,explicit,1,1,1,0,"Organization story combines client needs with supporter/community response."
TC057-LI-003,legal,advocacy,1,mixed,1,1,0,0,"Operational rights guidance converts risk into preparation/reassurance."
D2-01-WEB-012,advocacy,legal,1,explicit,1,1,1,0,"Organization advocacy/research/organizing item concerning affected communities."
TC041-LI-002,service,education,1,mixed,1,1,1,0,"Annual-report impact post combines organization voice with client/community/supporter framing."
CI0047,service,education,1,explicit,1,0,1,0,"Organization thanks supporters/partners and describes collective support capacity."
TC074-LI-001,advocacy,ethnocultural,1,explicit,1,1,1,0,"Direct solidarity/mobilization post concerning Somali families."
TC057-WEB-005,legal,advocacy,1,explicit,1,1,0,0,"Direct organization press release about fatal incident/community harm."
