item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC064-WEB-001,TC064,The Advocates for Human Rights,2025-11-07,website,advocacy,legal,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,attend_event;seek_legal_help,specific,moderate,service_providers,1,1,1,1,1,Roundtable addresses fast-moving immigration law and enforcement risks.,Low fear/anxiety with practical efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-002,TC064,The Advocates for Human Rights,2025-11-28,website,advocacy,legal,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,mixed,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,contact_official;share_information,specific,moderate,policymakers,1,1,1,0,1,Policy removal is framed as harmful and rights-relevant.,Moral opposition is explicit; urgency moderate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-003,TC064,The Advocates for Human Rights,2026-01-07,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2,0,2,3,3,2,2,2,0,0,0,0,2,2,0,explicit,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,protest;report_incident;share_information,general,high,general_public,1,3,1,0,1,Killing is framed as grave harm accountability failure and community threat.,Grief and moral outrage dominate with fear and solidarity.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-004,TC064,The Advocates for Human Rights,2026-01-09,website,advocacy,legal,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,attend_event;seek_legal_help,specific,moderate,service_providers,1,1,1,1,1,Roundtable responds to changing asylum and enforcement conditions.,Practical anxiety and efficacy rather than overt emotion.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-005,TC064,The Advocates for Human Rights,2026-01-24,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,1,0,3,1,2,3,1,2,2,2,0,0,0,0,3,3,0,explicit,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,seek_legal_help;share_information;contact_official,specific,high,immigrants_refugees,1,3,1,1,1,Arrests and detention of resettled refugees are framed as rights violations and family harm.,Fear outrage defiance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-006,TC064,The Advocates for Human Rights,2026-01-25,website,advocacy,legal,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,2,1,2,1,2,2,1,1,0,0,1,2,2,0,mixed,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,share_information;seek_legal_help,specific,high,general_public,1,2,1,1,1,Enforcement conditions are synthesized as a broad human-rights problem with active legal response.,Mixed fear outrage solidarity and efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-007,TC064,The Advocates for Human Rights,2026-01-28,website,advocacy,legal,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,0,2,0,0,0,mixed,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,none,none,immigrants_refugees,0,1,1,1,0,Court order is framed as an effective check on detention and a source of immediate relief.,Hope and reassurance emerge from legal victory.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-008,TC064,The Advocates for Human Rights,2026-02-12,website,advocacy,legal,1,1,1,1,0,1,0,1,1,0,0,1,1,0,2,0,2,3,1,2,1,1,1,0,0,0,2,2,0,explicit,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,contact_official;share_information,general,high,policymakers,1,2,1,0,1,Drawdown is framed as insufficient given alleged harms and need for rule-of-law protections.,Outrage and defiance remain high despite partial drawdown.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-009,TC064,The Advocates for Human Rights,2026-02-12,website,advocacy,legal,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,0,2,0,0,0,mixed,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,none,none,immigrants_refugees,0,1,1,1,0,Attorney-access restoration is framed as legal protection and institutional remedy.,Reassurance and hope tied to court intervention.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-010,TC064,The Advocates for Human Rights,2026-02-13,website,advocacy,legal,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,attend_event;seek_legal_help,specific,moderate,service_providers,1,1,1,1,1,Roundtable addresses current enforcement and client issues.,Low affect with information and efficacy functions.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-011,TC064,The Advocates for Human Rights,2026-02-19,website,advocacy,legal,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,mixed,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,share_information,specific,moderate,general_public,0,1,1,0,1,Lawsuit hearing continues contest over refugee arrest and detention.,Moderate concern and solidarity with restrained defiance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-012,TC064,The Advocates for Human Rights,2026-02-27,website,advocacy,legal,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,0,2,0,0,0,mixed,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,none,none,immigrants_refugees,0,1,1,1,0,Preliminary injunction is framed as protection from detention while litigation continues.,Hope and reassurance increase with legal protection.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-013,TC064,The Advocates for Human Rights,2026-03-12,website,advocacy,legal,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,1,0,mixed,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,share_information;contact_official,specific,moderate,general_public,1,1,1,0,1,Restrictions on public access are framed as transparency and due-process concerns.,Moderate moral outrage and defiance support advocacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC064-WEB-014,TC064,The Advocates for Human Rights,2026-03-26,website,advocacy,legal,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,0,2,0,0,0,mixed,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,none,none,immigrants_refugees,0,1,1,1,0,Court relief is framed as protection of access to counsel and limits on transfers.,Reassurance and hope reflect institutional protection.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC047-WEB-001,TC047,Oromo Community of Minnesota,2025-11-26,website,ethnocultural,service,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,2,1,1,1,2,0,0,0,0,explicit,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,none,none,ethnocultural_community,1,1,0,0,0,Death of respected community figure is framed as collective loss and legacy.,Grief dominates with solidarity pride and care.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
