outlet_id,outlet_name,outlet_type,geographic_scope,media_layer,community_language_focus,primary_url,priority_tier,archive_access_status,inclusion_status,notes
NEWS001,Sahan Journal,nonprofit_local_digital,Twin Cities / Minnesota,local_regional,immigrant_refugee,https://sahanjournal.com/,1,searchable,active,"Core immigrant/refugee newsroom; high priority for source visibility."
NEWS002,MPR News,public_radio_digital,Minnesota,local_regional,general,https://www.mprnews.org/,1,searchable,active,"Statewide public-media source with substantial Twin Cities reporting."
NEWS003,Star Tribune,metro_newspaper,Twin Cities / Minnesota,local_regional,general,https://www.startribune.com/,1,partial_paywall,active,"Major metro newspaper; archive access may be uneven."
NEWS004,CBS Minnesota / WCCO,local_tv_digital,Twin Cities / Minnesota,local_regional,general,https://www.cbsnews.com/minnesota/,1,searchable,active,"Local television and digital reporting."
NEWS005,KARE 11,local_tv_digital,Twin Cities / Minnesota,local_regional,general,https://www.kare11.com/,1,searchable,active,"Local television/digital source."
NEWS006,FOX 9,local_tv_digital,Twin Cities / Minnesota,local_regional,general,https://www.fox9.com/,1,searchable,active,"Local television/digital source."
NEWS007,KSTP 5 Eyewitness News,local_tv_digital,Twin Cities / Minnesota,local_regional,general,https://kstp.com/,1,searchable,active,"Local television/digital source."
NEWS008,Pioneer Press,metro_newspaper,St. Paul / Twin Cities,local_regional,general,https://www.twincities.com/,1,partial_paywall,active,"Major St. Paul/Twin Cities newspaper."
NEWS009,MinnPost,nonprofit_local_digital,Minnesota,local_regional,general,https://www.minnpost.com/,2,searchable,active,"Nonprofit statewide digital newsroom."
NEWS010,Minnesota Reformer,nonprofit_state_digital,Minnesota,local_regional,general,https://minnesotareformer.com/,2,searchable,active,"State politics/public-policy reporting."
NEWS011,Bring Me The News,local_digital,Twin Cities / Minnesota,local_regional,general,https://bringmethenews.com/,2,searchable,active,"Retain when original reporting or distinctive uptake is present."
NEWS012,Southwest Voices,neighborhood_digital,Minneapolis,community_ethnic,neighborhood,https://www.southwestvoices.news/,3,searchable,active,"Neighborhood/community reporting."
NEWS013,North News,community_news,North Minneapolis,community_ethnic,neighborhood_black,https://www.mynorthnews.org/,2,searchable,active,"Community-focused local journalism; some reporting is republished by Sahan."
NEWS014,KRSM 98.9 FM,community_radio,Minneapolis,community_ethnic,multilingual_community,https://www.krsmradio.org/,3,partial,active,"Community radio; include where archives or transcripts are retrievable."
NEWS015,Minnesota Spokesman-Recorder,community_newspaper,Twin Cities / Minnesota,community_ethnic,black,https://spokesman-recorder.com/,2,searchable,active,"Long-running Black community newspaper; verified study-window immigration coverage."
NEWS016,Community Reporter,community_newspaper,St. Paul,community_ethnic,neighborhood,https://communityreporter.org/,2,searchable,active,"West 7th/St. Paul community newspaper; verified organization-level crisis coverage."
NEWS017,TC Jewfolk,community_digital,Twin Cities / Minnesota,community_ethnic,jewish,https://tcjewfolk.com/,2,searchable,active,"Independent Jewish community journalism; verified organization-level coverage."
NEWS018,Hmong Times,ethnic_community_newspaper,St. Paul / Minnesota,community_ethnic,hmong,https://hmongtimes.com/,2,searchable,active,"Hmong community newspaper; substantive candidate coverage found but one item remains date-unresolved."
NEWS019,Hmong Daily News,ethnic_community_digital,Minnesota,community_ethnic,hmong,https://hmongdailynews.com/,2,searchable,active,"Verified active study-window archive including immigration-enforcement coverage."
NEWS020,La Prensa de Minnesota,ethnic_community_newspaper,Twin Cities / Minnesota,community_ethnic,latino_spanish,https://laprensademn.com/,2,searchable,active,"Spanish-language Twin Cities news outlet; organization-level audit remains incomplete."
NEWS021,Insight News,community_newspaper,Twin Cities / Minnesota,community_ethnic,black,,3,to_verify,active_candidate,"Twin Cities Black community outlet; canonical archive and study-window retrieval still to verify."
NEWS022,The Circle,community_newspaper_magazine,Twin Cities / Minnesota,community_ethnic,native_american,https://thecirclenews.org/,2,searchable,active,"Independent Native American journalism; verified January 2026 ICE-surge coverage."
NEWS023,Minnesota Women's Press,community_magazine_digital,Minnesota,community_ethnic,women_gender,https://www.womenspress.com/,3,searchable,active,"Independent Minnesota publication; relevant gender/violence/immigration coverage found."
NEWS024,Somali TV of Minnesota / Somali Media,community_tv_digital,Twin Cities / Minnesota,community_ethnic,somali,https://www.somalmedia.com/,2,partial,active_candidate,"Potentially important Somali-language/community layer; archive and canonical outlet identity require additional verification."
NEWS025,Mshale,ethnic_community_newspaper,Minnesota / Upper Midwest,community_ethnic,african_immigrant,https://mshale.com/,2,searchable,active,"African immigrant newspaper; verified January 2026 Minnesota ICE/protest coverage."
NEWS026,Axios Twin Cities,local_digital_newsletter,Twin Cities,local_regional,general,https://www.axios.com/local/twin-cities,2,searchable,active,"Substantial study-window immigration-enforcement coverage."
NEWS027,Associated Press,wire_service,United States,national_amplification,general,https://apnews.com/,1,searchable,active,"National wire service; important for tracing syndication and national amplification."
NEWS028,Reuters,wire_service,United States / international,national_amplification,general,https://www.reuters.com/,1,searchable,active,"International wire service; verified study-window Minnesota coverage including a sampled organization."
NEWS029,NPR,national_public_radio_digital,United States,national_amplification,general,https://www.npr.org/,1,searchable,active,"National public-media layer; verified study-window Minneapolis immigration coverage."
NEWS030,PBS NewsHour,national_public_tv_digital,United States,national_amplification,general,https://www.pbs.org/newshour/,2,searchable,active,"National public-service journalism; organization-level matches still to audit."
NEWS031,The Washington Post,national_newspaper,United States,national_amplification,general,https://www.washingtonpost.com/,1,partial_paywall,active,"Verified study-window Minnesota reporting and sampled-organization sourcing."
NEWS032,The New York Times,national_newspaper,United States,national_amplification,general,https://www.nytimes.com/,1,partial_paywall,active,"National newspaper; organization-level audit remains incomplete."
NEWS033,CNN,national_tv_digital,United States,national_amplification,general,https://www.cnn.com/,2,partial,active,"National television/digital coverage; organization-level audit remains incomplete."
NEWS034,NBC News,national_tv_digital,United States,national_amplification,general,https://www.nbcnews.com/,2,partial,active,"National television/digital coverage; organization-level audit remains incomplete."
NEWS035,ABC News,national_tv_digital,United States,national_amplification,general,https://abcnews.go.com/,2,searchable,active,"National television/digital coverage; organization-level audit remains incomplete."
NEWS036,CBS News,national_tv_digital,United States,national_amplification,general,https://www.cbsnews.com/,2,searchable,active,"National CBS layer; distinguish from WCCO local reporting."
NEWS037,USA Today,national_newspaper_network,United States,national_amplification,general,https://www.usatoday.com/,3,searchable,active,"National network; useful for syndicated and national pickup."
NEWS038,The Guardian US,national_international_digital,United States / international,national_amplification,general,https://www.theguardian.com/us,3,searchable,active,"Verified study-window reporting on Minnesota crisis/media environment."
NEWS039,The 19th,national_nonprofit_digital,United States,national_amplification,women_gender,https://19thnews.org/,3,searchable,active,"National nonprofit newsroom; useful for gendered immigration/safety coverage."
NEWS040,ProPublica,national_nonprofit_investigative,United States,national_amplification,general,https://www.propublica.org/,3,searchable,active,"Investigative national outlet; include when Minnesota organizations or cases enter coverage."
NEWS041,El Minnesota de Hoy,ethnic_community_digital_radio,Twin Cities / Minnesota,community_ethnic,latino_spanish,https://www.elminnesotadehoy.com/,2,searchable,active,"Spanish-language Minnesota outlet; extensive verified study-window immigration coverage."
NEWS042,Racket,worker_owned_local_digital,Minneapolis / Twin Cities,local_regional,general,https://racketmn.com/,2,searchable,active,"Worker-owned local newsroom; extensive January-February 2026 ICE and mutual-aid coverage."
