item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
D2-07-WEB-001,D2-07,Groundwork Legal,2026-01-21,website,legal,advocacy,1,1,1,1,0,1,1,1,1,0,1,0,1,0,3,1,2,3,1,2,2,2,0,0,0,0,3,3,0,explicit,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,seek_legal_help;share_information,specific,high,immigrants_refugees,1,3,1,1,1,Out-of-state transfers despite release orders are framed as urgent legal harm.,Fear outrage defiance and urgency are dominant.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-07-WEB-002,D2-07,Groundwork Legal,2026-01-27,website,legal,advocacy,1,1,1,1,0,1,1,1,1,0,1,0,1,0,3,1,2,3,2,2,3,3,0,0,0,0,3,3,0,explicit,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,seek_legal_help;share_information,specific,high,general_public,1,3,1,1,1,Toddler and parent detention/transfer are framed as severe rights and family harm.,Fear outrage care empathy defiance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-07-WEB-003,D2-07,Groundwork Legal,2026-02-23,website,legal,faith,1,1,1,1,0,1,0,1,1,0,1,0,1,0,2,1,1,2,1,2,3,3,0,0,0,1,2,2,0,explicit,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,share_information;contact_official,specific,high,general_public,1,2,1,0,1,Blocked pastoral access is framed through religious freedom dignity isolation and family separation.,Care empathy solidarity and moral concern are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-07-WEB-004,D2-07,Groundwork Legal,2026-03-13,website,legal,advocacy,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2,3,3,3,1,0,3,0,0,0,mixed,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,none,none,general_public,0,1,1,0,1,Court-ordered release is framed as relief after prolonged separation and detention.,Relief hope reassurance and care dominate with residual grief.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-07-WEB-005,D2-07,Groundwork Legal,2026-03-20,website,legal,faith,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2,3,3,3,1,0,3,0,0,0,mixed,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,none,none,general_public,0,1,1,0,1,Court order restores pastoral access and is framed as protection of dignity and rights.,Hope reassurance care and empathy accompany legal relief.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-001,TC078,Jewish Community Action,2026-01-21,website,faith,advocacy,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,2,0,1,0,3,2,1,1,0,0,1,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;share_information,specific,high,general_public,1,3,0,0,1,Briefing addresses active ICE-response organizing and participation.,Solidarity urgency defiance and moderate fear/anxiety.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-002,TC078,Jewish Community Action,2026-01-22,website,faith,advocacy,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,3,3,2,2,0,1,2,1,1,0,explicit,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,attend_event,specific,moderate,general_public,1,1,0,0,1,Interfaith gathering centers safety belonging and solidarity with trans/BIPOC communities.,Care solidarity empathy and hope are central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-003,TC078,Jewish Community Action,2026-01-23,website,faith,advocacy,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,1,2,3,0,3,1,1,0,0,0,0,3,3,0,explicit,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,protest;attend_event,specific,high,general_public,1,3,0,0,1,Statewide economic pause is framed as collective resistance to ICE.,Outrage solidarity defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-004,TC078,Jewish Community Action,2026-01-25,website,faith,advocacy,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,0,1,0,3,3,1,1,0,0,2,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;safety_plan,specific,high,general_public,1,3,0,1,1,Training converts enforcement threat into organized nonviolent action and safety preparation.,Care solidarity efficacy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-005,TC078,Jewish Community Action,2026-01-25,website,faith,advocacy,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,2,1,2,0,1,1,1,2,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;volunteer,specific,moderate,faith_community,1,2,0,0,1,Organizing space emphasizes relationships shared values and collective power.,Solidarity hope and collective efficacy are central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
