pilot_order,item_id,org_id,organization,date,platform,title,coding_source_quality,ai_coding_confidence,coding_abstain,ambiguity_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_evidence_notes,emotion_evidence_notes,function_evidence_notes,action_evidence_notes,audience_tone_evidence_notes,coding_source_note,ambiguity_notes,ai_coder_id
21,TC073-LI-002,TC073,Center for Victims of Torture,2026-01-06,LinkedIn,Human rights are for all of us everywhere,summary_plus_title,high,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,2,1,1,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,share_information,general,low,general_public,1,1,1,0,0,"The post frames torture and human-rights abuse as norm violations and presents collective advocacy as a possible response.","Solidarity and hope are explicit through universal-rights language; care and low defiance are present in the call to work toward freedom from abuse.","The item informs, advocates, builds solidarity and empathy, morally evaluates abuse, and modestly increases efficacy.","The audience is encouraged to support the broader human-rights goal but no highly specific operational action is preserved.","The post addresses a broad public in inclusive universal language.","Canonical LinkedIn title plus substantive summary are available.","Action specificity remains general because no concrete link, event, or procedure is preserved in the summary.",GPT-5.6-Sol_ai_coding_v1
22,TC073-WEB-005,TC073,Center for Victims of Torture,2026-01-08,website,CVT Denounces the ICE Shooting of Renee Nicole Good,summary_plus_title,high,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,2,2,2,3,3,2,2,2,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,,none,none,general_public,0,3,0,0,0,"The statement links a fatal shooting and intensified enforcement to harm, injustice, blame, norm violation, vulnerability, fear, militarization, and trauma.","Moral outrage and grief are dominant; fear, anxiety, solidarity, care, empathy, defiance, and urgency are also explicit.","The statement informs, warns, advocates, builds solidarity/empathy, morally evaluates conduct, mourns the death, and documents community harm.","The preserved summary does not show a direct audience action request.","The tone is public-facing, condemnatory, grief-centered, and protective of affected communities.","Official CVT statement with exact title/date and substantive summary.","The summary does not preserve enough detail to code a specific action pathway.",GPT-5.6-Sol_ai_coding_v1
23,TC054-LI-003,TC054,Alight,2026-03-18,LinkedIn,Supporting refugees in Minnesota with everyday essentials,summary_plus_title,high,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,0,0,2,3,1,1,0,0,1,0,2,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,donate;mutual_aid,specific,high,general_public,1,2,0,1,1,"The post describes ongoing fear and safety concerns among refugee communities and frames material donations as a concrete coping and care response.","Care is dominant, with solidarity, fear, anxiety, reassurance, and urgency also clear.","The post informs, warns, reassures, regulates fear through material assistance, mobilizes, provides support, fundraises, builds solidarity, and increases efficacy.","Readers are asked to contribute specific everyday essentials and care packages, making the action concrete and time-sensitive.","The post addresses supporters and the broader local public around refugee needs.","Canonical LinkedIn title plus substantive summary are available.",,GPT-5.6-Sol_ai_coding_v1
24,TC028-WEB-004,TC028,ACER,2026-03-19,website,Beyond Survival: The Ongoing Impact of Long COVID,summary_plus_title,high,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,2,3,2,2,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,,none,none,general_public,0,1,0,1,1,"The story describes persistent health, economic, and healthcare challenges alongside resilience and the need for trusted information and support.","Empathy and care are strongest; anxiety, hope, solidarity, and low fear are present in the long-term recovery frame.","The article informs, warns, provides support information, generates empathy, and increases coping efficacy through trusted information.","No direct audience action is evident in the preserved summary.","The tone is testimonial, empathetic, and support-oriented.","Official ACER article with exact date and substantive summary.","No specific policy blame or moral outrage is inferable from the preserved summary.",GPT-5.6-Sol_ai_coding_v1
25,TC057-LI-002,TC057,Immigrant Law Center of Minnesota,2026-01-08,LinkedIn,Rapid-response and safety guidance during ICE activity,summary_plus_title,high,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,0,0,2,2,1,1,0,0,3,1,3,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,"report_incident;safety_plan;seek_legal_help;share_information",specific,high,immigrants_refugees,1,3,1,1,1,"ICE activity is framed as a present threat creating uncertainty and vulnerability; safety planning, documentation, legal resources, and reporting provide concrete controllability and coping pathways.","Fear, anxiety, solidarity, care, reassurance, defiance, and urgency are all explicit, with urgency dominant because the post is rapid-response guidance.","The post informs, warns, reassures, regulates fear, mobilizes, provides legal/service guidance, builds solidarity, documents incidents, and increases efficacy.","Audience actions are concrete: connect with neighbors, document activity, use rapid-response resources, prepare safety plans, and report misconduct.","The primary audience is directly affected immigrants/refugees and their neighbors/supporters.","Canonical LinkedIn title and substantive summary capture the operational guidance.",,GPT-5.6-Sol_ai_coding_v1
26,D2-01-WEB-008,D2-01,ACLU of Minnesota,2026-02-03,website,Rules and Administration - Subcommittee on the Federal Impact on Minnesotans and Economic Stability Committee Testimony,summary_plus_title,medium,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,contact_official,general,moderate,policymakers,0,2,1,0,0,"The testimony supports legislation limiting immigration officials' access to childcare settings and describes federal-enforcement impacts, supporting threat, injustice, norm-violation, vulnerability, and controllability appraisals.","Moral concern and low anger are present; fear and urgency are restrained because the item is procedural legislative testimony.","The item informs, advocates, morally evaluates policy consequences, documents impacts, and signals a legislative efficacy pathway.","The underlying action is policy change through legislation, but the preserved summary does not include a detailed public call to action.","The primary audience is policymakers and legislative stakeholders.","Official ACLU-MN legislative item with title and summary; full testimony is not preserved in this row.","Emotion coding is conservative because procedural language may understate affect.",GPT-5.6-Sol_ai_coding_v1
27,TC064-LI-003,TC064,The Advocates for Human Rights,2026-03-24,LinkedIn,Somali asylum seekers denied fair day in court,summary_plus_title,high,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,2,3,1,2,2,2,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,,none,none,general_public,0,2,1,0,0,"The post frames fast-track Somali immigration-court processing as threatening fair asylum procedures, meaningful access to counsel, and legal norms.","Moral outrage is dominant, with anger, fear, anxiety, solidarity, empathy, care, defiance, and urgency also present.","The post informs, warns, advocates, builds solidarity/empathy, morally evaluates the policy, documents alleged procedural harm, and increases efficacy through legal framing.","The preserved summary does not show a direct audience action request.","The item addresses a general public and rights-oriented audience.","Canonical LinkedIn title plus substantive summary are available.",,GPT-5.6-Sol_ai_coding_v1
28,CI0039,TC041,International Institute of Minnesota,2026-01-29,website,Trapped inside: A Minnesota refugee family's life on hold amid ICE arrests,summary_plus_title,medium,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,3,3,0,0,1,1,2,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,,none,none,immigrants_refugees,0,2,0,1,0,"The hosted coverage centers a refugee family staying inside and disrupting daily life amid ICE arrests, supporting threat, harm, uncertainty, vulnerability, and care-need appraisals.","Fear and anxiety are dominant; empathy is strong, with care, sadness, and urgency also present.","The item informs, documents/testifies to lived impact, generates empathy, and highlights care needs.","No direct action request is evident from the summary.","The communication centers an affected refugee family and immigrant/refugee experience.","Institute-hosted media coverage summary rather than a native organization-authored statement; coding is based on preserved summary.","Because this is media coverage hosted by the organization, emotion source may partly reflect quoted/affected actors rather than organization voice.",GPT-5.6-Sol_ai_coding_v1
29,TC073-LI-003,TC073,Center for Victims of Torture,2026-01-11,LinkedIn,Center for Victims of Torture shares mental health impacts amid surge of immigration enforcement operations,summary_plus_title,high,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,3,3,0,0,1,1,2,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,,none,none,immigrants_refugees,0,2,0,1,0,"The post amplifies clinician observations that clients and the Minneapolis community are experiencing intensified enforcement and comparing it to conditions they fled, supporting threat, harm, uncertainty, vulnerability, and care needs.","Fear and anxiety are dominant; empathy is strong, with care, sadness, and urgency also present.","The item informs, documents/testifies to mental-health impacts, generates empathy, and highlights service/care needs.","No direct audience action is evident from the preserved summary.","The communication centers clients and affected immigrant communities.","Canonical LinkedIn item summarized from local-media amplification.","Some affect is attributed to clients/community and clinician testimony rather than direct organizational self-expression.",GPT-5.6-Sol_ai_coding_v1
30,TC057-WEB-003,TC057,Immigrant Law Center of Minnesota,2026-01-08,website,ICE Terrorizes Communities Across Minnesota Murders Minneapolis Woman,summary_plus_title,high,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,3,2,3,3,3,2,2,2,0,0,0,0,3,3,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,,none,none,general_public,0,3,1,0,0,"The release frames enforcement violence and the fatal shooting as direct harm, injustice, blameworthy conduct, norm violation, threat, and community vulnerability.","Fear, anger, moral outrage, grief, defiance, and urgency are all dominant or near-dominant; solidarity, care, and empathy are also explicit.","The release informs, warns, advocates, builds solidarity/empathy, morally evaluates conduct, mourns the death, documents harm, and encourages defiance/resistance.","The preserved summary does not show a specific public action request despite strong advocacy.","The tone is condemnatory, grief-centered, urgent, and community-protective.","Official ILCM press release with exact title/date and substantive summary.",,GPT-5.6-Sol_ai_coding_v1
