item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC049-WEB-001,TC049,PRISM,2025-11-06,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC049-WEB-002,TC049,PRISM,2025-12-04,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC049-WEB-003,TC049,PRISM,2026-01-08,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC049-WEB-004,TC049,PRISM,2026-02-05,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC049-WEB-005,TC049,PRISM,2026-03-05,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC026-WEB-001,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-03,website,education,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,School-year and partnership update emphasizes future opportunity.,Hope and pride dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-002,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,service,other,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,3,1,1,1,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,volunteer,specific,moderate,supporters_donors,1,1,0,1,1,Newsletter emphasizes perseverance and supporter involvement.,Hope solidarity and mild gratitude are explicit.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-003,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,service,other,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,2,1,2,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,Graduation story signals achievement and community support.,Pride hope solidarity and care are implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC026-WEB-004,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-07,website,education,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,3,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,Partnership is framed as pathway to student growth.,Hope pride care and solidarity are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-005,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-05,website,service,other,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2,1,1,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,none,none,general_public,0,0,0,0,0,Friendship story foregrounds interpersonal support.,Care empathy solidarity and hope are implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC026-WEB-006,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-10,website,service,other,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,3,1,1,1,0,0,0,explicit,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,none,none,general_public,0,0,0,1,0,Stories of transformation and fresh starts emphasize future possibility.,Hope solidarity and care dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-007,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-12,website,education,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,3,1,3,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,Newsletter celebrates student milestones and partnerships.,Pride hope solidarity and gratitude are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-008,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-13,website,service,other,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,2,3,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,supporters_donors,1,0,0,0,0,"Lead with heart" framing emphasizes supporter appreciation.,Gratitude care and solidarity dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC026-WEB-009,TC026,Volunteers of America Minnesota and Wisconsin,2026-02-18,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,1,Newsletter notice lacks substantive affect in summary.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low
TC026-WEB-010,TC026,Volunteers of America Minnesota and Wisconsin,2026-03-09,website,service,other,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,2,2,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,130-year anniversary celebrates compassion and service legacy.,Pride care solidarity and gratitude dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC065-WEB-001,TC065,Volunteer Lawyers Network,2026-02-12,website,legal,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,implicit,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,volunteer;attend_event,specific,moderate,supporters_donors,1,1,0,1,1,Orientation increases volunteer capacity.,Low solidarity care and reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC065-WEB-002,TC065,Volunteer Lawyers Network,2026-03-12,website,legal,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,implicit,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,volunteer;attend_event,specific,moderate,supporters_donors,1,1,0,1,1,Orientation increases volunteer capacity.,Low solidarity care and reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC065-WEB-003,TC065,Volunteer Lawyers Network,2026-03-24,website,legal,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,implicit,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,volunteer;attend_event,specific,moderate,supporters_donors,1,1,0,1,1,Orientation increases volunteer capacity.,Low solidarity care and reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC025-WEB-001,TC025,Twin Cities Habitat for Humanity,2025-12-12,website,housing,advocacy,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,implicit,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,donate;use_resource,specific,moderate,supporters_donors,1,1,0,1,1,Housing tax credit framed as actionable support for affordability.,Solidarity care hope and reassurance lightly present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC025-WEB-002,TC025,Twin Cities Habitat for Humanity,2026-01-05,website,housing,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,volunteer,specific,moderate,supporters_donors,1,1,0,1,1,Winter volunteering is framed as meaningful participation.,Solidarity care hope and mild gratitude/pride.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC025-WEB-003,TC025,Twin Cities Habitat for Humanity,2026-01-08,website,housing,education,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,use_resource,specific,moderate,general_public,1,1,0,1,1,Glossary reduces uncertainty for first-time homebuyers.,Care and reassurance are secondary to information/efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC025-WEB-004,TC025,Twin Cities Habitat for Humanity,2026-01-16,website,housing,advocacy,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,2,0,2,0,0,1,0,1,0,implicit,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,none,none,general_public,0,1,0,1,0,Budget discussion frames housing affordability/stability as public priority.,Care hope and mild urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC025-WEB-005,TC025,Twin Cities Habitat for Humanity,2026-01-21,website,housing,education,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,use_resource,specific,moderate,general_public,1,1,0,1,1,Homeownership is framed as pathway to generational wealth.,Hope and reassurance dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
