news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes
NM067,2026-01-05,Sahan Journal,nonprofit_local_digital,Katelyn Vue,"Immigration advocates see flurry of activity amid report feds are sending more agents to Minnesota",https://sahanjournal.com/immigration/immigration-enforcement-ramping-up-minneapolis-twin-cities-fraud/,earned_editorial,0,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),primary_advocacy_source,1,,community_mobilization_source,"enforcement surge; Lake Street; community alarm",,medium,not_yet_coded,0,0,1,verified,"Sahan foregrounds MIRAC's interpretation that parts of Minneapolis were under siege and uses the group as a key organizer/advocacy source during escalation."
NM068,2026-01-07,Sahan Journal,nonprofit_local_digital,,"Thousands attend vigil for woman slain by ICE agent in Minneapolis",https://sahanjournal.com/immigration/minneapolis-vigil-woman-slain-ice-agent/,earned_editorial,0,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),primary_event_organizer,0,,community_mobilization_source,"Renee Good vigil; grief; accountability; observer training",,high,not_yet_coded,0,0,1,verified,"MIRAC organized the vigil and speakers urged residents to honor Good and train for future encounters with immigration agents. Strong grief-to-mobilization case."
NM069,2026-01-10,Sahan Journal,nonprofit_local_digital,Alberto Villafan,"A week in photos: Renee Good's killing sparks grief and pushback in Minneapolis",https://sahanjournal.com/public-safety/week-in-photos-renee-good/,earned_editorial,0,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),primary_event_organizer,0,,community_mobilization_source,"ICE Out march; grief; protest; collective resistance",,high,not_yet_coded,0,0,1,verified,"Photo essay documents MIRAC-organized vigil and mass march; useful for affective circulation and collective-action visibility."
NM070,2026-01-22,Sahan Journal,nonprofit_local_digital,,"Nekima Levy Armstrong, Chauntyll Allen arrested for church protest",https://sahanjournal.com/immigration/nekima-levy-armstrong-chauntyll-allen-arrested-cities-church-protest/,earned_editorial,0,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),direct_quote,1,Alvin Sheng,advocacy_source,"church protest arrests; religious freedom; accountability",,medium,not_yet_coded,0,0,1,verified,"MIRAC speaker interprets ICE activity as a threat to religious freedom and links protest arrests to broader enforcement harms."
NM071,2026-03-27,MPR News,public_radio_digital,Jon Collins,"Ahead of 'No Kings' rally, advocates say ICE enforcement persists",https://www.mprnews.org/story/2026/03/27/no-kings-rally-spotlights-ongoing-ice-enforcement-in-minnesota,earned_editorial,0,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),direct_quote,1,Mira Altobell-Resendez,community_mobilization_source,"continuing targeted enforcement; post-surge visibility",,medium,not_yet_coded,0,0,1,verified,"MIRAC organizer interprets enforcement as less visible but ongoing, extending organizational framing into the normalization/decline phase."
NM072,2026-01-08,TC Jewfolk,community_ethnic_news,Molly Rosenblatt,"Jewish Clergy Part of Interfaith Call For ICE To Leave Minneapolis",https://tcjewfolk.com/2026/01/08/rabbis-part-of-interfaith-clergy-call-for-ice-to-leave-minneapolis/,earned_editorial,0,TC078,Jewish Community Action,direct_statement_republication,1,,faith_advocacy_source,"Renee Good killing; historical memory; immigrant solidarity; action",,medium,not_yet_coded,0,0,1,verified,"TC Jewfolk reproduces a substantial JCA statement linking Jewish historical memory to immediate action and immigrant solidarity."
NM073,2026-01-20,TC Jewfolk,community_ethnic_news,Lonny Goldsmith,"Local and National Jewish Clergy Taking Part In ICE Out Of Minnesota Event",https://tcjewfolk.com/2026/01/20/local-and-national-jewish-clergy-taking-part-in-ice-out-of-minnesota-event/,earned_editorial,0,TC078,Jewish Community Action,direct_quote,1,Geri Katz,faith_advocacy_source,"ICE Out strike; clergy mobilization; preparedness; solidarity",,high,not_yet_coded,0,0,1,verified,"JCA organizing director explains historical memory, coalition work, preparedness and mobilization; strong faith-based affective intermediation case."
NM074,2026-01-24,TC Jewfolk,community_ethnic_news,Molly Rosenblatt,"Jewish Leaders March In Dangerous Cold To Protest ICE In Downtown Minneapolis",https://tcjewfolk.com/2026/01/24/jewish-leaders-march-in-dangerous-cold-to-protest-ice-in-downtown-minneapolis/,earned_editorial,0,TC078,Jewish Community Action,participating_organization,0,,faith_mobilization_source,"ICE Out march; solidarity; protest",,medium,not_yet_coded,0,0,1,verified,"Coverage identifies JCA among the locally based Jewish organizations participating in the Jan. 23 action."
NM075,2026-01-22,TC Jewfolk,community_ethnic_news,,"Resources To Help Community Members Affected By ICE",https://tcjewfolk.com/2026/01/22/resources-to-help-community-members-affected-by-ice/,earned_editorial,0,TC078,Jewish Community Action,resource_directory_mention,0,,mutual_aid_coordination_source,"mutual aid; rapid response; observing; direct action",,medium,not_yet_coded,0,1,1,verified,"TC Jewfolk directs readers to JCA's Action Havurah and MARCH mutual-aid infrastructure; resource-directory uptake rather than direct quotation."
NM076,2026-01-19,TC Jewfolk,community_ethnic_news,,"Communal Message on Current Situation",https://tcjewfolk.com/2026/01/19/communal-message-on-current-situation/,earned_editorial,0,TC078,Jewish Community Action,co_signatory_visibility,0,,faith_community_source,"fear; caregiver disruption; immigrant solidarity",,low,not_yet_coded,0,1,1,verified,"JCA is one of the signatories to a communal Jewish statement describing fear, unmet care needs and commitments to support affected neighbors."
