item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence,source_item_id,source_organization,series_id,series_label,series_type,series_analysis_note,is_recurring_series
TC003-WEB-001,TC003,Centro Tyrone Guzman,2025-11-01,website,ethnocultural,service,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,2,1,2,1,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,attend_event,specific,moderate,ethnocultural_community,1,1,0,0,1,Cultural remembrance event centers memory and continuity.,Grief care solidarity and pride coexist in commemorative framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC003-WEB-001,Centro Tyrone Guzman,,,,,0
TC038-EVT-001,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-01,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,mixed,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,attend_event;use_resource,specific,moderate,ethnocultural_community,1,1,0,1,1,Cultural remembrance event supports collective identity and belonging.,Solidarity and pride are central to Día de Muertos framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-001,Comunidades Latinas Unidas En Servicio (CLUES),,,,,0
TC015-WEB-001,TC015,Aeon,2025-11-03,website,housing,service,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Staff giving is framed as community contribution and mutual support.,Gratitude care and solidarity dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC015-WEB-001,Aeon,,,,,0
D2-03-WEB-001,D2-03,Ayada Leads,2025-11-03,website,advocacy,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,implicit,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,other,specific,moderate,general_public,1,1,0,0,1,Ranked-choice voting explainer builds civic efficacy and participation.,Hope/empowerment lightly implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,D2-03-WEB-001,Ayada Leads,,,,,0
TC076-WEB-001,TC076,Minnesota Interfaith Coalition on Immigration,2025-11-03,website,faith,advocacy,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,2,1,2,0,1,1,0,0,0,explicit,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,attend_event,specific,moderate,faith_community,1,1,0,0,1,Vigil framed around justice welcome and collective belonging.,Solidarity and care dominate with hopeful faith framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC076-WEB-001,Minnesota Interfaith Coalition on Immigration,,,,,0
TC026-WEB-001,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-03,website,education,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,School-year and partnership update emphasizes future opportunity.,Hope and pride dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC026-WEB-001,Volunteers of America Minnesota and Wisconsin,,,,,0
TC034-WEB-001,TC034,Al-Maa'uun,2025-11-04,website,ethnocultural,education,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,ethnocultural_community,1,1,0,1,1,Youth media class builds skills and belonging.,Solidarity hope and care lightly present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC034-WEB-001,Al-Maa'uun,,,,,0
TC056-WEB-001,TC056,Karen Organization of Minnesota,2025-11-04,website,ethnocultural,service,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,1,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,ethnocultural_community,0,0,0,0,0,Leadership transition framed around commitment and strategic development.,Solidarity pride hope and gratitude are present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC056-WEB-001,Karen Organization of Minnesota,,,,,0
TC026-WEB-002,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,service,other,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,3,1,1,1,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,volunteer,specific,moderate,supporters_donors,1,1,0,1,1,Newsletter emphasizes perseverance and supporter involvement.,Hope solidarity and mild gratitude are explicit.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC026-WEB-002,Volunteers of America Minnesota and Wisconsin,,,,,0
TC026-WEB-003,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-04,website,service,other,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,2,1,2,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,Graduation story signals achievement and community support.,Pride hope solidarity and care are implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC026-WEB-003,Volunteers of America Minnesota and Wisconsin,,,,,0
