item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC002-WEB-001,TC002,Cedar Riverside Adult Education Collaborative,2025-11-27,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,general_public,1,1,0,1,1,Closure announcement provides schedule information only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-002,TC002,Cedar Riverside Adult Education Collaborative,2025-12-08,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Testing week notice is purely operational.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-003,TC002,Cedar Riverside Adult Education Collaborative,2025-12-19,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Academic calendar update only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-004,TC002,Cedar Riverside Adult Education Collaborative,2025-12-19,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Winter break notice is operational.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-005,TC002,Cedar Riverside Adult Education Collaborative,2026-01-05,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,New session start signals program continuity.,Low hope/reassurance only.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC002-WEB-006,TC002,Cedar Riverside Adult Education Collaborative,2026-01-19,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Holiday closure announcement only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-007,TC002,Cedar Riverside Adult Education Collaborative,2026-02-09,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Testing week notice is purely operational.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-008,TC002,Cedar Riverside Adult Education Collaborative,2026-02-16,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Holiday closure announcement only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-009,TC002,Cedar Riverside Adult Education Collaborative,2026-02-16,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,learners,1,1,0,1,1,Testing week notice only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC002-WEB-010,TC002,Cedar Riverside Adult Education Collaborative,2026-03-19,website,education,ethnocultural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,learners,0,0,0,0,1,Tentative Eid listing acknowledges community calendar/cultural observance.,Low pride/solidarity only.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC050-WEB-001,TC050,Project for Pride in Living,2026-01-15,website,housing,advocacy,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,1,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Leadership recognition emphasizes influence and community impact.,Pride solidarity and hope dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC050-WEB-002,TC050,Project for Pride in Living,2026-01-15,website,housing,service,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,1,2,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Staffing update signals organizational continuity.,Low pride hope and reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC050-WEB-003,TC050,Project for Pride in Living,2026-01-15,website,housing,workforce,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,use_resource,specific,moderate,workers,0,1,0,1,1,DEED funding expands workforce pathway capacity.,Hope and reassurance tied to service expansion.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC050-WEB-004,TC050,Project for Pride in Living,2026-01-21,website,housing,service,1,1,1,1,1,0,0,0,1,0,1,1,1,0,3,2,1,2,1,3,3,2,1,0,0,2,1,3,0,mixed,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,use_resource;share_information,specific,high,general_public,1,3,0,1,1,ICE activity is framed as materially affecting communities served.,Fear care solidarity empathy and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
