relation_id,news_item_id,org_id,outlet_id,media_layer,visibility_type,headline_presence,lead_presence,direct_quote,quote_count,paraphrased,spokesperson_named,spokesperson_name,spokesperson_title,source_prominence,source_function_primary,source_function_secondary,substantive_interpretation,resource_routing,mobilization_uptake,fundraising_uptake,service_uptake,legal_information_uptake,safety_guidance_uptake,testimonial_uptake,org_affect_terms,journalist_affect_terms,dominant_affect,frame_transformation,local_to_national_amplification,amplification_path_id,matched_org_item_id,match_confidence,evidence_fragment,verification_status,coder_notes
R0001,STY-01D82C4B0E8E,TC074,NEWS032,national_amplification,direct_quote,,,1,,0,1,Francisco Segovia,,supporting,mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_16_npr_nyt.csv; source_news_item_id=NM087; New York Times Opinion/Interesting Times interview centers COPAL executive director Francisco Segovia and the organization's constitutional-observer training. Retain as national media uptake but distinguish editorial/interview genre from straight-news reporting in analysis.
R0002,STY-07A358550AE0,TC054,NEWS002,local_regional,direct_quote,,,1,,0,1,Jocelyn Wyatt,,primary,humanitarian_service_source,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,,,verified,source_batch=news_media_uptake_batch_09_precrisis_baseline.csv; source_news_item_id=NM053; Alight's first-party press archive identifies MPR News as the source and Nov. 7 publication. Useful pre-escalation baseline showing organizational vulnerability/funding uncertainty before the enforcement peak.
R0003,STY-0FB3DFD946CF,TC054,NEWS003,local_regional,direct_quote,,,1,,0,1,Jocelyn Wyatt,,primary,humanitarian_service_source,,1,1,0,1,1,0,,,,,none_not_assessable,not_assessable,0,,TC054-LI-001,medium,,verified,source_batch=news_media_uptake_batch_09_precrisis_baseline.csv; source_news_item_id=NM054; Star Tribune column highlights Alight as a Give to the Max recipient and quotes its CEO on funding cuts and humanitarian work; useful baseline for gratitude/hope/fundraising before enforcement escalation.
R0004,STY-0FB3DFD946CF,TC073,NEWS003,local_regional,direct_quote,,,1,,0,1,Simon Adams,,primary,humanitarian_service_source,,1,1,0,1,1,0,,,,,none_not_assessable,not_assessable,0,,TC073-WEB-001,low,,verified,source_batch=news_media_uptake_batch_09_precrisis_baseline.csv; source_news_item_id=NM055; Same Star Tribune column also foregrounds CVT and quotes leadership on program cuts and the human consequences of reduced funding. Retained as a separate organization-story relation for role and baseline comparisons.
R0005,STY-1092019988BF,TC073,NEWS003,local_regional,direct_quote,,,1,,0,1,Scott Roehm,,supporting,affected_community_intermediary,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,TC073-LI-003,medium,,verified,source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM052; CVT archive verifies coverage and Roehm's characterization of a broad climate of terror; strong example of affective framing carried into mainstream local journalism.
R0006,STY-138E40BE3C92,TC073,NEWS033,national_amplification,direct_quote,,,1,,0,0,,,supporting,health_trauma_source,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM101; National television/digital amplification. CNN coverage includes Center for Victims of Torture expertise on the effects of the Minnesota enforcement environment. Exact story metadata should receive later URL/article QC.
R0007,STY-14A4AF92CC45,TC078,NEWS017,community_ethnic,direct_quote,,,1,,0,0,,,supporting,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv; source_news_item_id=NM072; TC Jewfolk reproduces a substantial JCA statement linking Jewish historical memory to immediate action and immigrant solidarity.
R0008,STY-15C721780639,D2-02,NEWS001,local_regional,direct_quote,,,1,,0,1,Montha Chum,,supporting,advocacy_source,,1,1,1,0,1,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified,"source_batch=news_media_uptake_batch_22_remaining_cross_layer.csv; source_news_item_id=NM106; Sahan adapts an in-depth live interview with MN8 executive director Montha Chum into a reported explainer. Chum discusses MN8's origins, rights trainings, constitutional-observer work, deportation impacts and support for deported people and families."
R0009,STY-195109B639FA,TC084,NEWS022,community_ethnic,direct_quote,,,1,,0,1,Miguel Hernandez,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,"source_batch=news_media_uptake_batch_19_tc061_tc084.csv; source_news_item_id=NM091; The Circle's February 2026 issue quotes MIRAC member Miguel Hernandez discussing heightened surveillance concerns, perceived monitoring of organizer communications, and personal exposure risks. Exact article title/byline should be recovered during PDF-level metadata QC; publication month is verified from issue archive."
R0010,STY-1A208602483F,TC054,NEWS004,local_regional,direct_quote,,,1,,0,1,Jo Haugen,,primary,community_service_intermediary,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,TC054-LI-003,high,,verified,"source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM046; CBS centers Alight's emergency response for refugee and immigrant families afraid to leave home, including food, care kits, reassurance and volunteer support. Strong service/care intermediation case."
