org_id,organization,community_ethnic_status,local_regional_status,national_status,new_verified_items,notes,audit_date
TC001,Caring Friends Network,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Broad first-pass searches across community/local/national layers returned no verified in-window independent-news relation.",2026-09-26
TC002,Cedar Riverside Adult Education Collaborative,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC003,Centro Tyrone Guzman,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Prominent indexed documentary/feature coverage located after the study window (May 2026); no verified in-window independent-news relation in this pass.",2026-09-26
TC004,East African Integration Center,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC005,International Education Center,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC006,Ka Joog,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Repeat pass did not produce a sufficiently verified in-window independent-news relation.",2026-09-26
TC007,Keystone Community Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC008,Literacy Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC009,Minnesota Somali Community Center,verified_coverage,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,1,"New verified Feb. 10, 2026 Fight Back! News relation: organization identified as co-sponsor of Brooklyn Park labor/community ICE-out march.",2026-09-26
TC010,Minnesota Africans United,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC011,MORE,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located; ambiguous organization name requires deeper domain-restricted follow-up.",2026-09-26
TC012,MTA Center - Mothers Tutoring Academy,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC013,Sierra Leone Community in Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC014,Somali American Parent Association (SAPA),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Repeat pass did not identify in-window independent-news relation; historical coverage exists outside window.",2026-09-26
TC015,Aeon,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No organization-specific in-window immigration-crisis news relation verified in this pass.",2026-09-26
TC016,Bridging,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No organization-specific in-window immigration-crisis news relation verified in this pass.",2026-09-26
TC017,Casa Guadalupana,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC018,East African Housing Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC019,Esperanza United,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing verified MPR relation retained; sequential pass found no additional verified relation yet.",2026-09-26
TC020,Greater Metropolitan Housing Corporation,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No organization-specific in-window immigration-crisis news relation verified in this pass.",2026-09-26
TC021,IAFR Jonathan House,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"First-party Nov. 13, 2025 Jonathan House story located; excluded from independent-news corpus.",2026-09-26
TC022,Lutheran Social Service of Minnesota - Refugee Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Provider/government and first-party materials found; no new verified in-window independent-news relation in this pass.",2026-09-26
TC023,Missions Inc. Programs,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC024,Sakan,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC025,Twin Cities Habitat for Humanity,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No organization-specific in-window immigration-crisis news relation verified in this pass.",2026-09-26
TC026,Volunteers of America Minnesota and Wisconsin,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"General organizational material found; no verified organization-specific in-window immigration-news relation.",2026-09-26
TC027,ZACAH,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC028,African Career Education and Resources Inc. (ACER),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Repeat pass located organizational/financial records but no verified in-window independent-news relation.",2026-09-26
TC029,African Community Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Service/government listings found; no verified in-window independent-news relation.",2026-09-26
TC030,African Development Center of Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window first-party program/event material found; no verified independent-news relation in this pass.",2026-09-26
TC031,African Economic Development Solutions (AEDS),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Current organizational material found; no verified in-window independent-news relation in this pass.",2026-09-26
TC032,AFDN,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located; acronym ambiguity requires targeted follow-up.",2026-09-26
TC033,African Immigrants Community Services (AICS),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Organizational and government service information found; no verified independent-news relation in this pass.",2026-09-26
TC034,Al-Maa'uun,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC035,Arrive Ministries,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window first-party Operation PARRIS and refugee legal-service material found; excluded from independent-news count.",2026-09-26
TC036,Catholic Charities Twin Cities,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No new verified organization-specific in-window independent-news relation located in first sequential pass.",2026-09-26
TC037,CommonBond Communities,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window first-party housing/news posts found; no verified immigration-crisis independent-news relation in this pass.",2026-09-26
TC038,Comunidades Latinas Unidas En Servicio (CLUES),not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing verified WCCO relation retained; first-party Spanish-language resources also found but not counted as news.",2026-09-26
TC039,Darul Uloom Center,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
TC040,Igbo Women League of Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation located in first sequential pass.",2026-09-26
