item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC064-WEB-001,TC064,The Advocates for Human Rights,2025-11-07,website,https://www.theadvocatesforhumanrights.org/Events/A/Index?id=193,event_notice,"Pro Bono Immigration Roundtable","The Advocates hosts its monthly immigration roundtable covering current immigration-law and policy developments, including asylum, ICE enforcement, registration processes, and client impacts.",English,text,,uncoded,2026-09-21,retrieved,"Official event page; dated Nov. 7, 2025.","Full-census website item."
TC064-WEB-002,TC064,The Advocates for Human Rights,2025-11-28,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=617,policy_comment,"AHR Comments on the Removal of the Automatic Extension of Employment Authorization Documents","The Advocates publishes comments opposing removal of automatic extensions for employment authorization documents for noncitizens and links to its formal submission.",English,text_document,,uncoded,2026-09-21,retrieved,"Official news page; dated Nov. 28, 2025.","Full-census website item."
TC064-WEB-003,TC064,The Advocates for Human Rights,2026-01-07,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=624,statement,"The Advocates for Human Rights Condemns Extrajudicial Killing","The Advocates responds to Renee Good's killing in Minneapolis and frames the incident within intensified federal immigration enforcement, accountability, fear, public observation, and community protection.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Jan. 7, 2026.","Full-census website item. Political and legal characterizations are preserved as organization-authored claims."
TC064-WEB-004,TC064,The Advocates for Human Rights,2026-01-09,website,https://www.theadvocatesforhumanrights.org/Events/A/Index?id=198,event_notice,"Immigration Roundtable 2026","The Advocates hosts a monthly pro bono immigration roundtable on fast-moving immigration-law and policy developments, including asylum, ICE enforcement, registration processes, and client impacts.",English,text,,uncoded,2026-09-21,retrieved,"Official event page; dated Jan. 9, 2026.","Full-census website item."
TC064-WEB-005,TC064,The Advocates for Human Rights,2026-01-24,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=626,press_release,"Refugees Sue Trump Administration to Stop ICE Terror Campaign","The Advocates announces class-action litigation challenging arrests and detention of resettled refugees in Minnesota under Operation PARRIS, emphasizing detention, interrogation, family disruption, and due process.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Jan. 24, 2026.","Full-census website item. Legal allegations preserved as attributed claims."
TC064-WEB-006,TC064,The Advocates for Human Rights,2026-01-25,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=628,article,"View from Minnesota: January 2026","The Advocates summarizes enforcement conditions in Minnesota and its recent actions, including refugee litigation, court-observer access work, and an amicus filing, while connecting immigration enforcement with broader human-rights concerns.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Jan. 25, 2026.","Full-census website item."
TC064-WEB-007,TC064,The Advocates for Human Rights,2026-01-28,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=630,press_release,"Court Orders ICE To Stop Unlawful Arrest and Detention of Refugees","The Advocates reports a temporary restraining order in U.H.A. v. Bondi restricting arrest and detention of Minnesota refugees under Operation PARRIS and requiring release of detained refugees.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Jan. 28, 2026.","Full-census website item."
TC064-WEB-008,TC064,The Advocates for Human Rights,2026-02-12,website,https://legacy.theadvocatesforhumanrights.org/News/A/Index?id=633,statement,"Statement on Tom Homan's Plan to 'Draw Down' Immigration Agents in Minnesota","The Advocates responds to plans to reduce the number of federal immigration agents in Minnesota, describing alleged harms of Operation Metro Surge and calling for rule-of-law protections and an end to abuses.",English,text_image,,uncoded,2026-09-21,retrieved,"Official legacy news page; dated Feb. 12, 2026.","Full-census website item. Claims preserved as organization-authored statements."
TC064-WEB-009,TC064,The Advocates for Human Rights,2026-02-12,website,https://www.theadvocatesforhumanrights.org/News/A/Index?id=634,press_release,"Federal Court Orders DHS to Restore Attorney Access at Minnesota Detention Facilities","The Advocates reports a temporary restraining order requiring restoration of confidential attorney access for people detained in Minnesota and restricting practices affecting access to counsel.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Feb. 12, 2026.","Full-census website item."
TC064-WEB-010,TC064,The Advocates for Human Rights,2026-02-13,website,https://www.theadvocatesforhumanrights.org/Events/A/Index?id=199,event_notice,"Pro Bono Immigration Roundtable - February 2026","The Advocates hosts its February immigration roundtable on immigration-law and policy developments, including asylum, ICE enforcement, registration processes, and current client issues.",English,text,,uncoded,2026-09-21,retrieved,"Official event page; dated Feb. 13, 2026.","Full-census website item."
TC064-WEB-011,TC064,The Advocates for Human Rights,2026-02-19,website,https://theadvocatesforhumanrights.org/News/A/Index?id=636,press_release,"Attorneys and Advocates Respond to Hearing in Lawsuit Challenging ICE Arrests of Refugees","The Advocates and co-counsel respond to a federal-court hearing in U.H.A. v. Bondi, discussing legal challenges to arrest and detention of Minnesota refugees under Operation PARRIS.",English,text_image,,uncoded,2026-09-21,retrieved,"Official news page; dated Feb. 19, 2026.","Full-census website item."
