news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes
NM056,2026-01-30,Community Reporter,community_local_news,Damian Goebel,"St. Paul Community Groups Step Up as Immigration Enforcement Surge Disrupts Daily Life",https://communityreporter.org/st-paul-community-groups-step-up-as-immigration-enforcement-surge-disrupts-daily-life/,earned_editorial,0,TC045,Neighborhood House,primary_story_subject,0,,community_service_intermediary,"food delivery; fear; emergency support; neighborhood mutual aid",,medium,not_yet_coded,0,1,1,verified,"Neighborhood House is presented as a central crisis-response hub delivering food/basic necessities to families afraid to leave home; story also directs readers to donate and volunteer."
NM057,2026-01-23,Minnesota Spokesman-Recorder,community_newspaper,Jasmine McBride,"Fear exacts a toll on public life",https://spokesman-recorder.com/2026/01/23/ice-activity-impacts-local-businesses/,earned_editorial,0,TC058,Mid-Minnesota Legal Aid,direct_quote,1,Milo Mumgaard,legal_service_intermediary,"fear; economic withdrawal; legal-service demand",,medium,not_yet_coded,1,1,0,verified,"MMLA executive director interprets how enforcement fear reduces public participation while increasing demand for legal help; strong affect-to-behavior mechanism."
NM058,2026-01-25,Minnesota Star Tribune,major_metro_newspaper,Susan Du,"Fearing ICE, parents make plans for their children’s care",https://www.startribune.com/deportation-threat-forcing-some-parents-to-sign-over-parental-responsibility-for-their-children/601554201,earned_editorial,0,TC058,Mid-Minnesota Legal Aid,direct_quote,1,Pheng Thao,legal_guidance_source,"parental delegation; detention fear; child care planning",,medium,not_yet_coded,1,1,1,verified,"MMLA lawyer explains Delegation of Parental Authority and interprets parental fear and planning; clear example of affect converted into legal preparedness."
NM059,2026-01-30,The Imprint,nonprofit_specialty_news,Hana Ikramuddin,"Make Plans for Your Kids, Minnesota Advocates Urge Immigrant Parents in ICE Crosshairs",https://imprintnews.org/top-stories/make-plans-for-your-kids-minnesota-advocates-urge-immigrant-parents-in-ice-crosshairs/270656,earned_editorial,0,TC058,Mid-Minnesota Legal Aid,direct_quote,1,Pheng Thao,legal_guidance_source,"parental delegation; detention; child welfare",,medium,not_yet_coded,1,1,1,verified,"National nonprofit news outlet with Minnesota-based reporting again uses MMLA guidance on contingency planning for children if parents are detained. Retained because it reflects journalistic uptake during the study window, though outlet is not local-only."
NM060,2026-03-10,Minnesota Star Tribune,major_metro_newspaper,"Emma Nelson; JP Lawrence","After detainments and deportations, the lives left behind in Minnesota",https://www.startribune.com/immigration-ice-operation-metro-surge-stuff-left-behind-detained-deported-rent-bills-cars-family/601583316,earned_editorial,0,TC058,Mid-Minnesota Legal Aid,direct_quote,1,Camila Pacheco-Fores,legal_service_intermediary,"post-detention disruption; household chaos; lost income; legal costs",,medium,not_yet_coded,1,1,0,verified,"MMLA attorney explains the cascading household consequences of detention and deportation, including trauma, income loss and legal expenses."
NM061,2026-03-10,Minnesota Star Tribune,major_metro_newspaper,"Emma Nelson; JP Lawrence","After detainments and deportations, the lives left behind in Minnesota",https://www.startribune.com/immigration-ice-operation-metro-surge-stuff-left-behind-detained-deported-rent-bills-cars-family/601583316,earned_editorial,0,TC065,Volunteer Lawyers Network,resource_citation,0,,legal_resource_source,"housing after detention/deportation; tenant rights; property and debt",,medium,not_yet_coded,1,1,1,verified,"Story cites VLN's deportation-preparedness manual for tenant rights and property consequences, showing resource uptake without direct quotation."
NM062,2026-01-30,Community Reporter,community_local_news,Damian Goebel,"St. Paul Community Groups Step Up as Immigration Enforcement Surge Disrupts Daily Life",https://communityreporter.org/st-paul-community-groups-step-up-as-immigration-enforcement-surge-disrupts-daily-life/,earned_editorial,0,D2-02,MN8 / Release MN8,resource_directory_mention,0,,specialized_support_source,"Southeast Asian community support; immigration enforcement response",,low,not_yet_coded,0,1,1,verified,"Community Reporter lists MN8 as a specialized support resource for Southeast Asian communities. Classified as resource-directory uptake, not substantive quotation."
NM063,2026-01-30,Community Reporter,community_local_news,Damian Goebel,"St. Paul Community Groups Step Up as Immigration Enforcement Surge Disrupts Daily Life",https://communityreporter.org/st-paul-community-groups-step-up-as-immigration-enforcement-surge-disrupts-daily-life/,earned_editorial,0,D2-10,Immigrant Defense Network,resource_directory_mention,0,,coordination_network_source,"rapid response; statewide coordination",,low,not_yet_coded,0,1,1,verified,"Story identifies Immigrant Defense Network as coordinating more than 90 organizations statewide. Directory/coordination uptake only; not a direct quote."
NM064,2026-01-30,Community Reporter,community_local_news,Damian Goebel,"St. Paul Community Groups Step Up as Immigration Enforcement Surge Disrupts Daily Life",https://communityreporter.org/st-paul-community-groups-step-up-as-immigration-enforcement-surge-disrupts-daily-life/,earned_editorial,0,TC065,Volunteer Lawyers Network,resource_directory_mention,0,,legal_resource_source,"free/low-cost legal help; immigration preparedness",,low,not_yet_coded,1,1,1,verified,"Story directs readers to VLN as an immigration legal-assistance resource. Resource-directory uptake, not substantive quotation."
NM065,2026-01-08,CBS Minnesota / WCCO,local_tv_digital,Chloe Rosen,"ICE agent shoots, kills U.S. citizen Renee Good in south Minneapolis",https://www.cbsnews.com/minnesota/live-updates/minneapolis-ice-agent-shooting-protesters-clash-fbi-investigation/,earned_editorial,0,TC058,Mid-Minnesota Legal Aid,resource_directory_mention,0,,legal_resource_source,"post-shooting legal resources; know-your-rights",,low,not_yet_coded,1,1,1,verified,"CBS live coverage directs residents to Mid-Minnesota Legal Aid community clinics as a legal resource following the shooting. Classified separately from quoted-source uptake."
NM066,2026-01-08,CBS Minnesota / WCCO,local_tv_digital,Chloe Rosen,"ICE agent shoots, kills U.S. citizen Renee Good in south Minneapolis",https://www.cbsnews.com/minnesota/live-updates/minneapolis-ice-agent-shooting-protesters-clash-fbi-investigation/,earned_editorial,0,TC065,Volunteer Lawyers Network,resource_directory_mention,0,,legal_resource_source,"post-shooting legal resources; know-your-rights",,low,not_yet_coded,1,1,1,verified,"CBS live coverage lists Volunteer Lawyers Network clinics among resident resources. Resource-directory uptake, not direct quotation."
