org_id,organization,strongest_evidence_class,strongest_evidence_date,strongest_evidence_source,strongest_evidence_url,secondary_evidence_class,secondary_evidence_date,secondary_evidence_source,secondary_evidence_url,tertiary_evidence_class,tertiary_evidence_date,tertiary_evidence_source,tertiary_evidence_url,collection_notes,last_audited
TC003,Centro Tyrone Guzman,national_regional_external_coverage,2026-01-15,N+ Univision,https://www.univision.com/noticias/linea-de-fuego/cual-es-la-realidad-en-minnesota-por-protestas-ante-ice-video//,national_regional_external_coverage,2026-01-20,N+ Univision,https://www.univision.com/shows/la-voz-de-la-manana/operativos-de-ice-en-minnesota-ya-afectan-la-vida-diaria-y-la-economia-analisis-video,first_party_crisis_communication,,,"Two verified national Spanish-language interviews with executive director Xavier Vázquez provide strong external amplification. Continue local/community-media search and first-party item recovery.",2026-09-23
TC007,Keystone Community Services,partner_funder_secondary_reference,2026-01-22,Community crisis resource network,,partner_funder_secondary_reference,2026-02-01,Community support/resource network,,first_party_crisis_communication,,,"Keystone appears in Operation Metro Surge-era community support/resource routing. No substantive independent-news uptake verified in this pass; preserve network visibility while continuing article-level verification.",2026-09-23
TC015,Aeon,substantive_independent_news,2026-01-14,Local Minnesota housing news,,first_party_crisis_communication,,,government_or_directory_reference,,,"In-window independent local housing coverage recovered for Aeon; article-level extraction and relevance coding should be completed in a follow-up pass before adding to the primary crisis-news table.",2026-09-23
TC021,IAFR Jonathan House,first_party_crisis_communication,2026-02-04,Jonathan House / IAFR,,partner_funder_secondary_reference,,,refugee ministry network,,government_or_directory_reference,,,"Jonathan House published an in-window first-party account explicitly addressing Operation Metro Surge and refugee/asylum-seeker impacts. No independent-news uptake verified yet.",2026-09-23
TC001,Caring Friends Network,searched_no_recoverable_mention_yet,,,,government_or_directory_reference,,,Minnesota service/resource references,,out_of_window_context,,,,"Exact-name, Minnesota, refugee/immigrant and crisis-term searches completed; no sufficiently confident in-window communicative mention recovered yet. Do not infer zero activity.",2026-09-23
TC002,Cedar Riverside Adult Education Collaborative,searched_no_recoverable_mention_yet,,,,government_or_directory_reference,,,education/community listings,,out_of_window_context,,,,"Searches completed for exact name, Cedar-Riverside, immigration/ICE and adult education terms; no sufficiently confident in-window media or first-party crisis mention recovered yet.",2026-09-23
TC004,East African Integration Center,searched_no_recoverable_mention_yet,,,,government_or_directory_reference,,,community/service listings,,out_of_window_context,,,,"Exact-name and East African community-media searches completed; no sufficiently confident in-window crisis-related mention recovered yet.",2026-09-23
TC005,International Education Center,searched_no_recoverable_mention_yet,,,,government_or_directory_reference,,,education listings,,out_of_window_context,,,,"Exact-name search is highly ambiguous because of generic organization naming. No safely attributable in-window media/crisis mention recovered in this pass.",2026-09-23
TC008,Literacy Minnesota,first_party_crisis_communication,,,Literacy Minnesota,,partner_funder_secondary_reference,,,adult education / immigrant service network,,government_or_directory_reference,,,"Organization remains visible in immigrant/adult-literacy infrastructure. No verified substantive ICE-crisis news uptake recovered in this pass; preserve first-party/service evidence for later linkage.",2026-09-23
TC011,MORE,government_or_directory_reference,,,Minnesota refugee/immigrant service listings,,first_party_crisis_communication,,,MORE,,searched_no_recoverable_mention_yet,,,,"MORE is difficult to disambiguate in general web search. Current service presence is recoverable, but no verified in-window independent crisis-news uptake was safely attributed in this pass.",2026-09-23
TC012,MTA Center - Mothers Tutoring Academy,government_or_directory_reference,,,Minnesota community/education references,,first_party_crisis_communication,,,MTA Center,,searched_no_recoverable_mention_yet,,,,"Organization-level presence is recoverable but no sufficiently confident in-window earned-news uptake found in this pass.",2026-09-23
TC013,Sierra Leone Community in Minnesota,government_or_directory_reference,,,Minnesota community references,,first_party_crisis_communication,,,Sierra Leone Community in Minnesota,,searched_no_recoverable_mention_yet,,,,"Community organization presence verified; no sufficiently confident in-window independent-news crisis uptake located in this pass.",2026-09-23
TC016,Bridging,first_party_crisis_communication,,,Bridging,,partner_funder_secondary_reference,,,refugee/community support networks,,out_of_window_context,,,,"Bridging remains a significant refugee/newcomer support organization and appears in community-support networks. No verified substantive in-window ICE-crisis earned-news item was added in this pass.",2026-09-23
TC017,Casa Guadalupana,government_or_directory_reference,,,Minnesota immigrant/community resource references,,first_party_crisis_communication,,,Casa Guadalupana,,searched_no_recoverable_mention_yet,,,,"Community/resource presence recovered; no verified substantive independent in-window news uptake found in this pass.",2026-09-23
TC018,East African Housing Services,government_or_directory_reference,,,Minnesota housing/community references,,first_party_crisis_communication,,,East African Housing Services,,searched_no_recoverable_mention_yet,,,,"Housing/community-service presence recovered; no verified substantive in-window earned-news uptake found in this pass.",2026-09-23
TC023,Missions Inc. Programs,government_or_directory_reference,,,Minnesota service references,,first_party_crisis_communication,,,Missions Inc. Programs,,searched_no_recoverable_mention_yet,,,,"Service-provider presence recovered; no verified substantive in-window immigration-crisis news uptake found in this pass.",2026-09-23
TC024,Sakan,government_or_directory_reference,,,Minnesota housing/community references,,first_party_crisis_communication,,,Sakan,,searched_no_recoverable_mention_yet,,,,"Exact-name search is difficult because of ambiguity. Minnesota housing/community presence is recoverable, but no safely attributable substantive in-window crisis-news item was verified.",2026-09-23
TC027,ZACAH,first_party_crisis_communication,,,ZACAH,,partner_funder_secondary_reference,,,housing advocacy networks,,searched_no_recoverable_mention_yet,,,,"Advocacy activity is recoverable, but no verified substantive immigration-crisis independent-news uptake was added in this pass.",2026-09-23
TC029,African Community Services,government_or_directory_reference,,,Minnesota immigrant/community service references,,first_party_crisis_communication,,,African Community Services,,searched_no_recoverable_mention_yet,,,,"Community-service presence recovered; no sufficiently confident in-window independent crisis-news mention verified in this pass.",2026-09-23
TC032,AFDN,government_or_directory_reference,,,Minnesota community/service references,,first_party_crisis_communication,,,AFDN,,searched_no_recoverable_mention_yet,,,,"Acronym ambiguity limits search precision. Organization-level presence is recoverable, but no safely attributable substantive in-window news item was verified.",2026-09-23
