org_id,organization,type_label,type_status,evidence_basis,evidence_url,evidence_note,coding_date
D1-09,Southern Minnesota Regional Legal Services (SMRLS),legal,verified,mission,https://www.smrls.org/mission,"Mission centers high-quality civil legal services and access to courts for low-income clients.",2026-09-26
D1-09,Southern Minnesota Regional Legal Services (SMRLS),direct_service,verified,official_about_page,https://www.smrls.org/who-we-are,"Provides free civil legal assistance and community education directly to low-income and elderly people.",2026-09-26
D1-09,Southern Minnesota Regional Legal Services (SMRLS),civil_rights_human_rights,verified,mission,https://www.smrls.org/mission,"Mission centers enforcement of legal rights, equal opportunity, dignity and access to justice.",2026-09-26
D2-02,MN8 / Release MN8,direct_service,verified,government_or_partner_listing,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=863702657&Yr=CURR&cmdSearch=View,"Minnesota Attorney General charity record describes direct services responding to immediate community needs.",2026-09-26
D2-02,MN8 / Release MN8,advocacy,verified,government_or_partner_listing,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=863702657&Yr=CURR&cmdSearch=View,"Official charity purpose includes policy initiatives aimed at dismantling institutional oppression.",2026-09-26
D2-02,MN8 / Release MN8,civil_rights_human_rights,verified,government_or_partner_listing,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=863702657&Yr=CURR&cmdSearch=View,"Purpose centers institutional change and community response for people affected by deportation and related systems.",2026-09-26
D2-03,Ayada Leads,community_rooted,verified,mission,https://www.ayadaleads.org/copy-of-mission-vision,"Mission explicitly centers New Americans and African Diaspora women in their communities.",2026-09-26
D2-03,Ayada Leads,ethnocultural,verified,mission,https://www.ayadaleads.org/copy-of-mission-vision,"Organization explicitly identifies and serves African Diaspora women and girls.",2026-09-26
D2-03,Ayada Leads,gender_based,verified,mission,https://www.ayadaleads.org/copy-of-mission-vision,"Mission and vision specifically center women and girls.",2026-09-26
D2-03,Ayada Leads,education_workforce,verified,programs,https://www.ayadaleads.org/,"Offers leadership, civic and campaign training and mentoring for women and girls.",2026-09-26
D2-03,Ayada Leads,advocacy,verified,mission,https://www.ayadaleads.org/copy-of-mission-vision,"Official purpose seeks political and social power and public-policy representation for diaspora women and New Americans.",2026-09-26
D2-05,CAIR-Minnesota,advocacy,verified,mission,https://www.cairmn.com/about-us/mission-vision.html,"Mission identifies CAIR as a civil-liberties and advocacy organization and centers justice.",2026-09-26
