org_id,organization,media_layer,search_strategy,result_status,verified_news_item,first_party_or_secondary_evidence,out_of_window_evidence,notes,audit_date
TC006,Ka Joog,community_ethnic,"organization name; Somali/community outlets; coalition/event terms",searched_no_verified_coverage_yet,,, ,"No defensible in-window independent-news item located in this deeper pass.",2026-09-26
TC014,Somali American Parent Association (SAPA),community_ethnic,"organization name; Somali/community outlets; parent/youth terms",searched_no_verified_coverage_yet,,, ,"Historical material exists, but no new in-window independent-news item recovered.",2026-09-26
TC028,African Career Education and Resources Inc. (ACER),community_ethnic,"organization name; ACER Minnesota; immigration/ICE terms; community outlets",searched_no_verified_coverage_yet,,"First-party/public-policy testimony and organizational material","", "No new independent-news uptake recovered in window.",2026-09-26
TC035,Arrive Ministries,local_regional,"organization name; Operation PARRIS; refugee detention; staff/faith terms",searched_no_verified_coverage_yet,,"Arrive Ministries published Operation PARRIS explainer Feb. 26 and other in-window first-party material","", "Substantial first-party crisis communication confirmed, but no new independent-news item located in this pass.",2026-09-26
TC047,Oromo Community of Minnesota,community_ethnic,"organization name; Oromo; ICE; Sahan; MPR; rapid response terms",searched_no_verified_coverage_yet,,"OCM rapid-response/ICE first-party material remains available","", "No new independent-news item recovered.",2026-09-26
TC051,Somali Community Resettlement Services,community_ethnic,"organization name; Somali outlets; resettlement; ICE; staff/service terms",searched_no_verified_coverage_yet,,"Government/resource listings and active service pages","", "No new in-window independent-news uptake recovered.",2026-09-26
TC052,Somali Success,community_ethnic,"organization name; East African; adult education; ICE; community outlets",searched_no_verified_coverage_yet,,"Current organizational/service pages","", "No new independent-news item recovered.",2026-09-26
TC053,YMCA of the North - Immigrant and Refugee Support,local_regional,"YMCA newcomer support; resettlement network services; immigration Minnesota; news archive",searched_no_verified_coverage_yet,,"YMCA New American Welcome Centers / Resettlement Network Services pages","", "No new independent-news uptake recovered for the immigrant/refugee program.",2026-09-26
TC055,CAPI USA,community_ethnic,"CAPI USA; ICE; food shelf; Sahan; MPR; North Star Alliance",coverage_candidate_secondary_only,,"North Star Alliance legislative statement includes CAPI; state/resource listings; first-party media page","Sahan CAPI ICE-preparation article Apr. 1, 2025 before study window", "No new in-window independent-news item recovered; preserve coalition evidence as non-news/secondary context.",2026-09-26
TC056,Karen Organization of Minnesota,community_ethnic,"organization name; Karen; Myanmar; ICE; Sahan; MPR; staff/program terms",searched_no_verified_coverage_yet,,"Active KOM service/program pages","Sahan Karen weaving Aug. 19, 2026 and Myanmar TPS Aug. 17, 2026 are post-window", "No in-window independent-news item recovered.",2026-09-26
TC060,SEWA-AIFW,community_ethnic,"organization name; AIFW; Indian/South Asian; ICE; Sahan; MPR",searched_no_verified_coverage_yet,,"State licensing/service records","", "No in-window independent-news uptake recovered.",2026-09-26
TC063,Afghan Cultural Society,local_regional,"organization name; Nasreen Sajady; Afghan; refugee; Sahan; MPR; press page",searched_no_verified_coverage_yet,,"ACS press archive and first-party pages","Sahan May 2026 expansion feature post-window; 2025 MPR/Sahan/Star Tribune coverage pre-window", "Press page itself supports absence of newly indexed in-window press in this pass; continue archival search if needed.",2026-09-26
TC066,United Cambodian Association of Minnesota,community_ethnic,"organization name; Cambodian; Southeast Asian; immigration; Minnesota outlets",searched_no_verified_coverage_yet,,"Government/service listings","", "No new in-window independent-news item recovered.",2026-09-26
TC069,Hmong Cultural Center,community_ethnic,"organization name; Hmong Times; ICE; class closure/detention terms",candidate_date_unresolved,,"","Hmong Times substantive item remains date-unresolved", "Do not move into primary dated corpus until exact publication date is verified.",2026-09-26
TC070,Hmong American Partnership,community_ethnic,"organization name; HAP; Hmong Times; Sahan; ICE; immigration services",searched_no_verified_coverage_yet,,"HAP immigration-services page","Hmong Times HAP articles located are outside fixed study window", "No new in-window independent-news item recovered.",2026-09-26
TC071,Lao Assistance Center of Minnesota,community_ethnic,"organization name; Lao Center; ICE; immigration; AAPI media",searched_no_verified_coverage_yet,,"Current LACM service/community pages","", "No new in-window independent-news item recovered.",2026-09-26
TC072,Confederation of Somali Community in Minnesota,community_ethnic,"organization name; CSCM; Somali outlets; immigration; ICE; business/resource terms",searched_no_verified_coverage_yet,,"Current CSCM service/resource pages","Strong Sept. 23, 2025 coverage remains pre-window", "No new in-window independent-news item recovered.",2026-09-26
D3-02,Southeast Asian Diaspora Project (SEAD),community_ethnic,"organization name; SEAD; Southeast Asian; ICE; Sahan; MPR",searched_no_verified_coverage_yet,,,"Historical coverage remains outside study window", "No new in-window independent-news item recovered.",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,community_ethnic,"organization name; BCOM; Bhutanese; refugee; Minnesota media",searched_no_verified_coverage_yet,,"State aging/resource listing","", "No new in-window independent-news item recovered.",2026-09-26
D3-04,Asian Women United of Minnesota,community_ethnic,"organization name; AWUM; domestic violence; immigrant/Asian; news archive",searched_no_verified_coverage_yet,,"AWUM in-window first-party updates and annual-report material","", "No new independent-news item recovered.",2026-09-26
TC022,Lutheran Social Service of Minnesota - Refugee Services,local_regional,"LSS refugee services; Operation PARRIS; refugee detention; Minnesota news",searched_no_verified_coverage_yet,,"LSS refugee/legal service pages","", "No new in-window independent-news item recovered despite deeper program-specific search.",2026-09-26
TC009,Minnesota Somali Community Center,community_ethnic,"organization name; Brooklyn Park event; coalition sponsors; labor/movement media",verified_coverage,"Fight Back! News Feb. 10, 2026","Minneapolis Regional Labor Federation media advisory Feb. 7, 2026 confirms sponsor coalition","", "Second-pass triangulation strengthens the verified relation; advisory is corroborating event evidence, not independent-news count.",2026-09-26
