item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
CI0001,TC041,International Institute of Minnesota,2026-01-10,website,service,media_information,1,1,1,0,1,0,0,0,1,0,1,0,1,0,3,2,0,0,1,2,2,3,1,0,0,1,0,2,0,mixed,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,share_information,use_resource,high,general_public,0,2,0,1,0,Student routines/teams are disrupted during enforcement surge; sports becomes coping.,Fear empathy and coping-related reassurance are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
CI0002,TC041,International Institute of Minnesota,2026-01-15,website,service,legal,1,1,1,0,1,0,0,0,1,0,1,0,1,0,3,2,0,0,0,2,3,2,0,0,0,2,0,3,0,mixed,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,seek_legal_help;use_resource;share_information,specific,high,immigrants_refugees,1,3,1,1,1,Operation PARRIS explainer frames arrest/transfer risk despite lawful admission.,Fear care solidarity reassurance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0003,TC041,International Institute of Minnesota,2026-01-28,website,service,advocacy,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,3,1,2,0,3,3,2,1,0,0,1,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,contact_official;share_information,specific,high,policymakers,1,3,1,0,1,Action alert frames Metro Surge as fear/panic requiring congressional action.,Fear anxiety solidarity care defiance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0004,TC041,International Institute of Minnesota,2026-02-02,website,service,media_information,1,1,1,0,1,0,0,0,1,0,0,0,1,0,3,3,0,0,2,2,3,3,0,0,0,1,0,2,0,explicit,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,share_information,general,high,general_public,0,2,0,0,0,Refugees relive prior trauma amid household targeting.,Fear anxiety grief care and empathy dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0005,TC041,International Institute of Minnesota,2026-02-12,website,service,advocacy,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,2,3,3,2,3,1,0,3,0,1,0,explicit,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,use_resource;donate;volunteer,general,moderate,general_public,1,1,1,1,1,End of Metro Surge framed with relief but ongoing detention hardship and recovery needs.,Hope reassurance solidarity and care mediate residual grief/anxiety.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0006,TC041,International Institute of Minnesota,2026-02-17,website,service,legal,1,1,0,0,1,0,0,0,1,1,1,0,1,1,2,2,0,0,0,2,3,2,2,0,0,3,0,2,0,mixed,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,seek_legal_help;use_resource;safety_plan,specific,high,immigrants_refugees,1,2,1,1,1,Court protection reduces risk but uncertainty remains for unaware/still-detained people.,Care reassurance and moderate anxiety/fear are central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0025,TC064,The Advocates for Human Rights,2026-01-24,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,0,0,2,0,2,3,3,2,2,2,0,0,0,0,3,3,0,explicit,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,contact_official;share_information,specific,high,general_public,1,3,1,0,1,Second killing framed as requiring independent investigation and withdrawal.,Grief outrage defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0027,TC064,The Advocates for Human Rights,2026-01-27,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,1,1,2,0,2,2,2,0,0,0,0,2,2,0,mixed,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,seek_legal_help;share_information,specific,high,immigrants_refugees,1,2,1,0,1,Denial of confidential lawyer access and rapid transfers are framed as due-process harms.,Concern solidarity empathy and defiance are moderate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
CI0029,TC064,The Advocates for Human Rights,2026-02-09,website,advocacy,legal,1,1,1,1,0,1,0,1,1,0,0,1,0,0,2,1,2,3,0,3,1,1,0,0,0,0,3,3,0,explicit,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,contact_official;share_information,specific,high,policymakers,1,3,1,0,1,DHS funding alert frames enforcement as harmful/unlawful and requiring structural change.,Outrage solidarity defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
CI0034,TC073,Center for Victims of Torture,2026-01-26,website,advocacy,service,1,1,1,1,0,1,1,1,1,0,0,1,1,0,3,2,2,3,2,3,2,3,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,protest;contact_official;share_information,specific,high,general_public,1,3,1,0,1,Statement frames enforcement as broad human-rights crisis requiring multi-institutional action.,Fear outrage solidarity empathy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
