news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes
NM026,2025-11-25,Bring Me The News,local_digital,Brianna Kelly,"Northfield man arrested by ICE will be deported to Mexico",https://bringmethenews.com/minnesota-news/northfield-man-arrested-by-ice-will-be-deported-to-mexico,earned_editorial,0,TC064,The Advocates for Human Rights,direct_statement_quote,1,Kim Boche,legal_advocacy_source,"asylum hearing; detention; family unity; deportation",,,not_yet_coded,1,0,0,verified,"Story reproduces Advocates statement after asylum ruling, including critique of compressed adjudication and detention/deportation priorities. Strong early-window affective/legal framing case."
NM027,2025-12-18,Bring Me The News,local_digital,Brianna Kelly,"Minnesota organizations take legal action against ICE over recent crackdown",https://bringmethenews.com/minnesota-news/minnesota-organizations-take-legal-action-against-ice-over-recent-crackdown,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,0,,legal_advocacy_source,"observer rights; detention; constitutional claims",D2-01-WEB-001,high,not_yet_coded,1,0,0,verified,"Coverage directly summarizes ACLU-MN lawsuit filed the prior day and carries the legal-injustice/accountability frame into a broader roundup of organizational responses."
NM028,2026-01-29,Bring Me The News,local_digital,Bring Me The News,"List of Minnesota businesses closing for Jan. 23 anti-ICE strike",https://bringmethenews.com/minnesota-lifestyle/growing-number-of-minnesota-businesses-announce-plans-to-close-for-jan-23-strike,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,beneficiary_visibility,0,,collective_action_destination,"anti-ICE strike; business solidarity; fundraising",,,not_yet_coded,0,0,1,verified,"Article lists multiple businesses donating all or part of proceeds to ILCM, showing news-mediated conversion of solidarity into material support."
NM029,2026-01-29,Bring Me The News,local_digital,Bring Me The News,"List of Minnesota businesses closing for Jan. 23 anti-ICE strike",https://bringmethenews.com/minnesota-lifestyle/growing-number-of-minnesota-businesses-announce-plans-to-close-for-jan-23-strike,earned_editorial,0,TC041,International Institute of Minnesota,beneficiary_visibility,0,,collective_action_destination,"anti-ICE strike; business solidarity; fundraising",,,not_yet_coded,0,0,1,verified,"Same article identifies a business donating profits to IIMN; retained as separate organization-story relation for conversion/circulation analysis."
NM030,2026-02-19,Bring Me The News,local_digital,Dustin Nelson,"Brandi Carlile will stream Minneapolis concert as legal aid fundraiser",https://bringmethenews.com/minnesota-lifestyle/brandi-carlile-will-stream-minneapolis-concert-as-legal-aid-fundraiser,earned_editorial,0,TC064,The Advocates for Human Rights,beneficiary_visibility,0,,collective_action_destination,"benefit concert; legal aid; solidarity; fundraising",,,not_yet_coded,0,0,1,verified,"Coverage presents Advocates as the recipient of concert-stream proceeds and links emotionally framed solidarity with a concrete fundraising action pathway."
NM031,2026-02-23,Bring Me The News,local_digital,Dustin Nelson,"Brandi Carlile's Twin Cities concert raises $600K for those impacted by ICE",https://bringmethenews.com/minnesota-lifestyle/brandi-carliles-twin-cities-concert-raises-600000,earned_editorial,0,TC064,The Advocates for Human Rights,beneficiary_visibility,0,,collective_action_destination,"concert fundraising; ICE-affected families; solidarity",,,not_yet_coded,0,0,1,verified,"Follow-up coverage documents observable conversion: more than $600,000 raised for Advocates. Strong material-action outcome linked to public affective mobilization."
NM032,2026-03-04,Bring Me The News,local_digital,Dustin Nelson,"Jason Isbell & the 400 Unit will stream Minneapolis concert on The Current",https://bringmethenews.com/minnesota-lifestyle/jason-isbell-the-400-unit-will-stream-minneapolis-concert-on-the-current,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,beneficiary_visibility,0,,collective_action_destination,"benefit concert; fundraising; ICE surge response",,,not_yet_coded,0,0,1,verified,"Story identifies ILCM as recipient of ticket/poster proceeds, providing a visible news-mediated route from solidarity to donation."
NM033,2026-03-07,Bring Me The News,local_digital,Dustin Nelson,"'You've given us all a lot of hope': Dropkick Murphys play outdoor Abolish ICE benefit",https://bringmethenews.com/minnesota-lifestyle/youve-given-us-all-a-lot-of-hope-dropkick-murphys-play-outdoor-abolish-ice-benefit,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,beneficiary_visibility,0,,collective_action_destination,"benefit concert; protest; fundraising; hope",,,not_yet_coded,0,0,1,verified,"Coverage documents an Abolish ICE benefit raising funds for ILCM and other groups; useful for affective conversion and circulation analysis."
NM034,2026-03-13,Bring Me The News,local_digital,Brianna Kelly,"Lawyers say government is fast-tracking Somali asylum hearings in Minnesota",https://bringmethenews.com/minnesota-news/lawyers-say-government-is-fast-tracking-somali-asylum-hearings-in-minnesota,earned_editorial,0,TC064,The Advocates for Human Rights,direct_statement_quote,1,Michele Garnett McKenzie,legal_advocacy_source,"Somali asylum hearings; court access; transparency",TC064-LI-004,medium,not_yet_coded,1,0,0,verified,"Story quotes Advocates executive director on open-court principles and transparency while reporting the organization's lawsuit challenging access restrictions."
NM035,2026-03-25,Bring Me The News,local_digital,Brianna Kelly,"Walz announces new council to document impacts of ICE surge on Minnesotans",https://bringmethenews.com/minnesota-news/walz-announces-new-council-to-document-impacts-of-ice-surge-on-minnesotans,earned_editorial,0,TC064,The Advocates for Human Rights,partner_visibility,0,,documentation_intermediary,"post-surge documentation; testimony; recovery",,,not_yet_coded,0,1,1,verified,"Coverage identifies Advocates as state partner collecting testimony on impacts to immigrants, children, and businesses; strong example of institutionalized post-crisis intermediation/documentation."
