org_id,organization,platform,status,verified_item_count,study_window_start,study_window_end,analysis_inclusion_status,notes
TC041,International Institute of Minnesota,LinkedIn,partial_archive,3,2025-11-01,2026-03-31,include,"Three exact-dated LinkedIn posts verified; additional posts may exist."
TC041,International Institute of Minnesota,Facebook,partial_archive,0,2025-11-01,2026-03-31,include,"Official account verified; historical public-web enumeration incomplete. Zero verified does not mean zero communication."
TC041,International Institute of Minnesota,Instagram,partial_archive,0,2025-11-01,2026-03-31,include,"Official account verified; historical public-web enumeration incomplete. Zero verified does not mean zero communication."
TC074,COPAL,LinkedIn,partial_archive,1,2025-11-01,2026-03-31,include,"One exact-dated LinkedIn post verified; archive remains partial."
TC074,COPAL,Instagram,partial_archive,0,2025-11-01,2026-03-31,include,"Official/probable account identified; historical retrieval incomplete."
TC074,COPAL,Facebook,partial_archive,0,2025-11-01,2026-03-31,include,"Official channel presence identified; historical retrieval incomplete."
TC074,COPAL,YouTube,partial_archive,0,2025-11-01,2026-03-31,include,"Official channel presence identified; historical retrieval incomplete."
TC075,Unidos MN,LinkedIn,partial_archive,1,2025-11-01,2026-03-31,include,"One exact-dated LinkedIn post verified; additional indexed candidates remain unresolved."
TC057,Immigrant Law Center of Minnesota,LinkedIn,partial_archive,3,2025-11-01,2026-03-31,include,"Three exact-dated posts verified; Jan. 22 indexed candidate remains unresolved."
TC073,Center for Victims of Torture,LinkedIn,partial_archive,4,2025-11-01,2026-03-31,include,"Four exact-dated LinkedIn posts verified; archive remains partial."
TC054,Alight,LinkedIn,partial_archive,4,2025-11-01,2026-03-31,include,"Four exact-dated LinkedIn posts verified."
TC038,CLUES,LinkedIn,partial_archive,1,2025-11-01,2026-03-31,include,"One exact-dated LinkedIn post verified."
TC064,The Advocates for Human Rights,LinkedIn,partial_archive,4,2025-11-01,2026-03-31,include,"Four exact-dated LinkedIn posts verified."
TC070,Hmong American Partnership,LinkedIn,partial_archive,1,2025-11-01,2026-03-31,include,"One exact-dated LinkedIn post verified."
D2-01,ACLU of Minnesota,LinkedIn,partial_archive,0,2025-11-01,2026-03-31,include,"Jan. 15 organization-authored LinkedIn candidate preserved separately; canonical post unresolved. Zero verified does not mean zero communication."
TC050,Project for Pride in Living,LinkedIn,partial_archive,4,2025-11-01,2026-03-31,exclude_from_primary_analysis,"Collection history preserved, but PPL is excluded from the final analytical universe under the immigrant/refugee-population criterion."
