item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC058-WEB-001,TC058,Mid-Minnesota Legal Aid,2025-11-06,website,legal,service,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,implicit,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Litigation over continuation of SNAP benefits foregrounds material loss/vulnerability.,Client story implies care/solidarity; affect coded conservatively from summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-002,TC058,Mid-Minnesota Legal Aid,2025-11-09,website,legal,service,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Detention without bond is presented as a legal/enforcement risk.,Restrained newsroom amplification; affect coded conservatively.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-003,TC058,Mid-Minnesota Legal Aid,2025-11-15,website,legal,service,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Panel addresses effects of immigration policies.,Policy effects imply uncertainty; no stronger emotion visible in summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-004,TC058,Mid-Minnesota Legal Aid,2025-11-17,website,legal,service,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,implicit,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,immigrants_refugees,0,1,1,0,0,Asylum-case termination and ICE presence outside court signal direct enforcement threat.,Fear strongly implied; outrage kept low absent full text.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-005,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,legal,service,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,2,0,0,0,2,2,0,0,0,0,1,0,0,0,mixed,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,seek_legal_help;use_resource,general,moderate,immigrants_refugees,1,1,1,1,0,Awaiting TPS decision creates uncertainty and vulnerability.,Explicit solidarity/support with Somali immigrant neighbors.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-006,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,legal,service,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,seek_legal_help;prepare_documents,specific,moderate,immigrants_refugees,1,2,1,1,1,Unannounced USCIS visits framed as rights/safety situation with actionable protections.,Fear/anxiety transformed into rights guidance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-007,TC058,Mid-Minnesota Legal Aid,2025-12-03,website,legal,service,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,implicit,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,none,none,general_public,0,0,1,0,0,Headline attributes neglect of responsibilities affecting disabled people.,Normative criticism supports low moral outrage; care toward affected clients implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-008,TC058,Mid-Minnesota Legal Aid,2025-12-18,website,legal,service,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,implicit,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,none,none,general_public,0,0,0,0,0,Service disruption leaves disabled clients vulnerable.,Concern for vulnerable clients is central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-009,TC058,Mid-Minnesota Legal Aid,2026-01-15,website,legal,service,1,1,1,0,1,0,0,0,1,0,1,0,1,0,2,2,0,0,1,0,2,2,0,0,0,1,0,1,0,mixed,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,seek_legal_help;safety_plan;prepare_documents,specific,high,immigrants_refugees,1,2,1,1,1,Parental detention creates immediate family separation and guardianship vulnerability.,Fear/care/empathy are central; practical planning also reassures.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-010,TC058,Mid-Minnesota Legal Aid,2026-01-16,website,legal,service,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,1,1,0,mixed,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,,none,none,general_public,0,1,1,0,0,Detention of refugees explicitly criticized as further victimization.,Moral outrage explicit in framing; fear tied to detention context.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-011,TC058,Mid-Minnesota Legal Aid,2026-01-20,website,legal,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,use_resource;seek_legal_help,specific,low,general_public,0,0,1,1,1,Expansion of tax services increases access and coping capacity.,Low hope/reassurance inferred from new service availability.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-012,TC058,Mid-Minnesota Legal Aid,2026-01-21,website,legal,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,use_resource;seek_legal_help,specific,low,general_public,0,0,1,1,1,Formal expansion of state tax assistance increases service capacity.,Positive future orientation present but restrained.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
