item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC028-WEB-002,TC028,ACER,2025-12-15,website,economic_development,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,3,0,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,none,none,ethnocultural_community,0,0,0,0,0,Development story centers community-rooted opportunity and capacity.,Solidarity hope and pride dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC028-WEB-003,TC028,ACER,2026-02-09,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,workers,1,1,0,1,1,Entrepreneurship training increases business knowledge and coping capacity.,Hope and reassurance tied to concrete support.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
D2-01-WEB-002,D2-01,ACLU of Minnesota,2025-12-19,website,advocacy,legal,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,mixed,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,none,none,general_public,0,1,1,0,1,County detention agreement is framed as rights/accountability concern.,Moral outrage and defiance are restrained but present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
D2-01-WEB-004,D2-01,ACLU of Minnesota,2026-01-15,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,0,0,3,1,2,3,0,2,2,2,0,0,0,0,3,3,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,seek_legal_help;share_information,specific,high,general_public,1,3,1,0,1,Alleged racial profiling and warrantless arrests are framed as constitutional harms.,Fear outrage and defiance are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-01-WEB-005,D2-01,ACLU of Minnesota,2026-01-21,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,0,0,3,1,1,3,0,2,2,2,0,0,0,0,2,2,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,seek_legal_help;share_information,specific,high,general_public,1,3,1,0,1,Case page frames profiling/seizures/arrests as constitutional violations.,Fear outrage solidarity and defiance remain central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-01-WEB-006,D2-01,ACLU of Minnesota,2026-01-24,website,advocacy,legal,1,1,1,1,0,1,1,1,1,0,0,1,0,0,3,1,2,3,3,3,2,2,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,protest;share_information;contact_official,specific,high,general_public,1,3,1,0,1,Fatal shooting is framed as grave harm requiring immediate withdrawal/accountability.,Grief fear outrage solidarity defiance and urgency are dominant.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-01-WEB-007,D2-01,ACLU of Minnesota,2026-01-26,website,advocacy,legal,1,1,1,1,0,1,0,1,1,0,0,1,0,0,2,1,2,3,1,2,1,1,0,0,0,0,3,2,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,share_information;protest,specific,high,general_public,1,2,1,0,1,Appeals decision is framed as failing to protect documentation/protest rights.,Outrage defiance and fear support continued advocacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
D2-01-WEB-009,D2-01,ACLU of Minnesota,2026-02-04,website,advocacy,legal,1,1,1,1,0,1,0,1,1,0,1,1,0,0,2,1,1,2,0,2,2,2,0,0,0,1,2,2,0,mixed,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,share_information;contact_official,use_resource,high,general_public,1,2,1,0,1,Testimony/resource page documents impacts of enforcement and institutional response.,Concern outrage solidarity and urgency are moderate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
D2-01-WEB-010,D2-01,ACLU of Minnesota,2026-02-20,website,advocacy,legal,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,contact_official;share_information,general,moderate,policymakers,0,1,1,0,1,Legislative position frames policing practices as rights issue.,Low moral concern and defiance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
D2-01-WEB-011,D2-01,ACLU of Minnesota,2026-02-27,website,advocacy,legal,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,2,1,0,1,0,0,0,1,1,0,implicit,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,contact_official;share_information,general,moderate,policymakers,0,1,1,0,1,Civil-rights cause of action is framed as accountability mechanism.,Moderate solidarity/moral concern with efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
