org_id,organization,type_label,type_status,evidence_basis,evidence_url,evidence_note,coding_date
D2-01,ACLU of Minnesota,legal,verified,official_about_page,https://www.aclu-mn.org/about-us/,"Official about page identifies litigation as a core method for protecting civil rights and liberties.",2026-09-26
D2-01,ACLU of Minnesota,advocacy,verified,official_about_page,https://www.aclu-mn.org/about-us/,"Official about page identifies lobbying, community engagement, public education and personal advocacy as core methods.",2026-09-26
D2-01,ACLU of Minnesota,civil_rights_human_rights,verified,mission,https://www.aclu-mn.org/about-us/,"Mission centers civil liberties and civil rights in Minnesota.",2026-09-26
TC057,Immigrant Law Center of Minnesota,legal,verified,mission,https://www.ilcm.org/mission-history,"Official mission centers free immigration legal representation and legal services.",2026-09-26
TC057,Immigrant Law Center of Minnesota,direct_service,verified,mission,https://www.ilcm.org/mission-history,"Provides direct legal representation and related assistance to low-income immigrants and refugees.",2026-09-26
TC057,Immigrant Law Center of Minnesota,advocacy,verified,mission,https://www.ilcm.org/mission-history,"Official mission explicitly includes advocacy for public policies affecting immigrants.",2026-09-26
TC057,Immigrant Law Center of Minnesota,civil_rights_human_rights,verified,mission,https://www.ilcm.org/mission-history,"Official goals explicitly reference protecting the universal human rights of immigrants.",2026-09-26
TC064,The Advocates for Human Rights,civil_rights_human_rights,verified,mission,https://www.theadvocatesforhumanrights.org/About,"Official mission centers international human rights standards, civil society and rule of law.",2026-09-26
TC064,The Advocates for Human Rights,advocacy,verified,official_about_page,https://www.theadvocatesforhumanrights.org/About,"Official approach explicitly describes research, advocacy and policy work for systemic change.",2026-09-26
TC064,The Advocates for Human Rights,direct_service,verified,official_about_page,https://www.theadvocatesforhumanrights.org/About,"Official approach states a dual focus on systemic change and direct services.",2026-09-26
TC064,The Advocates for Human Rights,legal,verified,official_about_page,https://www.theadvocatesforhumanrights.org/About,"Organization was founded by lawyers and its official description links direct client work to legal protections and rule-of-law advocacy.",2026-09-26
