item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
D2-03-WEB-001,D2-03,Ayada Leads,2025-11-03,website,advocacy,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,implicit,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,other,specific,moderate,general_public,1,1,0,0,1,Ranked-choice voting explainer builds civic efficacy and participation.,Hope/empowerment lightly implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
D2-03-WEB-002,D2-03,Ayada Leads,2025-12-01,website,advocacy,ethnocultural,1,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,1,2,0,3,2,2,1,0,0,1,1,2,0,mixed,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,contact_official;attend_event;share_information,specific,high,ethnocultural_community,1,2,1,0,1,TPS ending is framed as threat and uncertainty prompting organized response.,Fear/anxiety are mediated through solidarity advocacy and efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC003-WEB-001,TC003,Centro Tyrone Guzman,2025-11-01,website,ethnocultural,service,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,2,1,2,1,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,attend_event,specific,moderate,ethnocultural_community,1,1,0,0,1,Cultural remembrance event centers memory and continuity.,Grief care solidarity and pride coexist in commemorative framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC030-WEB-001,TC030,African Development Center of Minnesota,2025-12-13,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Homebuyer workshop increases practical housing efficacy.,Hope tied to homeownership planning.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC030-WEB-002,TC030,African Development Center of Minnesota,2026-01-10,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Homebuyer workshop increases practical housing efficacy.,Hope tied to homeownership planning.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC030-WEB-003,TC030,African Development Center of Minnesota,2026-02-14,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Homebuyer workshop increases practical housing efficacy.,Hope tied to homeownership planning.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC031-WEB-001,TC031,African Economic Development Solutions (AEDS),2025-11-06,website,economic_development,coalition_network,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,2,0,2,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Cohort launch emphasizes collaboration and collective impact.,Solidarity pride and hope are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC031-WEB-002,TC031,African Economic Development Solutions (AEDS),2026-01-15,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,3,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Business-preservation story frames resilience legacy and ownership.,Hope pride solidarity and empathy dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC031-WEB-003,TC031,African Economic Development Solutions (AEDS),2026-02-19,website,economic_development,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,2,0,3,0,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,attend_event,specific,moderate,ethnocultural_community,1,1,0,0,1,Forum emphasizes Black history leadership opportunity and advancement.,Pride solidarity and hope are central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC031-WEB-004,TC031,African Economic Development Solutions (AEDS),2026-03-19,website,economic_development,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,2,1,3,0,2,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Entrepreneurship story emphasizes mutual support and perseverance.,Hope solidarity pride and empathy are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
