source_batch,source_news_item_id,normalized_news_item_id,date,outlet,headline,url
news_media_uptake_batch_16_npr_nyt.csv,NM087,STY-01D82C4B0E8E,2026-01-16,The New York Times,Minneapolis Feels ‘Like Being in a Civil War’,https://www.nytimes.com/2026/01/16/opinion/ice-minneapolis-protest.html
news_media_uptake_batch_09_precrisis_baseline.csv,NM053,STY-07A358550AE0,2025-11-07,MPR News,"Minnesota nonprofit pivots to life-saving support to refugees amid cuts, uncertainty",https://www.wearealight.org/press/minnesota-nonprofit-pivots-to-life-saving-support-to-refugees-amid-cuts-uncertainty
news_media_uptake_batch_22_foxnews_national.csv,NM098,STY-0AAA8BA982A0,2026-02-05,Fox News Digital,Anti-ICE 'digital Minutemen' use military-grade surveillance tactics against feds,https://www.foxnews.com/us/anti-ice-digital-minutemen-use-military-grade-surveillance-tactics-against-feds
news_media_uptake_batch_18_centro_univision.csv,NM089,STY-0D89C6A76DB4,2026-01-15,N+ Univision,¿Cuál es la realidad en Minnesota por protestas ante ICE?,https://www.univision.com/noticias/linea-de-fuego/cual-es-la-realidad-en-minnesota-por-protestas-ante-ice-video//
news_media_uptake_batch_09_precrisis_baseline.csv,NM054,STY-0FB3DFD946CF,2025-11-20,Minnesota Star Tribune,"This Give to the Max Day, support groups that are a ‘shaft of sunlight’",https://www.wearealight.org/press/rash-this-give-to-the-max-day-support-groups-that-are-a-shaft-of-sunlight
news_media_uptake_batch_09_precrisis_baseline.csv,NM055,STY-0FB3DFD946CF,2025-11-20,Minnesota Star Tribune,"This Give to the Max Day, support groups that are a ‘shaft of sunlight’",https://www.wearealight.org/press/rash-this-give-to-the-max-day-support-groups-that-are-a-shaft-of-sunlight
news_media_uptake_batch_08_alight_cvt.csv,NM052,STY-1092019988BF,2026-02-05,Minnesota Star Tribune,Minnesota refugees and immigrants are hiding in ‘a prison of fear’,https://www.startribune.com/minnesota-refugees-and-immigrants-are-hiding-in-a-prison-of-fear/601571791
news_media_uptake_batch_21_cross_layer_deep_pass.csv,NM101,STY-138E40BE3C92,2026-02-01,CNN,Minnesota immigration enforcement and community trauma,
news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv,NM072,STY-14A4AF92CC45,2026-01-08,TC Jewfolk,Jewish Clergy Part of Interfaith Call For ICE To Leave Minneapolis,https://tcjewfolk.com/2026/01/08/rabbis-part-of-interfaith-clergy-call-for-ice-to-leave-minneapolis/
news_media_uptake_batch_22_remaining_cross_layer.csv,NM106,STY-15C721780639,2025-12-02,Sahan Journal,What you need to know about the deportation of Southeast Asian people in Minnesota,https://sahanjournal.com/immigration/deportations-minnesota-mn8-hmong-laos-cambodia-vietnam/
news_media_uptake_batch_19_tc061_tc084.csv,NM091,STY-195109B639FA,2026-02-01,The Circle,February 2026 issue: community organizers describe surveillance and ICE-related risk,https://thecirclenews.org/wp-content/uploads/2026/02/feb-2026-circle-small.pdf
news_media_uptake_batch_08_alight_cvt.csv,NM046,STY-1A208602483F,2026-01-29,CBS Minnesota / WCCO,Nonprofit puts together care kits for Minnesota families facing uncertainty,https://www.cbsnews.com/minnesota/news/nonprofit-care-kits-minnesota-families-facing-uncertainty/
news_media_uptake_batch_22_foxnews_national.csv,NM099,STY-1D051FC7269E,2026-02-06,Fox News Digital,When anti-ICE clashes trigger federal intervention: Experts explain the constitutional breaking point,https://www.foxnews.com/politics/minnesota-ice-clashes-spark-outrage-but-legal-experts-say-federal-authority-remains-intact/
news_media_uptake_batch_24_cnn_ap_expansion.csv,NM107,STY-1D05A5934381,2026-01-29,Associated Press,A shadow network in Minneapolis defies ICE and protects immigrants,https://apnews.com/article/f86ce49f26230a1e5ad1592dcac0a5a9
