item_id,organization,series_id,series_label,series_type,analysis_note
TC038-EVT-002,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-003,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-004,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-006,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-007,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-008,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-009,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-010,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-011,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-012,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-013,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-014,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-015,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-016,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-017,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-018,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-019,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-020,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-021,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-022,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC038-EVT-023,CLUES,CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,"Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting."
TC030-WEB-001,African Development Center of Minnesota,ADC_HOMESTRETCH_2025_2026,Home Stretch Workshop,recurring_service_workshop,"Repeated same-format housing workshop."
TC030-WEB-002,African Development Center of Minnesota,ADC_HOMESTRETCH_2025_2026,Home Stretch Workshop,recurring_service_workshop,"Repeated same-format housing workshop."
TC030-WEB-003,African Development Center of Minnesota,ADC_HOMESTRETCH_2025_2026,Home Stretch Workshop,recurring_service_workshop,"Repeated same-format housing workshop."
TC065-WEB-001,Volunteer Lawyers Network,VLN_ORIENTATION_2026,New Volunteer Orientation,recurring_volunteer_orientation,"Repeated volunteer orientation; consider series-collapsed robustness check."
TC065-WEB-002,Volunteer Lawyers Network,VLN_ORIENTATION_2026,New Volunteer Orientation,recurring_volunteer_orientation,"Repeated volunteer orientation; consider series-collapsed robustness check."
TC065-WEB-003,Volunteer Lawyers Network,VLN_ORIENTATION_2026,New Volunteer Orientation,recurring_volunteer_orientation,"Repeated volunteer orientation; consider series-collapsed robustness check."
TC078-EVT-004,Jewish Community Action,JCA_DIRECT_ACTION_TRAINING_2026,Nonviolent Direct Action Training,recurring_organizing_training,"Repeated organizing/training format; preserve because crisis mobilization itself is substantive, but test series-collapsed estimates."
TC078-EVT-010,Jewish Community Action,JCA_DIRECT_ACTION_TRAINING_2026,Nonviolent Direct Action Training,recurring_organizing_training,"Repeated organizing/training format; preserve because crisis mobilization itself is substantive, but test series-collapsed estimates."
TC078-EVT-011,Jewish Community Action,JCA_DIRECT_ACTION_TRAINING_2026,Nonviolent Direct Action Training,recurring_organizing_training,"Repeated organizing/training format; preserve because crisis mobilization itself is substantive, but test series-collapsed estimates."
TC078-EVT-012,Jewish Community Action,JCA_DIRECT_ACTION_TRAINING_2026,Nonviolent Direct Action Training,recurring_organizing_training,"Repeated organizing/training format; preserve because crisis mobilization itself is substantive, but test series-collapsed estimates."
TC078-EVT-017,Jewish Community Action,JCA_HOST_HOME_2026,Host Home / Safety Support,recurring_service_session,"Two adjacent sessions of same safety-support program."
TC078-EVT-018,Jewish Community Action,JCA_HOST_HOME_2026,Host Home / Safety Support,recurring_service_session,"Two adjacent sessions of same safety-support program."
TC075-EVT-006,Unidos MN,UNIDOS_AIR_QUALITY_2026,Air Quality / Healthy Homes Meeting,recurring_community_meeting,"Repeated thematic meeting; test series-collapsed estimates."
TC075-EVT-012,Unidos MN,UNIDOS_AIR_QUALITY_2026,Air Quality / Healthy Homes Meeting,recurring_community_meeting,"Repeated thematic meeting; test series-collapsed estimates."
TC075-EVT-010,Unidos MN,UNIDOS_CLIMATE_EQUITY_2026,Climate Equity Organizing,recurring_community_meeting,"Repeated climate-equity organizing series."
TC075-EVT-015,Unidos MN,UNIDOS_CLIMATE_EQUITY_2026,Climate Equity Organizing,recurring_community_meeting,"Repeated climate-equity organizing series."
