order,platform,confidence,ambiguity,fear,anxiety,anger,outrage,grief,solidarity,care,empathy,hope,gratitude,pride,reassurance,defiance,urgency
1,LinkedIn,medium,1,0,0,0,0,0,2,2,1,2,0,1,0,0,1
2,website,medium,1,0,0,0,0,0,1,2,1,1,1,1,0,0,0
3,LinkedIn,high,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0
4,website,medium,1,0,0,0,0,0,2,2,1,1,3,1,0,0,0
5,LinkedIn,high,0,1,0,0,0,0,2,2,1,1,0,0,0,0,1
6,website,high,0,1,0,2,2,0,1,0,0,0,0,0,0,2,2
7,LinkedIn,high,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
8,website,high,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1
9,LinkedIn,medium,1,0,0,0,1,0,1,0,0,1,0,2,0,1,0
10,website,medium,1,0,0,0,0,0,2,1,0,1,3,1,0,0,0
11,LinkedIn,medium,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1
12,website,high,0,2,1,2,3,1,2,2,1,0,0,0,0,2,2
13,LinkedIn,high,0,0,0,0,0,0,1,1,0,2,1,2,0,0,0
14,website,high,0,1,1,0,1,1,2,3,2,2,0,0,1,0,0
15,LinkedIn,high,0,1,1,1,1,0,2,2,1,1,0,0,2,3,2
16,website,high,0,2,1,2,3,3,2,2,1,0,0,0,0,3,3
17,LinkedIn,high,0,0,0,0,0,0,1,2,2,1,2,3,3,1,0
18,website,high,0,2,2,2,3,1,3,2,1,0,0,0,0,2,2
19,LinkedIn,high,0,1,1,1,2,0,1,1,1,0,0,0,0,2,1
20,website,high,0,1,1,1,1,0,3,2,2,2,0,0,2,1,2
21,LinkedIn,high,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0
22,website,high,0,2,2,2,3,3,2,2,2,0,0,0,0,2,2
23,LinkedIn,high,0,2,2,0,0,0,2,3,1,1,0,0,1,0,2
24,website,high,0,1,1,0,0,1,1,2,3,2,0,0,1,0,1
25,LinkedIn,high,0,2,2,0,0,0,2,2,1,1,0,0,3,1,3
26,website,medium,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
27,LinkedIn,high,0,2,2,2,3,1,2,2,2,0,0,0,0,2,2
28,website,medium,1,3,3,0,0,1,1,2,3,0,0,0,0,0,2
29,LinkedIn,high,0,3,3,0,0,1,1,2,3,0,0,0,0,0,2
30,website,high,0,3,2,3,3,3,2,2,2,0,0,0,0,3,3
31,LinkedIn,high,0,1,1,0,0,1,3,2,2,2,1,1,0,0,1
32,website,medium,1,2,2,0,0,0,2,3,2,1,0,0,2,0,2
33,LinkedIn,medium,1,1,1,1,2,1,2,1,1,1,0,0,0,2,1
34,website,high,0,2,2,0,0,1,3,3,2,2,2,1,2,0,2
35,LinkedIn,high,0,2,2,0,0,0,1,2,0,0,0,0,3,0,3
36,website,high,0,1,0,2,3,0,2,1,1,1,0,0,0,2,2
37,LinkedIn,high,0,0,0,0,0,0,2,2,1,2,1,2,1,0,0
38,website,high,0,0,0,0,0,0,3,3,2,2,3,1,1,0,0
39,LinkedIn,high,0,2,1,2,3,0,3,2,1,1,0,1,0,3,2
40,website,high,0,3,2,3,3,3,2,2,2,0,0,0,0,3,3
