outlet_id,outlet_name,outlet_type,geographic_scope,primary_url,priority_tier,archive_access_status,notes
NEWS001,Sahan Journal,nonprofit_local_digital,Twin Cities / Minnesota,https://sahanjournal.com/,1,searchable,"High priority for immigrant/refugee and community coverage."
NEWS002,MPR News,public_radio_digital,Minnesota,https://www.mprnews.org/,1,searchable,"High priority statewide public-media source with substantial Twin Cities reporting."
NEWS003,Star Tribune,metro_newspaper,Twin Cities / Minnesota,https://www.startribune.com/,1,partial_paywall,"Major metro newspaper; archive access may be uneven."
NEWS004,CBS Minnesota / WCCO,local_tv_digital,Twin Cities / Minnesota,https://www.cbsnews.com/minnesota/,1,searchable,"Local television and digital reporting; organization interviews frequently embedded in crisis coverage."
NEWS005,KARE 11,local_tv_digital,Twin Cities / Minnesota,https://www.kare11.com/,1,searchable,"Local television/digital source; relevant for nonprofit expert interviews and community impact reporting."
NEWS006,FOX 9,local_tv_digital,Twin Cities / Minnesota,https://www.fox9.com/,1,searchable,"Local television/digital source."
NEWS007,KSTP 5 Eyewitness News,local_tv_digital,Twin Cities / Minnesota,https://kstp.com/,1,searchable,"Local television/digital source."
NEWS008,Pioneer Press,metro_newspaper,St. Paul / Twin Cities,https://www.twincities.com/,1,partial_paywall,"Major St. Paul/Twin Cities newspaper."
NEWS009,MinnPost,nonprofit_local_digital,Minnesota,https://www.minnpost.com/,2,searchable,"Nonprofit statewide digital newsroom; policy and public-affairs coverage."
NEWS010,Minnesota Reformer,nonprofit_state_digital,Minnesota,https://minnesotareformer.com/,2,searchable,"State politics/public-policy reporting; useful for advocacy/legal uptake."
NEWS011,Bring Me The News,local_digital,Twin Cities / Minnesota,https://bringmethenews.com/,2,searchable,"Secondary local digital outlet; retain when original reporting or distinctive uptake is present."
NEWS012,Southwest Voices,neighborhood_digital,Minneapolis,https://www.southwestvoices.news/,3,searchable,"Neighborhood/community reporting; include when relevant to sampled organizations or crisis response."
NEWS013,North News,community_news,North Minneapolis,https://www.mynorthnews.org/,3,searchable,"Community-focused local journalism; useful for neighborhood-level communication infrastructure."
NEWS014,KRSM 98.9 FM,community_radio,Minneapolis,https://www.krsmradio.org/,3,partial,"Community radio; relevant where archives or transcripts are publicly retrievable."
NEWS015,Spokesman-Recorder,community_newspaper,Twin Cities / Minnesota,https://spokesman-recorder.com/,2,searchable,"Long-running Black community newspaper; include for broader community-news ecosystem."
NEWS016,LatinoLEAD / Latino community media candidates,community_media,Twin Cities / Minnesota,,3,to_verify,"Placeholder category pending verification of outlet-level inclusion; do not analyze as an outlet until canonical source is verified."
