pilot_order,item_id,org_id,organization,date,platform,platform_family,content_type,title_or_caption,source_summary
1,TC054-LI-001,TC054,Alight,2025-11-21,LinkedIn,social,social_post,"Support refugee-owned restaurants and businesses","Alight encourages support for refugee-owned restaurants and immigrant/refugee-owned businesses in the Twin Cities, framing purchases as support for livelihoods, culture, courage, hope, and new beginnings."
2,TC073-WEB-001,TC073,Center for Victims of Torture,2025-11-12,website,website,article,"A Legacy of Internships That Support Trauma Healing","CVT reflects on a decade of trauma-healing internships with Ethiopian universities and the role of supervision, professional development, and cross-community compassion."
3,TC041-LI-003,TC041,International Institute of Minnesota,2025-12-19,LinkedIn,social,social_post,"We support the Somali community in Minnesota and stand with all immigrants and refugees.","Institute posts a concise public solidarity message supporting Minnesota's Somali community and immigrants and refugees more broadly."
4,TC028-WEB-001,TC028,ACER,2025-12-01,website,website,article,"A Night of Gratitude: Friendsgiving with ACER Surrounding Community","ACER reflects on Friendsgiving, emphasizing gratitude, belonging, community leadership, housing support, trust, partnership, and organizing capacity."
5,TC057-LI-001,TC057,Immigrant Law Center of Minnesota,2025-11-20,LinkedIn,social,social_post,"Give to the Max Day support for ILCM legal services","ILCM asks for support to strengthen deportation defense and naturalization legal services, Know Your Rights workshops, outreach, and advocacy for humane policies."
6,D2-01-WEB-001,D2-01,ACLU of Minnesota,2025-12-17,website,website,press_release,"ACLU-MN, Pro Bono Partners Sue to Protect Protesters, Observers and Journalists from Illegal Activity by ICE","ACLU-MN announces litigation challenging alleged retaliation, detention, force, and intimidation against people observing and protesting immigration-enforcement activity in Minnesota."
7,TC073-LI-001,TC073,Center for Victims of Torture,2026-01-01,LinkedIn,social,social_post,"The Center for Victims of Torture hopes that 2026 will bring peace and happiness to everyone, around the world.","CVT opens 2026 with a brief message expressing hope for peace and happiness globally."
8,CI0032,TC041,International Institute of Minnesota,2025-11-17,website,website,announcement,"SNAP and Food Resources during Federal Government Shutdown","Institute shares food-access resources for clients, students, volunteers and community members, emphasizing food insecurity and practical assistance."
9,TC064-LI-002,TC064,The Advocates for Human Rights,2026-02-27,LinkedIn,social,social_post,"The Advocates for Human Rights is back at the United Nations","Organization previews March international advocacy at the UN Human Rights Council, including lobbying delegates, a side event, and stakeholder reports."
10,TC042-WEB-001,TC042,Isuroon,2025-11-11,website,website,event,"Anniversary Gratitude Dinner","Isuroon promotes its annual Anniversary Gratitude Dinner, a community gathering centered on gratitude and organizational support."
11,TC054-LI-002,TC054,Alight,2026-02-11,LinkedIn,social,social_post,"Four nonprofits providing lifesaving care to refugees in 2026","Alight amplifies an article naming organizations supporting displaced people and highlights health, trauma-healing, and crisis-response work."
12,TC057-WEB-001,TC057,Immigrant Law Center of Minnesota,2025-12-03,website,website,press_release,"Targeted ICE Enforcement of Somali Community in Minnesota Is Racist and Islamophobic","ILCM responds to targeted federal immigration enforcement affecting Minnesota's Somali community and frames the action as discriminatory and harmful."
13,TC073-LI-004,TC073,Center for Victims of Torture,2026-01-28,LinkedIn,social,social_post,"NEWS: We’re delighted to announce that Sonya Funna Evelyn has joined CVT as president and CEO!","CVT announces a leadership transition and highlights the new president and CEO's background in humanitarian response, psychology, health, and wellbeing."
14,TC073-WEB-004,TC073,Center for Victims of Torture,2025-12-10,website,website,article,"Mental Health is a Human Right: CVT’s Afghan Projects Bring Social Connection and Healing","CVT discusses Afghan-focused programs emphasizing social connection, trust, coping, resource access, and mental-health support for forced migrants."
15,TC075-LI-001,TC075,Unidos MN,2026-01-06,LinkedIn,social,social_post,"Healthcare Worker Resistance Training","Unidos MN promotes training on patient rights, HIPAA, and responding when ICE is present in healthcare settings, ending with 'Care is a right. Preparation is power.'"
16,D2-01-WEB-003,D2-01,ACLU of Minnesota,2026-01-07,website,website,press_release,"ACLU and ACLU of Minnesota Demand Immediate Action After ICE Shoots and Kills Minnesota Woman","ACLU-MN responds to the fatal shooting of Renee Good, expressing devastation and calling for federal immigration agents to withdraw from Minnesota."
