org_id,organization,screening_context,community_ethnic_status,local_regional_status,national_status,new_verified_items,notes,audit_date
D1-01,Voice in the Wilderness Organization,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first broad pass.",2026-09-26
D1-02,CHW Solutions,organization_form_to_verify,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Service/provider material found; no verified in-window independent-news relation in first pass.",2026-09-26
D1-03,ESHARA - Ethnic Self-Help Alliance for Refugee Assistance,geography_to_verify,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D1-04,Center for African Immigrants and Refugees Organization (CAIRO),likely_geographic_exclusion,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Provider listing confirms Minnesota resettlement role but geography/sampling status remains provisional; no verified in-window independent-news relation found.",2026-09-26
D1-05,Intercultural Mutual Assistance Association (IMAA),likely_geographic_exclusion,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Organizational service material found; no verified in-window independent-news relation in first pass.",2026-09-26
D1-06,CAPLP - Lakes & Prairies Community Action Partnership,likely_geographic_exclusion,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D1-07,United Community Action Partnership (UCAP),likely_geographic_exclusion,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D1-08,Southwest Minnesota Private Industry Council (SWMNPIC),likely_geographic_exclusion,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D1-09,Southern Minnesota Regional Legal Services (SMRLS),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Strong Sahan/SMRLS coverage located April 2026, outside fixed study window; no verified in-window item yet.",2026-09-26
D2-01,ACLU of Minnesota,retain_pending_screening,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing multi-outlet verified coverage retained; first-party/national ACLU material not counted as independent-news additions in this pass.",2026-09-26
