news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes
NM036,2026-01-13,MPR News,public_radio_digital,Sarah Thamer,"Resettlement agency head says new Homeland Security operation ‘terrifying’ refugee families",https://www.mprnews.org/story/2026/01/13/operation-parris-dhs-terrifying-refugee-families,earned_editorial,0,TC041,International Institute of Minnesota,primary_expert_source,1,Jane Graupman,refugee_service_expert,"Operation PARRIS; refugee detention; fear; legal status",CI0039,high,not_yet_coded,0,1,0,verified,"MPR centers IIMN leadership interpreting the emotional and practical effects of Operation PARRIS on refugee families; strong same-topic linkage to IIMN's refugee-focused communications."
NM037,2026-01-21,Minnesota Star Tribune,major_metro_newspaper,Susan Du,"Minnesota refugees with legal status are being detained in sweeping operation",https://www.startribune.com/minnesota-refugees-with-legal-status-being-detained-in-sweeping-operation/601564044,earned_editorial,0,TC041,International Institute of Minnesota,direct_quote,1,Jane Graupman,refugee_service_expert,"Operation PARRIS; refugee detention; vetting; wellness checks",CI0039,high,not_yet_coded,0,1,0,verified,"IIMN is quoted describing active wellness checks, family distress, and refugee vetting; story also documents the organization as a service intermediary for directly affected families."
NM038,2026-01-21,Minnesota Star Tribune,major_metro_newspaper,Susan Du,"Minnesota refugees with legal status are being detained in sweeping operation",https://www.startribune.com/minnesota-refugees-with-legal-status-being-detained-in-sweeping-operation/601564044,earned_editorial,0,TC064,The Advocates for Human Rights,direct_quote,1,Lindsey Greising,legal_advocacy_source,"Operation PARRIS; detention legality; emergency petitions",TC064-LI-003,high,not_yet_coded,1,0,0,verified,"Same article uses Advocates as the legal interpreter, contrasting with IIMN's service/refugee-family role; strong within-story role comparison."
NM039,2026-01-29,MPR News,public_radio_digital,Sarah Thamer,"Trapped inside: A Minnesota refugee family’s life on hold amid ICE arrests",https://www.mprnews.org/story/2026/01/29/trapped-inside-a-minnesota-refugee-familys-life-on-hold-amid-ice-arrests,earned_editorial,0,TC041,International Institute of Minnesota,direct_quote,1,Jane Graupman,refugee_service_expert,"refugee fear; Operation PARRIS; family isolation",CI0039,high,not_yet_coded,0,1,0,verified,"MPR story documents a resettled family staying home from work and relying on food support; Graupman is quoted characterizing the operation's impact as terrifying. Strong affective-uptake case."
NM040,2026-01-28,MPR News,public_radio_digital,Hannah Yang,"Immigration enforcement in rural Minnesota spreads fear, strains local leaders",https://www.mprnews.org/story/2026/01/28/ice-in-greater-minnesota-mankato-spreads-fear,earned_editorial,0,TC074,COPAL,primary_community_source,1,Lourdes Menjivar,community_intermediary,"rural ICE enforcement; fear; food delivery; observer training",TC074-LI-001,medium,not_yet_coded,0,1,1,verified,"COPAL is central to the story: volunteers deliver food to families afraid to leave home, staff describe grief/fear, report 400+ daily calls, and announce observer trainings. Strong case linking affective mediation to mutual aid and coordination."
NM041,2026-01-06,FOX 9,local_tv_digital,Mike Manzoni,"ICE agents shackled patient to bed at HCMC, advocacy group says",https://www.fox9.com/news/ice-agents-shackled-patient-bed-hcmc-advocacy-group-says.amp,earned_editorial,0,TC075,Unidos MN,primary_advocacy_source,1,,advocacy_source,"ICE in hospital; patient safety; warrant policy",TC075-LI-001,high,not_yet_coded,1,1,1,verified,"FOX 9 coverage is built around Unidos MN's account and rally, carrying the organization's patient-safety, legal-warrant, and institutional-policy framing into local television news."
NM042,2026-01-06,Sahan Journal,nonprofit_local_digital,Katelyn Vue,"Advocates, health care workers demand change at HCMC after ICE guarded patient’s bedside",https://sahanjournal.com/immigration/hcmc-patient-arrested-immigration-agents-ice-unidos-mn/,earned_editorial,0,TC075,Unidos MN,primary_advocacy_source,1,,advocacy_source,"ICE in hospital; patient safety; institutional protections",TC075-LI-001,high,not_yet_coded,1,1,1,verified,"Sahan centers Unidos MN's account, protest, and demand that hospitals adopt policies protecting immigrant patients; strong matched case for examining how advocacy framing moves into journalism."
NM043,2026-01-07,CBS Minnesota / WCCO,local_tv_digital,Jason Rantala,"ICE entered Minneapolis hospital without warrant, handcuffed patient to bed, community organizers say",https://www.cbsnews.com/minnesota/news/hcmc-hennepin-healthcare-ice-patient-handcuffed/,earned_editorial,0,TC075,Unidos MN,primary_advocacy_source,1,,advocacy_source,"ICE in hospital; patient safety; judicial warrant",TC075-LI-001,high,not_yet_coded,1,1,1,verified,"CBS/WCCO attributes the core allegations and policy concern to Unidos MN and includes Hennepin Healthcare's response, making this a strong case for preserved versus contested/mixed framing."
NM044,2026-01-16,Minnesota Reformer,nonprofit_state_digital,,"These are the arrests you’re not seeing",https://minnesotareformer.com/2026/01/16/these-are-the-arrests-youre-not-seeing/,earned_editorial,0,TC075,Unidos MN,direct_quote,1,Luis Argueta Jr.,community_intermediary,"hidden arrests; fear; observer networks",,,not_yet_coded,0,1,1,verified,"Unidos communications director is quoted describing residents stuck at home in fear; story situates the organization within community patrol/observation infrastructure."
NM045,2026-01-21,Minnesota Reformer,nonprofit_state_digital,Madison McVan,"In the Twin Cities, ICE resistance goes mainstream",https://minnesotareformer.com/2026/01/21/in-the-twin-cities-ice-resistance-goes-mainstream/,earned_editorial,0,TC075,Unidos MN,primary_community_source,1,Emilia González Avalos,community_mobilization_source,"observer training; nonviolent resistance; solidarity",,,not_yet_coded,0,0,1,verified,"Story reports Monarca/Unidos observer training and quotes Unidos leadership framing the movement around disciplined nonviolence, love, and shared futures. Strong mobilization/solidarity uptake case."
