org_id,organization,type_label,type_status,evidence_basis,evidence_url,evidence_note,coding_date
D1-01,Voice in the Wilderness Organization,community_rooted,verified,official_about_page,https://www.voiceinthew.org/,Verified role seed from authoritative eligibility-screening evidence: VWO is a refugee-founded nonprofit community-based organization created in Minneapolis to provide settlement and integration services to Congolese refugees in Minnesota,2026-09-26
D1-01,Voice in the Wilderness Organization,direct_service,verified,official_about_page,https://www.voiceinthew.org/,Verified role seed from authoritative eligibility-screening evidence: VWO is a refugee-founded nonprofit community-based organization created in Minneapolis to provide settlement and integration services to Congolese refugees in Minnesota,2026-09-26
D1-01,Voice in the Wilderness Organization,ethnocultural,verified,official_about_page,https://www.voiceinthew.org/,Verified role seed from authoritative eligibility-screening evidence: VWO is a refugee-founded nonprofit community-based organization created in Minneapolis to provide settlement and integration services to Congolese refugees in Minnesota,2026-09-26
D1-01,Voice in the Wilderness Organization,immigrant_integration,verified,official_about_page,https://www.voiceinthew.org/,Verified role seed from authoritative eligibility-screening evidence: VWO is a refugee-founded nonprofit community-based organization created in Minneapolis to provide settlement and integration services to Congolese refugees in Minnesota,2026-09-26
D1-01,Voice in the Wilderness Organization,refugee_resettlement,verified,official_about_page,https://www.voiceinthew.org/,Verified role seed from authoritative eligibility-screening evidence: VWO is a refugee-founded nonprofit community-based organization created in Minneapolis to provide settlement and integration services to Congolese refugees in Minnesota,2026-09-26
D2-04,Black Immigrant Collective,advocacy,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D2-04,Black Immigrant Collective,civil_rights_human_rights,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D2-04,Black Immigrant Collective,community_rooted,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D2-04,Black Immigrant Collective,direct_service,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D2-04,Black Immigrant Collective,legal,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D2-04,Black Immigrant Collective,organizing,verified,official_about_page,https://actionnetwork.org/groups/black-immigrant-collective,"Verified role seed from authoritative eligibility-screening evidence: Black Immigrant Collective is a Minneapolis/Minnesota Black-led immigrant organization focused on the intersection of Blackness and immigration, including detention/deportation defense, policy, legal clinics, mutual aid, and resource sharing",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),community_rooted,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),direct_service,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),education_workforce,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),health_wellbeing,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),immigrant_integration,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),legal,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),refugee_resettlement,verified,official_about_page,https://comsamn.org/,"Verified role seed from authoritative eligibility-screening evidence: COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",2026-09-26
D3-02,Southeast Asian Diaspora Project (SEAD),community_rooted,verified,government_or_partner_listing,https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=474088420&Yr=CURR&cmdSearch=View,"Verified role seed from authoritative eligibility-screening evidence: SEAD is an active Minneapolis charity serving Khmer, Hmong, Lao and Vietnamese diaspora communities; 2025-26 projects explicitly document 50 years of Southeast Asian migration and community experience in Minnesota",2026-09-26
D3-02,Southeast Asian Diaspora Project (SEAD),ethnocultural,verified,government_or_partner_listing,https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=474088420&Yr=CURR&cmdSearch=View,"Verified role seed from authoritative eligibility-screening evidence: SEAD is an active Minneapolis charity serving Khmer, Hmong, Lao and Vietnamese diaspora communities; 2025-26 projects explicitly document 50 years of Southeast Asian migration and community experience in Minnesota",2026-09-26
D3-02,Southeast Asian Diaspora Project (SEAD),media_information,verified,government_or_partner_listing,https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=474088420&Yr=CURR&cmdSearch=View,"Verified role seed from authoritative eligibility-screening evidence: SEAD is an active Minneapolis charity serving Khmer, Hmong, Lao and Vietnamese diaspora communities; 2025-26 projects explicitly document 50 years of Southeast Asian migration and community experience in Minnesota",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,community_rooted,verified,government_or_partner_listing,https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,"Verified role seed from authoritative eligibility-screening evidence: BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,direct_service,verified,government_or_partner_listing,https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,"Verified role seed from authoritative eligibility-screening evidence: BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,education_workforce,verified,government_or_partner_listing,https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,"Verified role seed from authoritative eligibility-screening evidence: BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,ethnocultural,verified,government_or_partner_listing,https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,"Verified role seed from authoritative eligibility-screening evidence: BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,immigrant_integration,verified,government_or_partner_listing,https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,"Verified role seed from authoritative eligibility-screening evidence: BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",2026-09-26
D3-04,Asian Women United of Minnesota,community_rooted,verified,official_about_page,https://www.awum.org/mission,"Verified role seed from authoritative eligibility-screening evidence: AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",2026-09-26
D3-04,Asian Women United of Minnesota,direct_service,verified,official_about_page,https://www.awum.org/mission,"Verified role seed from authoritative eligibility-screening evidence: AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",2026-09-26
D3-04,Asian Women United of Minnesota,gender_based,verified,official_about_page,https://www.awum.org/mission,"Verified role seed from authoritative eligibility-screening evidence: AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",2026-09-26
D3-04,Asian Women United of Minnesota,immigrant_integration,verified,official_about_page,https://www.awum.org/mission,"Verified role seed from authoritative eligibility-screening evidence: AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",2026-09-26
D3-04,Asian Women United of Minnesota,legal,verified,official_about_page,https://www.awum.org/mission,"Verified role seed from authoritative eligibility-screening evidence: AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",2026-09-26
D3-05,India Association of Minnesota,advocacy,verified,official_about_page,https://iamn.org/about/,"Verified role seed from authoritative eligibility-screening evidence: IAM is a St. Paul-based 501(c)(3) representing Minnesota's Asian Indian community, with cultural, civic, outreach and government-relations functions; current 2026 site includes immigration-policy town-hall content",2026-09-26
