news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes,source_batch,story_key
NM001,2025-12-16,Sahan Journal,nonprofit_local_digital,Joey Peters; Cynthia Tu,"ICE enforcement prompts relocation of detainees outside of Minnesota, worrying attorneys about access, rights",https://sahanjournal.com/immigration/ice-enforcement-prompts-relocation-of-detainees-outside-of-minnesota-worrying-attorneys-about-access-rights/,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,direct_quote,1,Ben Gleekel,legal_expert,ICE detention transfers; access to counsel,,,not_yet_coded,1,0,0,verified,ILCM attorney quoted directly about large-scale transfers and difficulty tracking clients; independent editorial story.,news_media_uptake_batch_01.csv,https://sahanjournal.com/immigration/ice-enforcement-prompts-relocation-of-detainees-outside-of-minnesota-worrying-attorneys-about-access-rights
NM002,2026-01-16,Sahan Journal,nonprofit_local_digital,Abe Asher; Hannah Ihekoronye,Ways to support Minnesota neighbors affected by ICE,https://sahanjournal.com/immigration/ways-to-support-minnesota-neighbors-affected-by-ice/,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,cited_guidance,0,,resource_legal_source,community support; ICE reporting; mutual aid,TC057-LI-002,medium,not_yet_coded,1,1,1,verified,Story carries forward ILCM guidance urging residents to monitor/report ICE activity and directs readers to community reporting resources.,news_media_uptake_batch_01.csv,https://sahanjournal.com/immigration/ways-to-support-minnesota-neighbors-affected-by-ice
NM003,2026-01-20,CBS Minnesota / WCCO,local_tv_digital,WCCO Staff / Associated Press,"DOJ subpoenas Walz, Frey, Her and others in probe alleging immigration obstruction",https://www.cbsnews.com/minnesota/live-updates/minnesota-ice-shooting-doj-lawsuit-protests/,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,direct_quote,1,Julia Decker,legal_policy_expert,Operation Metro Surge; arrest data; legal accountability,,,not_yet_coded,1,0,0,verified,Live-update story quotes ILCM policy director on uncertainty about government arrest numbers and the people in custody.,news_media_uptake_batch_01.csv,https://www.cbsnews.com/minnesota/live-updates/minnesota-ice-shooting-doj-lawsuit-protests
NM004,2026-02-04,MPR News,public_radio_digital,Cari Spencer,Asylum-seekers at the Center for Victims of Torture say ICE reminds them of what they escaped,https://www.mprnews.org/story/2026/02/04/asylum-seekers-center-for-victims-of-torture-say-ice-reminds-them-of-what-they-escaped,earned_editorial,0,TC073,Center for Victims of Torture,primary_story_subject,,Sara Nelson,affected_community_intermediary,ICE enforcement; trauma; asylum seekers,TC073-LI-003,medium,not_yet_coded,0,1,0,verified,CVT is central to the story and headline; organization and clients are positioned as interpreters of enforcement-related trauma. Direct quote status to be coded from full article text during detailed pass.,news_media_uptake_batch_01.csv,https://www.mprnews.org/story/2026/02/04/asylum-seekers-center-for-victims-of-torture-say-ice-reminds-them-of-what-they-escaped
NM005,2026-02-10,CBS Minnesota / WCCO,local_tv_digital,Tony Peterson,"With some Minneapolis Muslims in hiding, a nonprofit is gathering halal food for Ramadan",https://www.cbsnews.com/minnesota/news/minneapolis-nonprofit-isuroon-muslim-halal-food-shelf-ramadan/,earned_editorial,0,TC042,Isuroon,primary_story_subject,1,Fartun Weli,community_service_intermediary,Ramadan; food insecurity; Operation Metro Surge,TC042-WEB-003,high,not_yet_coded,0,1,1,verified,"Isuroon founder is quoted repeatedly about food need, community fear, collective response and donations; story links readers to Isuroon for support.",news_media_uptake_batch_01.csv,https://www.cbsnews.com/minnesota/news/minneapolis-nonprofit-isuroon-muslim-halal-food-shelf-ramadan
NM006,2026-02-12,Sahan Journal,nonprofit_local_digital,Nicolas Scibelli,"Lost wages, legal costs add to toll for those detained in Minnesota ICE surge",https://sahanjournal.com/immigration/minnesota-ice-operation-families-face-financial-toll/,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,direct_quote,1,Tracy Roy,legal_expert,financial toll; detention; legal costs; mutual aid,,,not_yet_coded,1,1,1,verified,"ILCM legal director is quoted on bond costs, legal-service strain and inability of existing legal networks to meet demand.",news_media_uptake_batch_01.csv,https://sahanjournal.com/immigration/minnesota-ice-operation-families-face-financial-toll
NM007,2026-02-19,CBS Minnesota / WCCO,local_tv_digital,Ubah Ali,Judge hears arguments on extending protections for refugees in Minnesota facing deportation,https://www.cbsnews.com/minnesota/news/judge-refugee-protections-minnesota-deportations-ice-surge/,earned_editorial,0,TC041,International Institute of Minnesota,direct_quote,1,Jane Graupman,refugee_service_expert,Operation PARRIS; refugee detention; litigation,CI0044,high,not_yet_coded,1,1,0,verified,International Institute executive director quoted questioning the rationale of detaining already-vetted refugees; Institute-hosted version of the same coverage exists in nonprofit corpus.,news_media_uptake_batch_01.csv,https://www.cbsnews.com/minnesota/news/judge-refugee-protections-minnesota-deportations-ice-surge
NM008,2026-03-27,MPR News,public_radio_digital,Jon Collins,"Ahead of 'No Kings' rally, advocates say ICE enforcement persists",https://www.mprnews.org/story/2026/03/27/no-kings-rally-spotlights-ongoing-ice-enforcement-in-minnesota,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,direct_quote,1,Julia Decker,legal_policy_expert,continuing ICE enforcement; detention; legal pressure,,,not_yet_coded,1,0,0,verified,"ILCM policy director quoted on ongoing custody, detention and work-status uncertainty after the visible surge declined.",news_media_uptake_batch_01.csv,https://www.mprnews.org/story/2026/03/27/no-kings-rally-spotlights-ongoing-ice-enforcement-in-minnesota
NM010,2025-12-17,KSTP 5 Eyewitness News,local_tv_digital,Kyle Brown,"ACLU sues ICE, claiming federal agents deprived citizens of civil rights",https://kstp.com/kstp-news/top-news/aclu-sues-ice-claiming-federal-agents-deprived-citizens-of-civil-rights/,earned_editorial,0,D2-01,ACLU of Minnesota,primary_story_subject,1,,legal_advocacy_source,First Amendment observers; alleged retaliation and civil-rights violations,D2-01-WEB-001,high,not_yet_coded,1,0,1,verified,"Story closely tracks ACLU-MN's same-day lawsuit announcement, reproduces allegations as attributed claims, includes Know Your Rights guidance and links readers to immigration legal resources including ILCM.",news_media_uptake_batch_02_KSTP.csv,https://kstp.com/kstp-news/top-news/aclu-sues-ice-claiming-federal-agents-deprived-citizens-of-civil-rights
NM009,2025-12-17,Minnesota Reformer,nonprofit_state_digital,Madison McVan,"ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,,legal_advocacy_source,observer/protester rights; ICE conduct,D2-01-WEB-001,high,not_yet_coded,1,0,0,verified,Independent news report centered on ACLU-MN litigation announced the same day as the organization-owned press release; strong high-confidence match for frame-transformation analysis.,news_media_uptake_batch_03_reformer_startribune.csv,https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters
NM010,2026-01-06,Minnesota Reformer,nonprofit_state_digital,Madison McVan,Homeland Security Secretary Kristi Noem visits Minnesota as hundreds more ICE agents arrive,https://minnesotareformer.com/2026/01/06/homeland-security-secretary-kristi-noem-visits-minnesota-as-hundreds-more-ice-agents-arrive/,earned_editorial,0,D2-01,ACLU of Minnesota,secondary_legal_source,0,,legal_advocacy_source,Operation Metro Surge; constitutional-rights litigation,D2-01-WEB-001,medium,not_yet_coded,1,0,0,verified,Story references ACLU-MN's recent lawsuit as part of the wider enforcement context; useful example of prior nonprofit framing recirculated into subsequent news coverage.,news_media_uptake_batch_03_reformer_startribune.csv,https://minnesotareformer.com/2026/01/06/homeland-security-secretary-kristi-noem-visits-minnesota-as-hundreds-more-ice-agents-arrive
NM011,2026-01-13,Minnesota Reformer,nonprofit_state_digital,,In the car with the Minneapolis community patrols working to disrupt ICE operations,https://minnesotareformer.com/2026/01/13/in-the-car-with-minneapolis-community-patrols/,earned_editorial,0,TC057,Immigrant Law Center of Minnesota,direct_quote,1,Tracy Roy,legal_expert,rapid response; observing and documenting ICE activity,TC057-LI-002,high,not_yet_coded,1,0,1,verified,ILCM attorney is quoted explaining what rapid responders may legally do. Story strongly overlaps with ILCM's Jan. 8 rapid-response and safety guidance.,news_media_uptake_batch_03_reformer_startribune.csv,https://minnesotareformer.com/2026/01/13/in-the-car-with-minneapolis-community-patrols
NM012,2026-02-02,Minnesota Star Tribune,major_metro_newspaper,John Rash,They fled torture in their home countries. Now they've been held by ICE,https://www.startribune.com/rash-they-fled-torture-in-their-home-countries-now-theyve-been-held-by-ice/601571814,earned_editorial,0,TC073,Center for Victims of Torture,primary_story_subject,1,Scott Roehm,affected_community_intermediary,torture survivors; detention; trauma,TC073-WEB-007,medium,not_yet_coded,1,1,0,verified,Column centers six CVT clients detained during the surge and quotes CVT leadership comparing their detention experiences with abusive security environments clients fled.,news_media_uptake_batch_03_reformer_startribune.csv,https://www.startribune.com/rash-they-fled-torture-in-their-home-countries-now-theyve-been-held-by-ice/601571814
NM013,2026-02-19,Minnesota Reformer,nonprofit_state_digital,Brian Martucci,Amended lawsuit alleges more unconstitutional conduct of feds in Minnesota,https://minnesotareformer.com/2026/02/19/amended-lawsuit-details-unconstitutional-conduct-of-feds-in-minnesota/,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,Alicia Granse; Teresa Nelson; Kate Huddleston,legal_advocacy_source,Tincher v. Noem; Hussen v. Noem; constitutional rights,D2-01-WEB-007,medium,not_yet_coded,1,0,0,verified,ACLU-MN attorneys are quoted extensively on alleged rights violations and continuing legal strategy. Story provides a strong case for examining whether outrage/injustice framing is preserved or proceduralized in journalism.,news_media_uptake_batch_03_reformer_startribune.csv,https://minnesotareformer.com/2026/02/19/amended-lawsuit-details-unconstitutional-conduct-of-feds-in-minnesota
NM014,2026-03-11,Minnesota Reformer,nonprofit_state_digital,Max Nesterak,Judge finds 'compelling and troubling' evidence of racial profiling by federal agents in Minnesota,https://minnesotareformer.com/2026/03/11/judge-finds-compelling-and-troubling-evidence-of-racial-profiling-by-federal-agents-in-minnesota/,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,0,,legal_advocacy_source,racial profiling; Operation Metro Surge; ACLU litigation,D2-01-WEB-004,medium,not_yet_coded,1,0,0,verified,Coverage reports a judicial ruling in ACLU litigation and carries the organization's legal-injustice frame into an institutional court-news format.,news_media_uptake_batch_03_reformer_startribune.csv,https://minnesotareformer.com/2026/03/11/judge-finds-compelling-and-troubling-evidence-of-racial-profiling-by-federal-agents-in-minnesota
NM015,2026-03-10,Minnesota Star Tribune,major_metro_newspaper,Sarah Nelson,"Judge says ICE showed 'unconstitutional policies' during surge, but won't block its practices",https://www.startribune.com/judge-says-ice-showed-unconstitutional-policies-during-surge-but-declines-to-block-ice-practices-as-racial-profiling-lawsuit-proceeds/601595625,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,Deepinder Mayell,legal_advocacy_source,racial profiling; Hussen v. Noem; judicial ruling,D2-01-WEB-004,medium,not_yet_coded,1,0,0,verified,Story centers ACLU-MN's class-action case and quotes/identifies organization leadership; useful paired coverage with Minnesota Reformer for outlet-level framing comparison.,news_media_uptake_batch_03_reformer_startribune.csv,https://www.startribune.com/judge-says-ice-showed-unconstitutional-policies-during-surge-but-declines-to-block-ice-practices-as-racial-profiling-lawsuit-proceeds/601595625
