pilot_order,item_id,org_id,organization,date,platform,title,coding_source_quality,ai_coding_confidence,coding_abstain,ambiguity_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_evidence_notes,emotion_evidence_notes,function_evidence_notes,action_evidence_notes,audience_tone_evidence_notes,coding_source_note,ambiguity_notes,ai_coder_id
1,TC054-LI-001,TC054,Alight,2025-11-21,LinkedIn,Support refugee-owned restaurants and businesses,summary_plus_title,medium,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,support_business;share_information,specific,low,general_public,1,1,0,0,,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.","Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.","The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.","Readers are asked to support refugee-owned businesses and amplify them; the action is specific but not urgent.","The message addresses a broad Twin Cities public and invites direct participation.","Repository preserves canonical LinkedIn URL plus title and substantive collector summary; full verbatim post text is not stored in this row.","Borderline questions are whether business support counts as advocacy and whether refugee rebuilding implies vulnerability; protocol rules both out without stronger evidence.",GPT-5.6-Sol_ai_coding_v1
2,TC073-WEB-001,TC073,Center for Victims of Torture,2025-11-12,website,A Legacy of Internships That Support Trauma Healing,summary_plus_title,medium,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,,none,none,general_public,0,0,0,1,,"The internship model is presented as building professional capacity, supervision, healing support, and cross-community capability, supporting coping and collective efficacy appraisals.","Compassion is the clearest affective cue; empathy, solidarity, gratitude, pride, and hope are present at lower intensity in a reflective legacy frame.","The article documents a decade of work, informs about the program, celebrates the legacy, builds solidarity, and highlights capacity for trauma healing.","No audience-directed action is evident from the available title and summary.","The item appears designed for a general organizational audience rather than a narrowly targeted service recipient group.","Official CVT item with exact date and substantive collector summary; full article text was not preserved in the coding row used here.","Service delivery is described, but the communication itself is retrospective rather than a direct service notice.",GPT-5.6-Sol_ai_coding_v1
3,TC041-LI-003,TC041,International Institute of Minnesota,2025-12-19,LinkedIn,We support the Somali community in Minnesota and stand with all immigrants and refugees.,summary_plus_title,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,none,none,ethnocultural_community,0,0,0,0,0,"The available message is a solidarity statement and does not provide enough evidence to code a specific situational appraisal.","Solidarity is dominant because the organization explicitly says it supports the Somali community and stands with immigrants and refugees. Care is clear; defiance is only implicit in the public act of standing with targeted communities.","The primary function is relational solidarity and secondary empathy; there is no explicit policy demand or audience mobilization in the preserved text.","No concrete audience action is requested in the available message.","The message centers the Somali community while extending solidarity to immigrants and refugees more broadly.","Canonical LinkedIn title reproduces the core organization-authored message and the collector summary confirms it is a concise solidarity post.",,GPT-5.6-Sol_ai_coding_v1
4,TC028-WEB-001,TC028,ACER,2025-12-01,website,A Night of Gratitude: Friendsgiving with ACER Surrounding Community,summary_plus_title,medium,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,,none,none,ethnocultural_community,0,0,0,1,,"The reflection emphasizes community leadership, housing support, trust, partnership, and organizing capacity, indicating care need and collective/coping efficacy rather than threat.","Gratitude is dominant and explicit; solidarity and care are clearly present through belonging, partnership, and community support.","The item documents and celebrates a community gathering, builds solidarity and empathy, and highlights community capacity.","The available description is retrospective and does not show a concrete audience call to action.","The story is oriented toward ACER's surrounding community and supporters.","Official ACER impact story with title, exact date, and substantive summary; full article text is not stored in the coding record.","Resource/service information is present in the discussion of housing support, but this is not a direct service-access notice.",GPT-5.6-Sol_ai_coding_v1
5,TC057-LI-001,TC057,Immigrant Law Center of Minnesota,2025-11-20,LinkedIn,Give to the Max Day support for ILCM legal services,summary_plus_title,high,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,donate,specific,moderate,supporters_donors,1,1,0,1,,"The appeal situates deportation defense and legal assistance as responses to vulnerability and threat, while donations are framed as a concrete way to expand coping and collective capacity.","Solidarity and care are prominent; fear is low and inferred from the deportation-defense context rather than explicitly described. Hope is tied to strengthening services.","This is explicitly a fundraising and mobilization post supporting legal services, Know Your Rights outreach, and advocacy for humane policies.","The requested action is a specific donation tied to Give to the Max Day, creating moderate time sensitivity.","The post is directed primarily to supporters and potential donors.","Canonical LinkedIn post with title and substantive summary based on public post retrieval.",,GPT-5.6-Sol_ai_coding_v1
6,D2-01-WEB-001,D2-01,ACLU of Minnesota,2025-12-17,website,ACLU-MN Pro Bono Partners Sue to Protect Protesters Observers and Journalists from Illegal Activity by ICE,summary_plus_title,high,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,,none,none,general_public,0,2,1,0,,"The lawsuit challenges alleged retaliation, detention, force, and intimidation as unlawful conduct, supporting threat, harm, injustice, blame, intentionality, norm-violation, and vulnerability appraisals. Litigation provides a controllability/coping pathway.","Anger and moral outrage are clear because the conduct is framed as illegal rights violations; defiance and urgency are also strong through legal resistance. Fear is present but secondary.","The release informs, warns, advocates, documents alleged abuses, morally evaluates them, and uses litigation as an efficacy-building response.","The item reports organizational legal action but the available evidence does not show a direct action request to the audience.","The press release addresses the public and media, with legal information central to the message.","Official ACLU-MN press release with exact title/date and substantive summary; organizational allegations are retained as attributed claims.",,GPT-5.6-Sol_ai_coding_v1
7,TC073-LI-001,TC073,Center for Victims of Torture,2026-01-01,LinkedIn,The Center for Victims of Torture hopes that 2026 will bring peace and happiness to everyone around the world.,summary_plus_title,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,none,none,general_public,0,0,0,0,0,"The only clear appraisal is favorable future possibility: the organization expresses a wish for peace and happiness in the coming year.","Hope is dominant and explicit. Solidarity and care are low because the wish is universal and relational. Reassurance is not coded because no present threat or uncertainty is being reduced.","The post marks the new year and expresses broad solidarity; it is not informational, mobilizing, or advocacy-oriented.","No audience action is requested.","The wording addresses everyone globally rather than a specialized constituency.","Canonical LinkedIn title contains the substantive organization-authored message and the collector summary confirms the brief hope-oriented post.",,GPT-5.6-Sol_ai_coding_v1
8,CI0032,TC041,International Institute of Minnesota,2025-11-17,website,SNAP and Food Resources during Federal Government Shutdown,summary_plus_title,high,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,use_resource,specific,moderate,immigrants_refugees,1,2,0,1,1,"The shutdown is linked to food insecurity and potential loss or disruption of benefits, creating threat, uncertainty, vulnerability, and care need. Resource information provides a concrete coping pathway.","Care is strongest. Fear/anxiety and urgency are low-to-moderate because food access is uncertain, while reassurance is present through practical resources rather than generic positivity.","The announcement informs, warns about a practical disruption, provides services/resources, reassures, regulates fear through concrete guidance, and increases efficacy.","Readers are directed toward food-access resources; the action is specific and time-sensitive during the shutdown.","Clients, students, volunteers, and community members are named, with immigrant/refugee service users as a central audience.","Official Institute announcement with exact title/date and substantive summary describing resource provision.",,GPT-5.6-Sol_ai_coding_v1
9,TC064-LI-002,TC064,The Advocates for Human Rights,2026-02-27,LinkedIn,The Advocates for Human Rights is back at the United Nations,summary_plus_title,medium,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,,none,none,general_public,0,0,0,0,,"The post previews lobbying, a side event, and stakeholder reports on human-rights issues, implying injustice/norm concerns while presenting institutional advocacy as a controllable and collective response.","Pride is clearest in the return-to-UN framing; hope, solidarity, moral concern, and low defiance are secondary. The summary is too broad to justify stronger outrage.","The post informs about upcoming UN work, advocates, documents/reporting activity, celebrates institutional participation, and signals efficacy through organized lobbying.","No direct audience action is evident in the available summary.","The LinkedIn update appears directed to a general supporter/public audience while describing work aimed at international policymakers.","Canonical LinkedIn post with title and substantive summary; no full verbatim caption in the coding record.","Injustice and moral-outrage coding are conservative because the specific human-rights issues are not detailed in the summary.",GPT-5.6-Sol_ai_coding_v1
10,TC042-WEB-001,TC042,Isuroon,2025-11-11,website,Anniversary Gratitude Dinner,summary_plus_title,medium,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,attend_event,specific,moderate,ethnocultural_community,1,1,0,0,,"The event frames gathering and organizational support as a collective opportunity; no threat, harm, or injustice appraisal is evident.","Gratitude is dominant and explicit. Solidarity is clear through the community gathering, with lower care, hope, and pride.","The item informs about and mobilizes attendance at a celebratory community event while building solidarity.","Promotion of a dated dinner constitutes a specific attendance action with moderate immediacy.","The event is primarily oriented toward Isuroon's community and supporters.","Official Isuroon homepage event listing with exact date and substantive summary; full event copy is not preserved in the coding row.","Fundraising is not coded because the available summary says organizational support but does not establish a donation ask.",GPT-5.6-Sol_ai_coding_v1
