org_id,organization,type_label,type_status,evidence_basis,evidence_url,evidence_note,coding_date
TC001,Caring Friends Network,education_workforce,verified,other,https://www.nld.org/caring-friends-network,"National Literacy Directory program record identifies adult literacy, job training, life-skills coaching and Adult English Language Learners as the organization's core program focus.",2026-09-26
TC004,East African Integration Center,community_rooted,verified,official_about_page,https://www.eafricic.org/,"Official site identifies a Minneapolis office and states that the nonprofit is committed to serving its community through community programs and outreach.",2026-09-26
TC004,East African Integration Center,ethnocultural,verified,official_about_page,https://www.eafricic.org/,"Official identity and program framing explicitly center East African communities.",2026-09-26
TC004,East African Integration Center,health_wellbeing,verified,programs,https://www.eafricic.org/,"Official site documents multilingual health-literacy, COVID-19 outreach and vaccine programming for vulnerable populations.",2026-09-26
TC004,East African Integration Center,direct_service,verified,programs,https://www.eafricic.org/,"Official site describes vaccine events and community program resources delivered directly through Minneapolis and other Minnesota offices.",2026-09-26
TC006,Ka Joog,community_rooted,verified,government_or_partner_listing,https://www.legacy.mn.gov/sites/default/files/resources/Ka-Joog-FY24-MN-Legislative-Report.pdf,"Organization-submitted Minnesota legislative report documents Somali arts, culture, heritage and statewide Somali community engagement.",2026-09-26
TC006,Ka Joog,ethnocultural,verified,government_or_partner_listing,https://www.legacy.mn.gov/sites/default/files/resources/Ka-Joog-FY24-MN-Legislative-Report.pdf,"Minnesota legislative report explicitly centers Somali arts, culture and heritage.",2026-09-26
TC006,Ka Joog,youth_family,verified,government_or_partner_listing,https://apps.deed.state.mn.us/assets/youth/services/wsa9servicesmyp.shtml,"Minnesota DEED lists Ka Joog as a youth service provider with mentoring, leadership development and supportive services.",2026-09-26
TC006,Ka Joog,education_workforce,verified,government_or_partner_listing,https://apps.deed.state.mn.us/assets/youth/services/wsa9servicesmyp.shtml,"Minnesota DEED documents academic enrichment, occupational skills training, summer employment and mentoring services.",2026-09-26
TC006,Ka Joog,direct_service,verified,government_or_partner_listing,https://apps.deed.state.mn.us/assets/youth/services/wsa9servicesmyp.shtml,"Minnesota DEED documents direct intake, supportive services, mentoring and guidance/counseling.",2026-09-26
TC032,AFDN / African Families Development Network,community_rooted,verified,other,https://projects.propublica.org/nonprofits/organizations/263038494,"IRS-derived nonprofit classification identifies AFDN as an Ethnic, Immigrant Centers and Services organization in Minneapolis.",2026-09-26
TC032,AFDN / African Families Development Network,ethnocultural,verified,other,https://projects.propublica.org/nonprofits/organizations/263038494,"IRS-derived NTEE classification explicitly places AFDN in ethnic/immigrant centers and services.",2026-09-26
TC032,AFDN / African Families Development Network,direct_service,verified,other,https://projects.propublica.org/nonprofits/organizations/263038494,"IRS-derived classification identifies the organization as a human-services ethnic/immigrant center; historical program records document client services.",2026-09-26
TC034,Al-Maa'uun,faith_based,verified,official_about_page,https://almaauun.org/about-us/,"Official about page describes the nonprofit as inspired by faith and documents faith-based programs and spiritual development.",2026-09-26
TC034,Al-Maa'uun,direct_service,verified,mission,https://almaauun.org/about-us/,"Official mission explicitly states that Al-Maa'uun addresses poverty and oppression through direct service and advocacy.",2026-09-26
