metric,entity_id,entity_name,count,notes
media_layer_edges,,local_regional,87,Verified deduplicated organization-story edges.
media_layer_edges,,national_amplification,17,Verified deduplicated organization-story edges.
media_layer_edges,,community_ethnic,17,Verified deduplicated organization-story edges.
media_layer_edges,,unmapped,1,Verified deduplicated organization-story edges.
organization_edges,D1-09,Southern Minnesota Regional Legal Services (SMRLS),1,unique_stories=1; media_layers=1
organization_edges,D2-01,ACLU of Minnesota,12,unique_stories=12; media_layers=1
organization_edges,D2-02,MN8 / Release MN8,2,unique_stories=2; media_layers=2
organization_edges,D2-03,Ayada Leads,1,unique_stories=1; media_layers=1
organization_edges,D2-05,CAIR-Minnesota,1,unique_stories=1; media_layers=1
organization_edges,D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,2,unique_stories=2; media_layers=2
organization_edges,D2-07,Groundwork Legal,1,unique_stories=1; media_layers=1
organization_edges,D2-08,Defend the 612,1,unique_stories=1; media_layers=1
organization_edges,D2-10,Immigrant Defense Network,2,unique_stories=2; media_layers=2
organization_edges,D3-13,Vietnamese Community of Minnesota,1,unique_stories=1; media_layers=1
organization_edges,D3-16,Latino Economic Development Center (LEDC),1,unique_stories=1; media_layers=1
organization_edges,D4-02,Organization of Liberians in Minnesota,1,unique_stories=1; media_layers=1
organization_edges,TC009,Minnesota Somali Community Center,1,unique_stories=1; media_layers=1
organization_edges,TC019,Esperanza United,1,unique_stories=1; media_layers=1
organization_edges,TC025,Twin Cities Habitat for Humanity,1,unique_stories=1; media_layers=1
organization_edges,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2,unique_stories=2; media_layers=1
organization_edges,TC041,International Institute of Minnesota,11,unique_stories=11; media_layers=2
organization_edges,TC042,Isuroon,1,unique_stories=1; media_layers=1
organization_edges,TC044,Minnesota Council of Churches - Refugee Services,1,unique_stories=1; media_layers=1
organization_edges,TC045,Neighborhood House,1,unique_stories=1; media_layers=1
organization_edges,TC050,Project for Pride in Living,1,unique_stories=1; media_layers=1
organization_edges,TC054,Alight,4,unique_stories=4; media_layers=2
organization_edges,TC057,Immigrant Law Center of Minnesota,17,unique_stories=17; media_layers=2
organization_edges,TC058,Mid-Minnesota Legal Aid,5,unique_stories=5; media_layers=3
organization_edges,TC064,The Advocates for Human Rights,12,unique_stories=12; media_layers=2
organization_edges,TC065,Volunteer Lawyers Network,3,unique_stories=3; media_layers=2
organization_edges,TC073,Center for Victims of Torture,10,unique_stories=10; media_layers=2
organization_edges,TC074,COPAL - Communities Organizing Latine Power and Action,2,unique_stories=2; media_layers=2
organization_edges,TC075,Unidos MN,5,unique_stories=5; media_layers=1
organization_edges,TC077,ISAIAH,2,unique_stories=2; media_layers=1
organization_edges,TC078,Jewish Community Action,6,unique_stories=6; media_layers=2
organization_edges,TC082,Coalition of Asian American Leaders (CAAL),2,unique_stories=2; media_layers=2
organization_edges,TC084,Minnesota Immigrant Rights Action Committee (MIRAC),8,unique_stories=8; media_layers=3
outlet_edges,NEWS001,Sahan Journal,20,unique_orgs=12; unique_stories=17
outlet_edges,NEWS002,MPR News,13,unique_orgs=10; unique_stories=12
outlet_edges,NEWS003,Star Tribune,15,unique_orgs=10; unique_stories=12
outlet_edges,NEWS004,CBS Minnesota / WCCO,10,unique_orgs=10; unique_stories=9
outlet_edges,NEWS005,KARE 11,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS006,FOX 9,4,unique_orgs=2; unique_stories=4
outlet_edges,NEWS007,KSTP 5 Eyewitness News,6,unique_orgs=4; unique_stories=3
outlet_edges,NEWS008,Pioneer Press,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS010,Minnesota Reformer,7,unique_orgs=3; unique_stories=7
outlet_edges,NEWS011,Bring Me The News,10,unique_orgs=4; unique_stories=9
outlet_edges,NEWS015,Minnesota Spokesman-Recorder,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS016,Community Reporter,4,unique_orgs=4; unique_stories=1
outlet_edges,NEWS017,TC Jewfolk,6,unique_orgs=2; unique_stories=5
outlet_edges,NEWS019,Hmong Daily News,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS022,The Circle,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS023,Minnesota Women's Press,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS028,Reuters,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS029,NPR,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS030,PBS NewsHour,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS031,The Washington Post,5,unique_orgs=4; unique_stories=3
outlet_edges,NEWS032,The New York Times,2,unique_orgs=2; unique_stories=2
outlet_edges,NEWS033,CNN,2,unique_orgs=2; unique_stories=2
outlet_edges,NEWS045,Jewish Telegraphic Agency,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS046,The Imprint,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS047,NOTUS,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS049,Fight Back! News,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS050,The Militant,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS051,Rafu Shimpo,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS052,La Nacion,1,unique_orgs=1; unique_stories=1
outlet_edges,NEWS053,Boreal Community Media,1,unique_orgs=1; unique_stories=1
corpus_total,,verified_edges,122,After story/org deduplication.
corpus_total,,verified_unique_stories,104,Normalized by date + outlet + headline.
corpus_total,,verified_organizations,33,Organizations with at least one verified news relation.
corpus_total,,verified_outlets_mapped,30,Registered outlets represented in verified network.
corpus_total,,unmapped_verified_edges,1,Resolve before final network analysis.
corpus_total,,candidate_edges,25,Kept outside verified master counts.
