org_id,organization,strongest_mention_type,strongest_mention_date,strongest_source,strongest_url,secondary_evidence_type,secondary_evidence_note,tertiary_evidence_type,tertiary_evidence_note,search_status,last_audited
TC025,Twin Cities Habitat for Humanity,substantive_independent_news,2026-01-06,Sahan Journal,https://sahanjournal.com/housing/pathways-to-success-helps-minneapolis-families-buy-homes/,first_party_crisis_communication,"Organization maintained housing and community support communications during the study window.",government_or_directory_reference,"Public and housing-sector references confirm ongoing service role.",verified_top3_started,2026-09-23
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),national_regional_external_coverage,2026-01-13,Religion News Service,https://religionnews.com/2026/01/13/faith-leaders-are-denied-access-to-immigration-detainees-in-minnesota/,first_party_crisis_communication,"ICOM organized interfaith immigration-response activity during the study window.",community_ethnic_media_mention,"Additional coalition/faith-media references located around January actions.",verified_top3_started,2026-09-23
D3-16,Latino Economic Development Center (LEDC),first_party_crisis_communication,2026-01-01,LEDC,https://www.ledcmn.org/,government_or_directory_reference,"Minnesota economic and small-business response materials reference LEDC during the enforcement-related economic disruption.",partner_funder_secondary_reference,"Coalition and partner resources identify LEDC as a Latino economic-support organization during the crisis period.",searched_top3_partial,2026-09-23
TC061,Ukrainian American Community Center,first_party_crisis_communication,2026-01-01,Ukrainian American Community Center,https://uaccmn.org/,community_ethnic_media_mention,"Community/event visibility found during the study window, but no strong independent immigration-crisis story verified in this pass.",government_or_directory_reference,"Refugee/community-service references document organizational role.",searched_top3_partial,2026-09-23
TC062,AVIVO,first_party_crisis_communication,2026-01-01,Avivo,https://avivomn.org/,government_or_directory_reference,"State and service-network references document immigrant/refugee and workforce-support functions.",partner_funder_secondary_reference,"Partner-network mentions recovered; no strong in-window crisis-news item verified yet.",searched_top3_partial,2026-09-23
D3-14,LatinoLEAD,first_party_crisis_communication,2026-01-01,LatinoLEAD,https://latinoleadmn.org/,partner_funder_secondary_reference,"Coalition/leadership-network references found during the crisis period.",community_ethnic_media_mention,"Searches located Latino-community references but no sufficiently substantive independent-news item yet.",searched_top3_partial,2026-09-23
D3-15,Hispanic Advocacy and Community Empowerment through Research (HACER),first_party_crisis_communication,2026-01-01,HACER,https://hacer-mn.org/,partner_funder_secondary_reference,"Research and partner-network references document HACER's Latino community role.",government_or_directory_reference,"Institutional listings confirm active community-information work.",searched_top3_partial,2026-09-23
D3-17,Alliance of Chicanos Hispanics and Latin Americans (ACHLA),government_or_directory_reference,2026-01-01,Public/organizational listings,,community_ethnic_media_mention,"Community references located but no strong independent in-window news uptake verified.",first_party_crisis_communication,"Organizational/community activity recoverable during the study period.",searched_top3_partial,2026-09-23
TC079,Fe y Justicia MN,first_party_crisis_communication,2026-01-01,Fe y Justicia MN,,community_ethnic_media_mention,"Local/community searches found references connected to immigrant support and mutual aid.",partner_funder_secondary_reference,"Partner-network visibility located; independent-news verification remains incomplete.",searched_top3_partial,2026-09-23
TC080,Asamblea de Derechos Civiles,first_party_crisis_communication,2026-01-01,Asamblea de Derechos Civiles,,community_ethnic_media_mention,"Community references and organizing visibility located during the enforcement period.",partner_funder_secondary_reference,"Coalition references recovered; no strong distinct independent article admitted yet.",searched_top3_partial,2026-09-23
TC081,Minnesota Immigrant Movement,first_party_crisis_communication,2026-01-01,Minnesota Immigrant Movement,,community_ethnic_media_mention,"Movement-related visibility appears in community organizing references.",partner_funder_secondary_reference,"Coalition-network mentions found; independent-news status remains to verify.",searched_top3_partial,2026-09-23
TC083,Navigate MN,first_party_crisis_communication,2026-01-01,Navigate MN,,community_ethnic_media_mention,"Community immigrant-rights references located during the study window.",government_or_directory_reference,"Service/resource listings confirm active role.",searched_top3_partial,2026-09-23
