item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC057-WEB-004,TC057,Immigrant Law Center of Minnesota,2026-01-22,website,legal,advocacy,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,3,2,1,1,0,0,1,3,3,0,explicit,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,protest;use_resource,specific,high,general_public,1,3,1,1,1,Statewide action is framed as collective response while services remain available.,Solidarity defiance and urgency dominate with care/reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-002,TC073,Center for Victims of Torture,2025-12-02,website,advocacy,service,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2,1,2,3,1,2,3,3,0,0,0,0,2,2,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,share_information;contact_official,general,high,general_public,1,2,1,0,1,Collective punishment of asylum seekers is framed as unjust and harmful.,Outrage care empathy and solidarity are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-003,TC073,Center for Victims of Torture,2025-12-08,website,advocacy,service,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,2,2,1,2,1,1,1,0,1,0,mixed,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,,none,none,general_public,0,1,1,1,1,Newsletter combines policy response with global program updates.,Mixed concern solidarity care and hope.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC073-WEB-006,TC073,Center for Victims of Torture,2026-01-15,website,advocacy,service,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3,3,2,3,1,2,3,3,0,0,0,0,2,3,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,share_information;contact_official,general,high,general_public,1,3,1,0,1,Visa restrictions are framed as cruelty creating panic uncertainty and harm.,Fear anxiety outrage care empathy and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-007,TC073,Center for Victims of Torture,2026-01-20,website,advocacy,service,1,1,1,1,1,1,0,1,1,0,0,1,1,0,3,3,1,2,2,2,3,3,0,0,0,0,1,3,0,explicit,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,share_information;seek_legal_help,general,high,general_public,1,3,1,1,1,Detention and transfer of torture-survivor clients are framed as retraumatizing harm.,Fear anxiety grief care empathy and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-008,TC073,Center for Victims of Torture,2026-01-28,website,service,advocacy,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,none,none,general_public,0,0,0,0,1,Monthly issue includes leadership/program updates.,Low hope solidarity and reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC073-WEB-009,TC073,Center for Victims of Torture,2026-02-18,website,service,advocacy,1,1,1,0,1,0,0,0,1,0,1,0,1,0,3,3,0,0,2,2,3,3,0,0,0,1,0,2,0,explicit,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,use_resource;seek_legal_help,general,high,immigrants_refugees,1,3,1,1,1,Enforcement is framed as retraumatizing and disruptive for torture survivors.,Fear anxiety grief care and empathy dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-010,TC073,Center for Victims of Torture,2026-02-23,website,service,advocacy,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,0,2,0,2,0,mixed,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,none,none,general_public,0,2,1,1,1,Newsletter combines surge impacts with release/relief developments.,Concern and care are balanced by hope/reassurance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC073-WEB-011,TC073,Center for Victims of Torture,2026-02-25,website,advocacy,service,1,1,1,1,0,1,1,1,1,0,0,1,1,0,3,2,2,3,1,3,2,3,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;protest;share_information,general,high,general_public,1,3,1,0,1,Surge is framed as continuing trauma/surveillance and authoritarian harm.,Fear outrage solidarity empathy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC073-WEB-012,TC073,Center for Victims of Torture,2026-03-02,website,advocacy,service,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,2,1,2,1,2,1,1,0,0,0,0,2,2,0,mixed,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,share_information,general,moderate,general_public,0,2,1,0,1,U.S. policy shifts are framed as weakening rights/accountability domestically and globally.,Moral concern anxiety and defiance are moderate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
