source_batch,legacy_news_item_id,date,outlet,org_id,organization,matched_org_item_id,transformation_final,transformation_subtype,audit_status,audit_confidence,owned_evidence_url,news_evidence_url,audit_rationale
news_media_uptake_batch_03_reformer_startribune.csv,NM009,2025-12-17,Minnesota Reformer,D2-01,ACLU of Minnesota,D2-01-WEB-001,preserved,proceduralized_with_independent_detail,final,high,https://www.aclu-mn.org/press-releases/1a/,https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/,"Direct pair-text audit. The ACLU-owned release frames the case around constitutional violations against protesters/observers, retaliation, intimidation, unlawful detention, and First/Fourth Amendment rights. Minnesota Reformer preserves those core claims and legal-accountability frame while independently reporting plaintiff experiences and procedural detail. Journalistic reporting adds verification/context but does not materially redirect the organization’s central frame."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM021,2025-12-17,Sahan Journal,D2-01,ACLU of Minnesota,D2-01-WEB-001,preserved,expanded_with_independent_reporting,final,high,https://www.aclu-mn.org/press-releases/1a/,https://sahanjournal.com/immigration/ice-minnesota-aclu-lawsuit-observer-rights/,"Direct pair-text audit. Sahan retains the ACLU’s constitutional-rights, observer/protester, unlawful-detention and accountability frame, identifies the litigation as the central news event, and adds reporting on plaintiffs and enforcement context. The news story broadens factual detail without changing the principal interpretive frame."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM017,2026-01-15,FOX 9,D2-01,ACLU of Minnesota,D2-01-WEB-003,preserved,television_legal_frame,final,high,https://www.aclu-mn.org/press-releases/ice-lawsuit2/,https://www.fox9.com/news/aclu-minnesota-lawsuit-trump-ice-minnesota,"Direct pair-text audit. The ACLU-owned release centers alleged warrantless/suspicionless arrests, racial profiling, constitutional rights, fear and accountability. FOX 9 centers the same class-action litigation and retains the constitutional-violation and racial-profiling frame in conventional television legal reporting."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM041,2026-01-06,FOX 9,TC075,Unidos MN,TC075-LI-001,,advocacy_to_news,pending_exact_owned_item,medium,https://unidos-mn.org/media/2026/1/11/when-ice-enters-a-hospital-why-clear-protocols-matter-for-patient-safety,https://www.fox9.com/news/ice-agents-shackled-patient-bed-hcmc-advocacy-group-says.amp,"Closely related official Unidos press text and full FOX 9 text are available and strongly suggest preservation of the patient-safety/warrant/institutional-policy frame. However the recorded matched item is TC075-LI-001, not the official web press page, so final promotion is withheld until the exact LinkedIn item is compared."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM042,2026-01-06,Sahan Journal,TC075,Unidos MN,TC075-LI-001,,advocacy_to_news,pending_exact_owned_item,medium,https://unidos-mn.org/media/2026/1/11/when-ice-enters-a-hospital-why-clear-protocols-matter-for-patient-safety,https://sahanjournal.com/immigration/hcmc-patient-arrested-immigration-agents-ice-unidos-mn/,"Closely related official Unidos text and Sahan’s full story show strong continuity around patient safety, warrant requirements and hospital protections. Exact matched LinkedIn text remains necessary for a final transformation code."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM043,2026-01-07,CBS Minnesota / WCCO,TC075,Unidos MN,TC075-LI-001,,contested_with_institutional_response,pending_exact_owned_item,medium,https://unidos-mn.org/media/2026/1/11/when-ice-enters-a-hospital-why-clear-protocols-matter-for-patient-safety,https://www.cbsnews.com/minnesota/news/hcmc-hennepin-healthcare-ice-patient-handcuffed/,"CBS clearly carries Unidos’s account of the HCMC incident while also including Hennepin Healthcare’s institutional response, making mixed/contested transformation plausible. Final code is withheld until the exact matched LinkedIn text is audited."
news_media_uptake_batch_07_iimn_copal_unidos.csv,NM036,2026-01-13,MPR News,TC041,International Institute of Minnesota,CI0039,,affective_interpretation_centered,pending_exact_owned_item,medium,,https://www.mprnews.org/story/2026/01/13/operation-parris-dhs-terrifying-refugee-families,"Full MPR story and IIMN’s media archive/related Operation PARRIS materials are available, but the exact matched collection item CI0039 has not yet been recovered as source text. Transformation remains provisional."
news_media_uptake_batch_08_alight_cvt.csv,NM046,2026-01-29,CBS Minnesota / WCCO,TC054,Alight,TC054-LI-003,,service_care_frame_centered,pending_exact_owned_item,medium,,https://www.cbsnews.com/minnesota/news/nonprofit-care-kits-minnesota-families-facing-uncertainty/,"CBS fully centers food, personalized care kits, child isolation, reassurance, volunteer solidarity and hope. Alight’s own press archive reproduces this framing, but the recorded matched source is TC054-LI-003; exact LinkedIn text is still needed before assigning a final transformation code."
news_media_uptake_batch_08_alight_cvt.csv,NM051,2026-02-04,MPR News,TC073,Center for Victims of Torture,TC073-LI-003,,expanded_multi_voice_trauma_frame,pending_exact_owned_item,medium,https://www.cvt.org/statements/four-cvt-clients-in-asylum-processes-have-been-detained-by-ice-and-flown-out-of-state/,https://www.mprnews.org/story/2026/02/04/asylum-seekers-center-for-victims-of-torture-say-ice-reminds-them-of-what-they-escaped,"CVT’s Jan. 20 statement and MPR story share the torture-survivor, lawful-status, militarized-enforcement and retraumatization frame; MPR broadens it substantially through multiple clinicians and clients and adds hope/community-support testimony. Because the recorded matched item is TC073-LI-003 rather than the Jan. 20 statement, final transformation is withheld."
news_media_uptake_batch_04_fox9_mpr_sahan.csv,NM023,2026-02-06,Sahan Journal,TC064,The Advocates for Human Rights,TC064-LI-003,,legal_advocacy_to_news,pending_exact_owned_item,medium,,https://sahanjournal.com/immigration/operation-parris-minneapolis-woman-arrested-detained-immigration/,"Sahan makes The Advocates a principal legal interpreter of Operation PARRIS and carries due-process/right-violation and legal-response themes. Exact TC064-LI-003 source text has not yet been recovered, so the candidate preserved code is not promoted."
