legacy_source_file,legacy_item_id,organization,date,title_or_caption,reconciliation_status,canonical_reference_or_note,reason
communication_items_batch_06_ILCM_web_news.csv,TC057-WEB-001,Immigrant Law Center of Minnesota,2025-12-03,"Targeted ICE Enforcement of Somali Community in Minnesota Is Racist and Islamophobic",duplicate,pilot TC057-WEB-001,"Same organization/date/title; already coded in original pilot."
communication_items_batch_06_ILCM_web_news.csv,TC057-WEB-002,Immigrant Law Center of Minnesota,2025-12-19,"Ten Things You Can Do to Support Immigrants and Refugees",duplicate,pilot TC057-WEB-002,"Same organization/date/title; already coded in original pilot."
communication_items_batch_06_ILCM_web_news.csv,TC057-WEB-003,Immigrant Law Center of Minnesota,2026-01-08,"ICE Terrorizes Communities Across Minnesota, Murders Minneapolis Woman",duplicate,pilot TC057-WEB-003,"Same organization/date/title; already coded in original pilot."
communication_items_batch_06_ILCM_web_news.csv,TC057-WEB-004,Immigrant Law Center of Minnesota,2026-01-22,"ILCM Stands in Solidarity with ICE Out of Minnesota",duplicate,full_corpus_coding_batch_11 TC057-WEB-004,"Same organization/date/title; already coded in expanded corpus."
communication_items_batch_06_ILCM_web_news.csv,TC057-WEB-005,Immigrant Law Center of Minnesota,2026-01-26,"ICE Murders Second Civilian in Broad Daylight in Continued Violent Occupation of Minnesota",duplicate,pilot TC057-WEB-005,"Same organization/date/title; already coded in original pilot."
communication_items_batch_07_CVT_notes_from_ground.csv,TC073-WEB-001,Center for Victims of Torture,2025-12-08,"CVT World, December 2025",duplicate_with_legacy_id_collision,canonical later CVT 2025-12-08 monthly item,"Early batch reuses an item_id that later refers to a different canonical record; reconcile by organization/date/title, not legacy item_id."
communication_items_batch_07_CVT_notes_from_ground.csv,TC073-WEB-002,Center for Victims of Torture,2026-01-28,"CVT World, January 2026",duplicate_with_legacy_id_collision,canonical later CVT 2026-01-28 monthly item,"Early batch item_id conflicts with later canonical numbering; same monthly communication already coded."
communication_items_batch_07_CVT_notes_from_ground.csv,TC073-WEB-003,Center for Victims of Torture,2026-02-23,"CVT World, February 2026",duplicate_with_legacy_id_collision,canonical later CVT 2026-02-23 monthly item,"Early batch item_id conflicts with later canonical numbering; same monthly communication already coded."
communication_items_batch_07_CVT_notes_from_ground.csv,TC073-WEB-004,Center for Victims of Torture,2026-03-12,"The Community Shows up to Help CVT Clients During ICE Surge",duplicate_with_legacy_id_collision,pilot/canonical later CVT 2026-03-12 community-support item,"Same organization/date/title; early item_id is not safe as canonical identifier."
communication_items_batch_07_CVT_notes_from_ground.csv,TC073-WEB-005,Center for Victims of Torture,2026-03-24,"CVT World, March 2026",duplicate_with_legacy_id_collision,canonical later CVT 2026-03-24 monthly item,"Early batch item_id conflicts with later canonical numbering; same monthly communication already coded."
communication_items_batch_01_high_probability_web.csv,multiple,multiple,multiple,"multiple",reconciled_mixed,full_corpus_coding_batch_13 plus later canonical files,"Early discovery batch reconciled by URL/title; six IIMN items survived as unique, while later-canonical duplicates were excluded."
communication_items_batch_02_faith_service_legal.csv,multiple,multiple,multiple,"multiple",reconciled_mixed,full_corpus_coding_batch_13 plus later canonical files,"Early discovery batch reconciled by URL/title; three Advocates and one CVT item survived as unique, while duplicate CVT/JCA/ILCM items were excluded."
