news_item_id,date,outlet,outlet_type,author,headline,url,media_relation_type,paid_sponsored_flag,org_id,organization,organization_visibility,organization_quoted,spokesperson,source_function,news_topic,matched_org_item_id,match_confidence,frame_transformation,legal_info_carryover,service_info_carryover,action_info_carryover,collection_status,collection_notes
NM016,2026-01-13,MPR News,public_radio_digital,"Nina Moini; Ellen Finn; Aleesa Kuznetsov","How to legally handle interactions with federal immigration agents",https://www.mprnews.org/episode/2026/01/13/how-to-legally-handle-interactions-with-federal-immigration-agents,earned_editorial,0,D2-01,ACLU of Minnesota,primary_expert_source,1,Ian Bratlie,legal_guidance_source,"observer rights; legal handling of ICE encounters",D2-01-WEB-003,medium,not_yet_coded,1,1,1,verified,"Extended interview uses ACLU-MN attorney as the central expert and directs listeners to ACLU intake/reporting resources. Strong case of legal and action guidance carried through news-media uptake."
NM017,2026-01-15,FOX 9,local_tv_digital,Nick Longworth,"ACLU Minnesota files lawsuit against Trump administration alleging constitutional violations",https://www.fox9.com/news/aclu-minnesota-lawsuit-trump-ice-minnesota,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,Catherine Ahlin-Halverson,legal_advocacy_source,"racial profiling; unlawful arrests; constitutional rights",D2-01-WEB-003,high,not_yet_coded,1,0,0,verified,"FOX 9 centers ACLU-MN's class-action lawsuit and carries direct language about illegality, fear, rights and accountability."
NM018,2026-01-24,FOX 9,local_tv_digital,"Kilat Fitzgerald; Melissa Turtinen; FOX 9 Staff","Minneapolis shooting: Border Patrol fatally shoots Alex Pretti; witness video conflicts DHS",https://www.fox9.com/news/ice-mn-third-federal-agents-shooting-minneapolis,earned_editorial,0,D2-01,ACLU of Minnesota,direct_statement_quote,1,Deepinder Mayell,advocacy_source,"Alex Pretti shooting; ICE/CBP operations; community harm",D2-01-WEB-004,medium,not_yet_coded,0,0,1,verified,"Live coverage reproduces ACLU-MN leadership statement calling for an end to ICE/CBP operations and an independent investigation; useful case for affective amplification/preservation analysis."
NM019,2026-02-17,FOX 9,local_tv_digital,Paul Blume,"Immigrants arrested during Operation Metro Surge testify against ICE practices",https://www.fox9.com/news/immigrants-arrested-during-operation-metro-surge-testify-against-ice-practices-feb-2026,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,,legal_advocacy_source,"racial profiling; warrantless arrests; accountability",D2-01-WEB-007,medium,not_yet_coded,1,0,0,verified,"Coverage presents ACLU litigation and testimony as the central legal framework for alleged Operation Metro Surge abuses."
NM020,2026-02-23,MPR News,public_radio_digital,,"Minnesota clergy sue Department of Homeland Security over access to immigration detainees",https://www.mprnews.org/story/2026/02/23/minnesota-clergy-sue-department-of-homeland-security-over-access-to-immigration-detainees,earned_editorial,0,TC064,The Advocates for Human Rights,secondary_legal_source,0,,legal_advocacy_source,"detainee attorney access; Whipple Federal Building",TC064-LI-004,medium,not_yet_coded,1,0,0,verified,"Story situates clergy litigation alongside Advocates' class-action case over detainee access to counsel and reports court-ordered protections stemming from that litigation."
NM021,2025-12-17,Sahan Journal,nonprofit_local_digital,"Andrew Hazzard; Katelyn Vue","ACLU takes legal action against ICE for detaining U.S. citizens in Minnesota",https://sahanjournal.com/immigration/ice-minnesota-aclu-lawsuit-observer-rights/,earned_editorial,0,D2-01,ACLU of Minnesota,primary_legal_source,1,"Alicia Granse; Deepinder Mayell; Catherine Ahlin-Halverson",legal_advocacy_source,"ICE detention; observer rights; racial profiling",D2-01-WEB-001,high,not_yet_coded,1,0,0,verified,"Detailed same-day reporting on ACLU-MN lawsuit with multiple direct quotations; strong high-confidence matched case for comparing organization-owned and journalistic affective framing."
NM022,2025-12-17,Sahan Journal,nonprofit_local_digital,"Andrew Hazzard; Katelyn Vue","ACLU takes legal action against ICE for detaining U.S. citizens in Minnesota",https://sahanjournal.com/immigration/ice-minnesota-aclu-lawsuit-observer-rights/,earned_editorial,0,TC064,The Advocates for Human Rights,direct_quote,1,Michele Garnett McKenzie,legal_expert,"immigration accountability; checks and balances",,,not_yet_coded,1,0,0,verified,"Same news item also quotes Advocates executive director on weak accountability checks in immigration enforcement. Retained as separate organization-story relation pending bridge-table normalization."
NM023,2026-02-06,Sahan Journal,nonprofit_local_digital,"Nicolas Scibelli; Anshu Patel","Refugees’ futures remain uncertain as legal battle over Operation PARRIS proceeds",https://sahanjournal.com/immigration/operation-parris-minneapolis-woman-arrested-detained-immigration/,earned_editorial,0,TC064,The Advocates for Human Rights,primary_legal_source,1,Madeline Lohman,legal_advocacy_source,"Operation PARRIS; refugee detention; due process",TC064-LI-003,high,not_yet_coded,1,1,0,verified,"Advocates is central to the story's interpretation of Operation PARRIS, including direct quotes about rights violations, organizational response and legal strategy."
NM024,2026-02-06,Sahan Journal,nonprofit_local_digital,"Nicolas Scibelli; Anshu Patel","Refugees’ futures remain uncertain as legal battle over Operation PARRIS proceeds",https://sahanjournal.com/immigration/operation-parris-minneapolis-woman-arrested-detained-immigration/,earned_editorial,0,TC041,International Institute of Minnesota,direct_quote,1,Michelle Eberhard,refugee_service_expert,"Operation PARRIS; refugee release; missing documents",CI0044,medium,not_yet_coded,0,1,0,verified,"IIMN refugee-services director is quoted on incomplete releases, missing documents, and practical post-detention barriers; useful service-oriented contrast within the same story."
NM025,2026-03-12,Sahan Journal,nonprofit_local_digital,"Anshu Patel; Nicolas Scibelli","Minneapolis group challenges DOJ over growing immigration court access restrictions",https://sahanjournal.com/public-safety/advocates-human-rights-sues-doj-immigration-court-access/,earned_editorial,0,TC064,The Advocates for Human Rights,primary_story_subject,1,,legal_advocacy_source,"immigration court access; court observation; transparency",TC064-LI-004,medium,not_yet_coded,1,0,0,verified,"Story centers Advocates' litigation over access restrictions at immigration court, extending the organization's transparency/accountability framing into news coverage."
