org_id,organization,amplification_status,verified_external_count_min,search_notes,last_audited
D2-03,Ayada Leads,verified_external_coverage,1,"Verified Jan. 15, 2026 Here & Now/WBUR interview with executive director Habon Abdulle; syndicated to public-radio affiliates including WGLT. Count originating WBUR item once; affiliate reposts treated as syndication, not independent stories.",2026-09-23
D3-05,India Association of Minnesota,searched_no_verified_external_coverage_yet,0,"National/regional searches completed in this pass. Strong first-party multilingual Know Your Rights toolkit and Jan. 28 immigration-rights session found, but no verified earned national/regional news item located yet.",2026-09-23
D3-11,Association of Nepalis in Minnesota,searched_no_verified_external_coverage_yet,0,"National/regional searches completed in this pass. Jan. 16 immigrant-resource routing and Jan. 21 rights/safety programming verified as first-party communication; no earned national/regional news uptake located yet.",2026-09-23
TC047,Oromo Community of Minnesota,searched_no_verified_external_coverage_yet,0,"National/regional searches completed in this pass. Dec. 16, 2025 TPS/ICE response is strong first-party crisis communication, but no verified earned national/regional coverage located yet.",2026-09-23
TC041,International Institute of Minnesota,verified_external_coverage,1,"Verified NPR national-origin Feb. 2, 2026 refugee-detention story quoting executive director Jane Graupman. Affiliate republishes are syndication and should not be double-counted.",2026-09-23
TC057,Immigrant Law Center of Minnesota,verified_external_coverage,3,"Verified distinct national-origin coverage in The New York Times (Jan. 6), Associated Press (Jan. 6), and CNN (Jan. 8), all using policy director Julia Decker as a source. Deduplicate AP syndication.",2026-09-23
TC064,The Advocates for Human Rights,verified_external_coverage,1,"Verified Associated Press national-wire Mar. 26, 2026 story quoting executive director Michele Garnett McKenzie on access to counsel and due process. Syndicated AP copies should be deduplicated.",2026-09-23
TC073,Center for Victims of Torture,verified_external_coverage,1,"Verified CNN Jan. 30, 2026 coverage quoting program manager Sara Nelson on detained asylum-seeking torture survivors and deportation risk.",2026-09-23
TC019,Esperanza United,searched_no_verified_external_coverage_yet,0,"National/regional searches started after verified Mar. 31 MPR local item; no distinct national/regional earned item admitted yet.",2026-09-23
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),verified_external_coverage,1,"Verified Associated Press Jan. 6, 2026 national-wire coverage quoting organizer Dieu Do on increased federal-agent presence. Deduplicate syndicated AP republishes.",2026-09-23
TC078,Jewish Community Action,verified_external_coverage,1,"Verified Jewish Telegraphic Agency Jan. 21, 2026 national Jewish-news story placing JCA within coordinated Minnesota Jewish opposition to ICE.",2026-09-23
TC074,COPAL - Communities Organizing Latine Power and Action,verified_external_coverage,1,"Verified The Guardian Jan. 17, 2026 external coverage quoting organizing director Ryan Pérez on the effects of ICE presence on daily life.",2026-09-23
TC075,Unidos MN,external_search_in_progress,0,"National/regional search underway. Strong Minnesota-local coverage and syndication of Minnesota Reformer material exist; no distinct national-origin earned item admitted yet in this pass.",2026-09-23
D2-05,CAIR-Minnesota,external_search_in_progress,0,"National/regional search underway; no distinct verified national-origin item admitted yet in this pass.",2026-09-23
TC077,ISAIAH,external_search_in_progress,0,"National/regional search underway; local and community-media uptake already verified. No distinct national-origin item admitted yet in this pass.",2026-09-23
TC058,Mid-Minnesota Legal Aid,external_search_in_progress,0,"National/regional search underway. Extensive Minnesota-local coverage and organization statements found; no distinct national-origin earned item admitted yet in this pass.",2026-09-23
