item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC076-WEB-001,TC076,Minnesota Interfaith Coalition on Immigration,2025-11-03,website,faith,advocacy,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,2,1,2,0,1,1,0,0,0,explicit,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,attend_event,specific,moderate,faith_community,1,1,0,0,1,Vigil framed around justice welcome and collective belonging.,Solidarity and care dominate with hopeful faith framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC076-WEB-002,TC076,Minnesota Interfaith Coalition on Immigration,2025-12-02,website,faith,advocacy,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,2,0,3,2,1,1,0,0,0,1,1,0,mixed,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,attend_event;volunteer,specific,moderate,faith_community,1,1,0,1,1,Immigration system explicitly framed as unjust; accompaniment offers collective response.,Solidarity/care with moderate moral outrage.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC076-WEB-003,TC076,Minnesota Interfaith Coalition on Immigration,2025-12-10,website,faith,service,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,3,1,2,2,1,2,0,0,0,explicit,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,donate;volunteer;mutual_aid,specific,moderate,supporters_donors,1,1,0,1,1,Winter aid programs address concrete material needs.,Care gratitude solidarity and hope are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC076-WEB-004,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-05,website,faith,advocacy,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,2,2,1,1,0,1,1,1,2,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,attend_event,specific,high,faith_community,1,2,0,0,1,DHS restrictions cause location change and create logistical uncertainty.,Solidarity and urgency accompany cautious defiance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC076-WEB-005,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-12,website,faith,coalition_network,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,2,0,0,1,1,2,0,mixed,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,attend_event;volunteer,specific,high,supporters_donors,1,2,0,0,1,Period described as crucial; meeting framed as pathway to involvement.,Urgency with solidarity and hope.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC076-WEB-006,TC076,Minnesota Interfaith Coalition on Immigration,2026-01-18,website,faith,advocacy,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,2,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,none,none,general_public,0,0,0,0,1,Post reflects on vigil participation and media visibility.,Gratitude solidarity and hope dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC076-WEB-007,TC076,Minnesota Interfaith Coalition on Immigration,2026-02-24,website,faith,service,1,1,1,0,0,0,0,0,1,0,1,1,1,1,2,1,0,0,1,3,3,2,2,3,0,2,0,2,0,explicit,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,donate;mutual_aid;volunteer,specific,high,supporters_donors,1,2,0,1,1,Enforcement surge increases food/rent needs and community vulnerability.,Gratitude solidarity and care mediate fear and material hardship.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC076-WEB-008,TC076,Minnesota Interfaith Coalition on Immigration,2026-03-13,website,faith,service,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,donate;attend_event,specific,moderate,supporters_donors,1,1,0,1,1,Fundraiser sustains ongoing support work.,Solidarity care hope and gratitude support fundraising.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC077-WEB-001,TC077,ISAIAH,2026-01-12,website,faith,advocacy,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,1,2,3,2,3,2,2,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;protest;share_information,specific,high,policymakers,1,3,1,0,1,Letter frames enforcement surge and killing as grave community harm requiring congressional action.,Fear outrage solidarity defiance and urgency are dominant.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC077-WEB-002,TC077,ISAIAH,2026-01-12,website,faith,advocacy,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,1,2,3,3,3,2,2,0,0,0,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,contact_official;protest;share_information,specific,high,policymakers,1,3,1,0,1,National clergy appeal frames enforcement as causing fear suffering and family disruption.,Heartbreak fear outrage solidarity and urgency strongly expressed.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC055-EVT-001,TC055,CAPI USA,2026-03-09,website,service,economic_development,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,workers,1,1,0,1,1,Training addresses unemployment/underemployment through concrete skills.,Hope and efficacy lightly implied.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC055-EVT-002,TC055,CAPI USA,2026-03-14,website,service,economic_development,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Homebuyer workshop increases financial/housing efficacy.,Hope tied to homeownership planning.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC055-EVT-003,TC055,CAPI USA,2026-03-20,website,service,economic_development,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,implicit,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Financial-literacy workshop provides concrete coping tools.,Low hope and reassurance through practical knowledge.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC056-WEB-001,TC056,Karen Organization of Minnesota,2025-11-04,website,ethnocultural,service,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,1,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,none,none,ethnocultural_community,0,0,0,0,0,Leadership transition framed around commitment and strategic development.,Solidarity pride hope and gratitude are present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC044-WEB-001,TC044,Minnesota Council of Churches,2025-12-03,website,faith,advocacy,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,2,0,3,2,2,1,0,2,1,1,1,0,explicit,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,,none,none,general_public,1,1,0,0,1,Targeting rhetoric is framed as threat to dignity and belonging.,Solidarity pride care and moral concern dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC044-WEB-002,TC044,Minnesota Council of Churches,2026-01-07,website,faith,advocacy,1,1,1,1,0,1,0,1,1,0,0,1,1,0,3,1,1,2,3,3,3,3,0,0,0,0,1,2,0,explicit,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,,none,none,general_public,1,2,0,0,1,Killing and enforcement context framed through grief justice and vulnerability.,Grief care empathy solidarity and fear are dominant.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC044-WEB-003,TC044,Minnesota Council of Churches,2026-01-25,website,faith,service,1,1,1,1,1,1,0,1,1,0,0,1,1,0,3,2,1,2,1,3,3,3,0,0,0,0,2,2,0,mixed,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,share_information;seek_legal_help,general,high,general_public,1,2,1,1,0,Operation PARRIS described as causing detention family disruption and fear among refugees.,Fear solidarity care empathy and concern about injustice dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
