org_id,organization,audit_status,verified_relation_count_min,search_notes,last_audited
TC038,Comunidades Latinas Unidas En Servicio (CLUES),verified_coverage,1,"CBS/WCCO fundraising uptake verified; additional CLUES-owned crisis material exists but is not counted as independent news.",2026-09-23
TC041,International Institute of Minnesota,verified_coverage,4,"Verified in CBS/WCCO, Sahan, MPR and Star Tribune-linked reporting.",2026-09-23
TC042,Isuroon,verified_coverage,1,"Verified CBS/WCCO Ramadan/halal-food coverage.",2026-09-23
TC044,Minnesota Council of Churches - Refugee Services,verified_coverage,1,"Verified MPR News Dec. 24, 2025 coverage on federal refugee-policy changes, layoffs, and resettlement disruption.",2026-09-23
TC045,Neighborhood House,verified_coverage,1,"Verified Community Reporter crisis-response feature.",2026-09-23
TC054,Alight,verified_coverage,3,"Verified CBS/WCCO, MPR, and Star Tribune coverage/archived coverage.",2026-09-23
TC057,Immigrant Law Center of Minnesota,verified_coverage,8,"Multiple Sahan, MPR, CBS/WCCO, Reformer and conversion/fundraising cases.",2026-09-23
TC058,Mid-Minnesota Legal Aid,verified_coverage,4,"Verified Minnesota Spokesman-Recorder, Star Tribune, The Imprint and CBS resource uptake.",2026-09-23
TC064,The Advocates for Human Rights,verified_coverage,9,"Multiple Sahan, MPR, Bring Me The News and legal/benefit-conversion cases.",2026-09-23
TC065,Volunteer Lawyers Network,verified_coverage,3,"Verified as preparedness/legal resource in Star Tribune, Community Reporter and CBS coverage.",2026-09-23
TC073,Center for Victims of Torture,verified_coverage,8,"Verified MPR, Star Tribune, Pioneer Press, KARE 11 and pre-escalation coverage.",2026-09-23
TC074,COPAL,verified_coverage,1,"Verified MPR rural-enforcement/mutual-aid coverage.",2026-09-23
TC075,Unidos MN,verified_coverage,5,"Verified FOX 9, Sahan, CBS/WCCO and Minnesota Reformer coverage.",2026-09-23
TC077,ISAIAH,verified_coverage,1,"Verified TC Jewfolk interfaith/ICE Out coalition coverage.",2026-09-23
TC078,Jewish Community Action,verified_coverage,5,"Verified TC Jewfolk statements, protest participation and resource uptake.",2026-09-23
TC082,Coalition of Asian American Leaders (CAAL),verified_coverage,1,"Verified Hmong Daily News post-surge Asian-community coverage.",2026-09-23
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),verified_coverage,5,"Verified Sahan and MPR mobilization/vigil/protest coverage.",2026-09-23
D2-01,ACLU of Minnesota,verified_coverage,10,"Multiple Reformer, Sahan, FOX 9, MPR and Star Tribune litigation/rights cases.",2026-09-23
D2-02,MN8 / Release MN8,verified_coverage,1,"Verified Community Reporter resource-directory uptake; broader coalition coverage remains to audit.",2026-09-23
D2-05,CAIR-Minnesota,verified_coverage,1,"Verified Sahan rally visibility; additional first-party press releases found but excluded from independent-news counts.",2026-09-23
D2-10,Immigrant Defense Network,verified_coverage,2,"Verified Community Reporter coordination mention and CBS fundraising-beneficiary visibility.",2026-09-23
TC069,Hmong Cultural Center,coverage_candidate_date_unresolved,0,"Hmong Times published a substantive ICE-impact article, but exact publication date was not exposed in retrieved page; not yet admitted to primary dated corpus.",2026-09-23
TC070,Hmong American Partnership,coverage_candidate_nonlocal_or_secondary,0,"National/syndicated coverage of surge-related emergency grants found; no sufficiently verified local independent-news item yet in this pass.",2026-09-23
TC028,African Career Education and Resources Inc. (ACER),searched_no_verified_coverage_yet,0,"Searches found first-party/public-policy testimony and organizational material, but no verified independent local-news uptake yet.",2026-09-23
TC056,Karen Organization of Minnesota,searched_no_verified_coverage_yet,0,"Organization news and service pages found; no verified independent local-news uptake yet in this pass.",2026-09-23
TC055,CAPI USA,coverage_candidate_nonlocal_or_secondary,0,"AAPI Civic Engagement Fund feature documents ICE effects at CAPI food shelf; source is partner/funder commentary rather than local independent journalism, so excluded from primary news corpus for now.",2026-09-23
TC060,SEWA-AIFW,coverage_candidate_nonlocal_or_secondary,0,"National/community coalition references found; no verified independent local-news item yet.",2026-09-23
TC006,Ka Joog,searched_no_verified_coverage_yet,0,"Dedicated Sahan/MPR and broader local-news searches completed; no sufficiently verified independent-news uptake found in this pass.",2026-09-23
TC047,Oromo Community of Minnesota,searched_no_verified_coverage_yet,0,"Dedicated MPR/Sahan/local-news searches completed; no sufficiently verified independent-news item found in this pass.",2026-09-23
TC051,Somali Community Resettlement Services,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no sufficiently verified independent-news item found in this pass.",2026-09-23
TC052,Somali Success,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no sufficiently verified independent-news item found in this pass.",2026-09-23
TC035,Arrive Ministries,searched_no_verified_coverage_yet,0,"Dedicated MPR/Sahan/local-news searches completed; no sufficiently verified independent-news item found in the study window in this pass.",2026-09-23
TC019,Esperanza United,verified_coverage,1,"Verified MPR News March 31, 2026 interview with CEO Vivian Huelgo; includes direct interpretation of Operation Metro Surge effects on survivor safety/help-seeking and crisis-line action routing.",2026-09-23
TC063,Afghan Cultural Society,searched_no_verified_coverage_yet,0,"Dedicated community-media/local-news pass completed. ACS press page lists no in-window independent coverage; targeted searches found a May 2026 Sahan feature outside the study window plus first-party/government resource material, but no verified independent local-news item dated 2025-11-01 through 2026-03-31.",2026-09-23
