item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC058-WEB-013,TC058,Mid-Minnesota Legal Aid,2026-01-23,website,legal,service,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,explicit,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,protest;use_resource,general,moderate,general_public,1,1,1,1,0,Solidarity with ICE Out of Minnesota day of action frames collective action as meaningful.,Solidarity is explicit; defiance is tied to public resistance framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-014,TC058,Mid-Minnesota Legal Aid,2026-01-25,website,legal,service,1,1,0,0,1,0,0,0,1,0,1,0,1,0,3,2,0,0,0,0,2,2,0,0,0,1,0,1,0,mixed,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,safety_plan;prepare_documents;seek_legal_help,specific,high,immigrants_refugees,1,2,1,1,1,Parents prepare care arrangements because detention is treated as an immediate family-separation risk.,Fear is explicit in headline; planning converts fear into coping.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-015,TC058,Mid-Minnesota Legal Aid,2026-01-29,website,legal,service,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,2,1,0,2,0,0,0,mixed,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,none,none,immigrants_refugees,0,1,1,1,0,Court intervention is framed as reducing detention risk and producing immediate relief.,Hope and reassurance rise around release of detained refugees.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-016,TC058,Mid-Minnesota Legal Aid,2026-01-30,website,legal,service,1,1,1,1,0,1,0,1,1,0,0,1,1,0,2,1,2,2,0,2,2,0,0,0,0,0,3,2,0,explicit,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,,none,none,general_public,0,2,1,1,0,Intensified enforcement is framed as harmful to clients and staff and as requiring persistence.,Resolve/defiance organizes the statement; fear and outrage accompany it.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-017,TC058,Mid-Minnesota Legal Aid,2026-02-11,website,legal,service,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,share_information;attend_event,specific,moderate,media,0,1,1,0,1,School seclusion is presented as a rights and child-welfare problem.,Concern and low outrage are implied by report framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-018,TC058,Mid-Minnesota Legal Aid,2026-02-12,website,legal,service,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,0,0,2,0,1,1,2,0,0,mixed,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,,none,none,general_public,0,1,1,0,0,Drawdown is framed as evidence that collective resistance produced change.,Hope, solidarity, and defiance coexist with residual outrage.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-019,TC058,Mid-Minnesota Legal Aid,2026-02-14,website,legal,service,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,report_incident;other,specific,moderate,general_public,0,1,1,0,1,Retention of surveillance footage is framed as a means to preserve evidence during enforcement activity.,Threat is present, but affect remains restrained.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-020,TC058,Mid-Minnesota Legal Aid,2026-02-16,website,legal,service,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,report_incident;other,specific,moderate,general_public,0,1,1,0,0,Extending camera-footage access is framed as an evidence-preservation strategy.,Low threat and reassurance; primarily instrumental communication.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-021,TC058,Mid-Minnesota Legal Aid,2026-02-24,website,legal,service,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,implicit,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,,none,none,general_public,0,1,1,0,0,Housing loss among disabled Medicaid recipients is framed as harm linked to a policy crackdown.,Care dominates; low outrage implied by harm framing.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC058-WEB-022,TC058,Mid-Minnesota Legal Aid,2026-02-24,website,legal,service,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,implicit,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,contact_official;share_information,general,moderate,policymakers,1,1,1,0,0,School seclusion is framed as harmful and appropriate for statewide prohibition.,Low outrage and urgency support policy advocacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
