organization,verified_website_items,verified_linkedin_items,verified_other_social_items,verified_unique_items,candidate_tier_items,coverage_note
Alight,9,4,0,13,0,"Website plus LinkedIn verified."
Center for Victims of Torture,16,4,0,20,0,"Website plus LinkedIn verified; early Notes-from-the-Ground ID collisions reconciled by date/title."
International Institute of Minnesota,22,3,0,25,4,"Four additional LinkedIn traces remain candidate-tier because canonical company-post URLs/dates are incomplete."
The Advocates for Human Rights,17,4,0,21,0,"Website plus LinkedIn verified."
Immigrant Law Center of Minnesota,5,3,0,8,1,"One additional exact-dated LinkedIn indexed trace remains candidate-tier because canonical URL unresolved."
COPAL,11,1,0,12,2,"One Instagram and one Facebook exact-dated recovery trace remain secondary-verified candidates."
Unidos MN,19,1,0,20,5,"Three LinkedIn traces plus two official-navigation website records remain candidate-tier."
ACER,4,0,0,4,0,"Website verified."
ACLU of Minnesota,13,0,0,13,1,"One exact-dated indexed LinkedIn trace remains candidate-tier."
Isuroon,4,0,0,4,0,"Website verified."
Mid-Minnesota Legal Aid,28,0,0,28,0,"Website verified; includes owned statements/releases and organization-amplified media items."
CLUES,23,1,0,24,0,"Website event/calendar series plus one verified LinkedIn item."
Oromo Community of Minnesota,4,0,0,4,0,"Website verified."
Immigrant Defense Network,1,0,0,1,0,"Website/PDF press release verified."
Minnesota Interfaith Coalition on Immigration,8,0,0,8,0,"Website verified."
ISAIAH,2,0,0,2,0,"Website verified."
CAPI USA,3,0,0,3,0,"Website verified."
Karen Organization of Minnesota,1,0,0,1,0,"Website verified."
Minnesota Council of Churches,3,0,0,3,0,"Website verified."
Arrive Ministries,6,0,0,6,0,"Website verified."
Ayada Leads,2,0,0,2,0,"Website verified."
Centro Tyrone Guzman,1,0,0,1,0,"Website verified."
African Development Center of Minnesota,3,0,0,3,0,"Website verified."
African Economic Development Solutions,4,0,0,4,0,"Website verified."
Literacy Minnesota,1,0,0,1,3,"Three additional month-only official educator resources retained in candidate tier."
SEWA-AIFW,1,0,0,1,0,"Website verified."
Esperanza United,1,0,0,1,0,"Website verified."
IAFR Jonathan House,1,0,0,1,0,"Program-level first-party parent-organization item verified."
Al-Maa'uun,4,0,0,4,0,"Website verified."
Aeon,3,0,0,3,0,"Website verified."
Bridging,2,0,0,2,0,"Website verified."
CommonBond Communities,3,0,0,3,0,"Website verified."
Catholic Charities Twin Cities,1,0,0,1,0,"Website verified."
Groundwork Legal,5,0,0,5,0,"Website verified."
Jewish Community Action,19,0,0,19,0,"Website/event archive verified; includes recurring organizing/training events."
Cedar Riverside Adult Education Collaborative,10,0,0,10,0,"Website/calendar verified; mostly routine operational items."
Project for Pride in Living,14,4,0,18,0,"Website plus LinkedIn verified."
Hmong American Partnership,0,1,0,1,0,"One verified LinkedIn item."
PRISM,5,0,0,5,0,"Official archive dates verified but substantive content unavailable; coded low-confidence/no inferred affect."
Volunteers of America Minnesota and Wisconsin,10,0,0,10,0,"Website verified."
Volunteer Lawyers Network,3,0,0,3,4,"Four additional month-only official Tip-of-the-Month items retained in candidate tier."
Twin Cities Habitat for Humanity,13,0,0,13,0,"Website verified."
AVIVO,1,0,0,1,0,"Website verified."
Missions Inc. Programs,5,0,0,5,0,"Website verified."
Keystone Community Services,0,0,0,0,2,"Two official newsletters overlap the study window but exact publication days are unresolved; candidate tier only."
TOTAL,317,20,0,337,22,"Primary verified coded corpus = 337 unique items across 44 organizations; candidate tier = 22 records across 8 organizations including candidate-only Keystone."
