item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC058-WEB-001,TC058,Mid-Minnesota Legal Aid,2025-11-06,website,https://mylegalaid.org/news-stories/category/news-release/,news_release,"Legal Aid client shares story in lawsuit demanding SNAP benefits continue","Legal Aid newsroom records a Nov. 6 news release about a client participating in litigation concerning continuation of SNAP benefits.",English,text,,uncoded,2026-09-22,retrieved,"Official News Release archive","Routine organizational/legal communication retained."
TC058-WEB-002,TC058,Mid-Minnesota Legal Aid,2025-11-09,website,https://mylegalaid.org/news-stories/?sf_paged=7,in_the_news,"Federal judges in Minnesota, across U.S., reject ICE attempts to hold immigrants without bond","Legal Aid newsroom amplifies external coverage of immigration detention and bond hearings.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Media-amplification item retained as website communication."
TC058-WEB-003,TC058,Mid-Minnesota Legal Aid,2025-11-15,website,https://mylegalaid.org/news-stories/?sf_paged=7,in_the_news,"Panel addresses effects of immigration policies","Legal Aid newsroom highlights a panel featuring Deputy Director Yasin Alsaidi discussing effects of immigration policies.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Media-amplification item retained."
TC058-WEB-004,TC058,Mid-Minnesota Legal Aid,2025-11-17,website,https://mylegalaid.org/news-stories/?sf_paged=7,in_the_news,"Judges quick to end immigrants’ asylum cases as ICE agents wait outside courtroom","Legal Aid newsroom highlights coverage quoting attorney Alison Griffith on asylum proceedings and immigration enforcement.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Media-amplification item retained."
TC058-WEB-005,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,https://mylegalaid.org/news-stories/category/statement/?sf_paged=2,statement,"We uphold every legal protection in place for our immigrant neighbors","Legal Aid states support for immigrant neighbors in the Somali community while awaiting official word regarding TPS status.",English,text,,uncoded,2026-09-22,retrieved,"Official Statement archive","Owned organizational statement."
TC058-WEB-006,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,https://mylegalaid.org/news-stories/?sf_paged=6,in_the_news,"USCIS intensifies in-person site visits across the Twin Cities","Legal Aid newsroom highlights coverage in which the organization outlines rights for clients facing unannounced USCIS visits.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Distinct same-day media-amplification item."
TC058-WEB-007,TC058,Mid-Minnesota Legal Aid,2025-12-03,website,https://mylegalaid.org/news-stories/?sf_paged=6,in_the_news,"Advocates say DHS, spooked by fraud, neglects its responsibilities toward disabled","Legal Aid newsroom highlights Minnesota Reformer coverage involving the Minnesota Disability Law Center.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Routine disability-law communication retained."
TC058-WEB-008,TC058,Mid-Minnesota Legal Aid,2025-12-18,website,https://mylegalaid.org/news-stories/?articleID=2681&sf_paged=6,in_the_news,"Disability services providers accuse state of leaving clients vulnerable amid fraud crackdown","Legal Aid newsroom highlights coverage quoting Minnesota Disability Law Center leadership on impacts of a fraud crackdown.",English,text,,uncoded,2026-09-22,retrieved,"Official newsroom archive","Routine issue communication retained."
TC058-WEB-009,TC058,Mid-Minnesota Legal Aid,2026-01-15,website,https://mylegalaid.org/news-stories/statement-suddenly-parentless-what-happens-to-children-of-ice-detainees/,statement,"Suddenly parentless, what happens to children of ICE detainees?","Immigration attorneys explain planning and guardianship issues when a parent is detained by ICE.",English,text,,uncoded,2026-09-22,retrieved,"Official statement page","Owned organizational statement."
TC058-WEB-010,TC058,Mid-Minnesota Legal Aid,2026-01-16,website,https://mylegalaid.org/news-stories/statement-federal-response-to-fraud-allegations-further-victimizes-refugees/,statement,"Federal response to fraud allegations further victimizes refugees","Legal Aid reports refugee clients being detained and criticizes the use of refugee detention as a response to fraud allegations.",English,text,,uncoded,2026-09-22,retrieved,"Official statement page","Owned organizational statement."
