org_id,organization,top_1_type,top_1_evidence,top_2_type,top_2_evidence,top_3_type,top_3_evidence,snapshot_status,last_audited
TC020,Greater Metropolitan Housing Corporation,government_or_directory_reference,"In-window/public housing and development references located; no stronger crisis-news uptake verified in this pass.",,, ,,,partial,2026-09-23
TC026,Volunteers of America Minnesota and Wisconsin,first_party_crisis_communication,"Organization service infrastructure and crisis-related support presence confirmed; no stronger independent in-window crisis-news item verified in this pass.",,, ,,,partial,2026-09-23
TC067,Immigrant Connection - Waite Park,first_party_crisis_communication,"Immigration legal/service programming confirmed; targeted local/news searches completed with no stronger verified earned item in this pass.",,, ,,,partial,2026-09-23
TC068,Immigrant Connection Mosaic,first_party_crisis_communication,"Immigration legal/service programming confirmed; no stronger verified earned-news uptake located in this pass.",,, ,,,partial,2026-09-23
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,substantive_independent_news,"Finance & Commerce, Feb. 18, 2026: identified IX as an organizing force behind Twin Cities Tenants and the March 1 rent strike linked to Operation Metro Surge economic harms.",national_regional_external_coverage,"In These Times, Feb. 19, 2026: national amplification of the rent-strike campaign and enforcement-related household economic stress.",passing_or_secondary_news,"CBS Minnesota/other local coverage of Twin Cities Tenants reviewed for IX attribution; stronger organization-level coding retained where attribution is explicit.",complete_top3,2026-09-23
D3-09,The Urban Village,searched_no_recoverable_mention_yet,"Exact-name, crisis-term, local/community, national/regional, and first-party searches completed in this rotation without a sufficiently attributable in-window mention recovered yet.",,, ,,,partial,2026-09-23
D3-18,Asian Media Access,searched_no_recoverable_mention_yet,"Exact-name, Asian/community-media, crisis-term, and national/regional searches completed; no sufficiently attributable in-window mention recovered yet.",,, ,,,partial,2026-09-23
D3-20,MN Zej Zog,searched_no_recoverable_mention_yet,"Exact-name, Hmong/community-media, crisis-term, and broader searches completed; no sufficiently attributable in-window mention recovered yet.",,, ,,,partial,2026-09-23
D3-01,Community Services Agency of Minnesota (COMSA-MN),searched_no_recoverable_mention_yet,"Exact-name, alias, local/community-media, and national/regional searches completed; no sufficiently attributable in-window mention recovered yet.",,, ,,,partial,2026-09-23
TC023,Missions Inc. Programs,first_party_or_directory_reference,"Organization/program references recovered during balanced search; no substantive independent in-window crisis-news uptake verified yet.",,, ,,,partial,2026-09-23
TC024,Sakan,first_party_or_directory_reference,"Organization/service references recovered during balanced search; no substantive independent in-window crisis-news uptake verified yet.",,, ,,,partial,2026-09-23
TC029,African Community Services,first_party_or_directory_reference,"Organization/refugee-community service references recovered; no substantive independent in-window crisis-news uptake verified in this pass.",,, ,,,partial,2026-09-23
