org_id,organization,screening_decision,verified_label_count,candidate_label_count,verified_labels,candidate_labels,typology_review_status
TC001,Caring Friends Network,probably_eligible,1,0,education_workforce,,verified_labels_present
TC002,Cedar Riverside Adult Education Collaborative,probably_eligible,3,0,community_rooted;education_workforce;immigrant_integration,,verified_labels_present
TC003,Centro Tyrone Guzman,eligible,4,0,community_rooted;direct_service;ethnocultural;immigrant_integration,,verified_labels_present
TC004,East African Integration Center,probably_eligible,4,0,community_rooted;direct_service;ethnocultural;health_wellbeing,,verified_labels_present
TC005,International Education Center,eligible,3,0,direct_service;education_workforce;immigrant_integration,,verified_labels_present
TC006,Ka Joog,probably_eligible,5,0,community_rooted;direct_service;education_workforce;ethnocultural;youth_family,,verified_labels_present
TC007,Keystone Community Services,probably_eligible,1,0,direct_service,,verified_labels_present
TC008,Literacy Minnesota,probably_eligible,2,0,education_workforce;immigrant_integration,,verified_labels_present
TC009,Minnesota Somali Community Center,eligible,8,0,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;health_wellbeing;housing_economic;youth_family,,verified_labels_present
TC010,Minnesota Africans United,eligible,3,0,coalition_network;community_rooted;ethnocultural,,verified_labels_present
TC011,MORE,eligible,4,0,community_rooted;direct_service;education_workforce;immigrant_integration,,verified_labels_present
TC012,MTA Center - Mothers Tutoring Academy,probably_eligible,2,0,education_workforce;youth_family,,verified_labels_present
TC013,Sierra Leone Community in Minnesota,eligible,3,0,coalition_network;community_rooted;ethnocultural,,verified_labels_present
TC014,Somali American Parent Association (SAPA),eligible,6,0,community_rooted;direct_service;education_workforce;ethnocultural;legal;youth_family,,verified_labels_present
TC017,Casa Guadalupana,eligible,4,0,direct_service;faith_based;housing_economic;immigrant_integration,,verified_labels_present
TC019,Esperanza United,probably_eligible,8,0,advocacy;community_rooted;direct_service;ethnocultural;gender_based;health_wellbeing;organizing;youth_family,,verified_labels_present
TC021,IAFR Jonathan House,eligible,4,0,direct_service;faith_based;housing_economic;immigrant_integration,,verified_labels_present
TC022,Lutheran Social Service of Minnesota - Refugee Services,eligible,6,0,direct_service;education_workforce;faith_based;immigrant_integration;legal;refugee_resettlement,,verified_labels_present
TC023,Missions Inc. Programs,probably_eligible,3,0,direct_service;gender_based;immigrant_integration,,verified_labels_present
TC024,Sakan,eligible,4,0,advocacy;community_rooted;housing_economic;immigrant_integration,,verified_labels_present
TC027,ZACAH,eligible,4,0,direct_service;faith_based;housing_economic;immigrant_integration,,verified_labels_present
TC028,African Career Education and Resources Inc. (ACER),eligible,6,0,advocacy;community_rooted;ethnocultural;health_wellbeing;housing_economic;organizing,,verified_labels_present
