item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC038-EVT-001,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-01,website,https://clues.org/event-calendar/list/?eventDisplay=past,event,"Día de los Muertos","CLUES calendar lists a Día de los Muertos community event on Nov. 1, 2025.",English;Spanish,text_image,,uncoded,2026-09-21,retrieved_from_archive_index,"Official CLUES historical event calendar exposes exact date and title.","Full-census website item; calendar listing URL retained where canonical event URL was not resolved in this pass."
TC038-EVT-002,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-06,website,https://clues.org/event-calendar/list/?eventDisplay=past,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved_from_archive_index,"Official CLUES historical calendar; Nov. 6, 2025.","Full-census website item."
TC038-EVT-003,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-13,website,https://clues.org/event-calendar/list/?eventDisplay=past,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved_from_archive_index,"Official CLUES historical calendar; Nov. 13, 2025.","Full-census website item."
TC038-EVT-004,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-17,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Nov. 17, 2025.","Full-census website item."
TC038-EVT-005,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-22,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Educational Workshop for Home Buyers","Spanish-language Home Stretch workshop helping participants understand homeownership and prepare to buy a home.",Spanish,text_image,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Nov. 22, 2025.","Full-census website item."
TC038-EVT-006,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-26,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Nov. 26, 2025.","Full-census website item."
TC038-EVT-007,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-12-03,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Dec. 3, 2025.","Full-census website item."
TC038-EVT-008,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-12-10,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Dec. 10, 2025.","Full-census website item."
TC038-EVT-009,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-12-17,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Dec. 17, 2025.","Full-census website item."
TC038-EVT-010,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-12-24,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Dec. 24, 2025.","Full-census website item."
TC038-EVT-011,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-12-31,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Dec. 31, 2025.","Full-census website item."
