org_id,organization,corpus_presence,analysis_scope,legacy_role_seed_primary,legacy_role_seed_secondary,typology_status,typology_confidence,notes
TC054,Alight,verified_corpus,include,service,advocacy,provisional_needs_org_level_verification,low,"Seeded from existing item-level role coding; verify against official mission/program evidence."
TC073,Center for Victims of Torture,verified_corpus,include,service,advocacy,provisional_needs_org_level_verification,low,"Do not infer organizational role from crisis items alone."
TC041,International Institute of Minnesota,verified_corpus,include,service,education,provisional_needs_org_level_verification,low,"Likely multi-role service/education/resettlement institution; official evidence required."
TC064,The Advocates for Human Rights,verified_corpus,include,advocacy,legal,provisional_needs_org_level_verification,low,"Rights/legal role requires organization-level verification."
TC057,Immigrant Law Center of Minnesota,verified_corpus,include,legal,advocacy,provisional_needs_org_level_verification,low,"Legal services and advocacy dimensions should be scored separately."
TC074,COPAL,verified_corpus,include,advocacy,ethnocultural,provisional_needs_org_level_verification,low,"Likely community-rooted advocacy hybrid; verify constituency/governance evidence."
TC075,Unidos MN,verified_corpus,include,advocacy,ethnocultural,provisional_needs_org_level_verification,low,"Navigate MN alias and Monarca program must remain merged at organization level."
TC028,African Career Education and Resources Inc. (ACER),verified_corpus,include,service,advocacy,provisional_needs_org_level_verification,low,"Potential community/service/advocacy hybrid."
D2-01,ACLU of Minnesota,verified_corpus,include,advocacy,legal,provisional_needs_org_level_verification,low,"Classify from official institutional mission rather than immigration-specific posts."
TC042,Isuroon,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Community rootedness likely important; verify governance/constituency evidence."
TC058,Mid-Minnesota Legal Aid,verified_corpus,include,legal,service,provisional_needs_org_level_verification,low,"Legal/direct-service dimensions should remain distinct."
TC038,Comunidades Latinas Unidas En Servicio (CLUES),verified_corpus,include,service,ethnocultural,provisional_needs_org_level_verification,low,"Likely strong community-service hybrid; advocacy dimension to verify separately."
TC047,Oromo Community of Minnesota,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Community-constituted status requires mission/governance evidence."
D2-10,Immigrant Defense Network,verified_corpus,include,coalition_network,advocacy,provisional_needs_org_level_verification,low,"Institutional form and direct-service intensity need verification."
TC076,Minnesota Interfaith Coalition on Immigration,verified_corpus,include,faith,advocacy,provisional_needs_org_level_verification,low,"Faith coalition and advocacy dimensions should both be retained."
TC077,ISAIAH,verified_corpus,include,advocacy,faith,provisional_needs_org_level_verification,low,"General organization with immigrant-relevant work; constituency scope requires careful coding."
TC055,CAPI USA,verified_corpus,include,service,ethnocultural,provisional_needs_org_level_verification,low,"Likely multiethnic immigrant/refugee service institution; verify community rootedness."
TC056,Karen Organization of Minnesota,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Likely community-constituted and direct-service hybrid."
TC044,Minnesota Council of Churches - Refugee Services,verified_corpus,include,service,faith,provisional_needs_org_level_verification,low,"Program-within-parent versus organization-level unit requires consistency."
TC035,Arrive Ministries,verified_corpus,include,faith,service,provisional_needs_org_level_verification,low,"Faith/service hybrid likely; verify advocacy orientation separately."
D2-03,Ayada Leads,verified_corpus,include,advocacy,ethnocultural,provisional_needs_org_level_verification,low,"Verify whether civic leadership/advocacy or community development is dominant."
