candidate_id,organization,platform,date_or_period,verification_tier,dominant_appraisals,dominant_emotions,communication_functions,action_orientation,coding_confidence,coding_note
TC041-LIC-001,International Institute of Minnesota,LinkedIn,2025-12,unresolved_social_trace,"threat;injustice;vulnerability","solidarity;care;moral concern","inform;advocate;build_solidarity;moral_evaluation",general,medium,"Trace says Institute condemned dehumanizing rhetoric toward Somali community and referenced targeted enforcement."
TC041-LIC-002,International Institute of Minnesota,LinkedIn,2025-12_to_2026-01,unresolved_social_trace,"care_need;collective_efficacy","solidarity;care;gratitude;hope","build_solidarity;mobilize;provide_service;increase_efficacy",specific,medium,"Trace describes thanks for solidarity and three ways to support clients/students/families."
TC041-LIC-003,International Institute of Minnesota,LinkedIn,2026-01-02,unresolved_social_trace,"opportunity_hope;collective_efficacy","pride;hope;gratitude;solidarity","inform;celebrate;build_solidarity",none,high,"Exact-dated indexed organization text celebrates Mayor Kaohly Her's refugee background and historic election; canonical company-post URL unresolved."
TC041-LIC-004,International Institute of Minnesota,LinkedIn,2025-12,unresolved_social_trace,"uncertainty;care_need","care;anxiety;solidarity","inform;build_solidarity;generate_empathy",none,medium,"Trace acknowledges challenges and families living in uncertainty."
TC075-LIC-001,Unidos MN,LinkedIn,2026-01-08,unresolved_social_trace,"harm_loss;injustice;responsibility_blame","grief;moral_outrage;solidarity;urgency","inform;advocate;mobilize;moral_evaluation;mourn_commemorate",general,medium,"Trace attributes grief/justice demand to organization after Renee Nicole Good killing."
TC075-LIC-002,Unidos MN,LinkedIn,2025-12-06,unresolved_social_trace,"collective_efficacy;opportunity_hope","solidarity;pride;hope","inform;mobilize;build_solidarity;increase_efficacy",specific,medium,"General Assembly trace describes hundreds shaping unified safety/freedom agenda."
TC075-LIC-003,Unidos MN,LinkedIn,2026-01-23,unresolved_social_trace,"threat;harm_loss;injustice;collective_efficacy","grief;solidarity;defiance;urgency;moral_outage","inform;mobilize;advocate;build_solidarity;moral_evaluation",specific,high,"Indexed organization-authored text calls for statewide action, work/school/shopping pause, march and rally."
TC075-WEBC-001,Unidos MN,website,2026-02-24,official_navigation_candidate,"coping_efficacy;care_need","hope;reassurance","inform;provide_service;increase_efficacy",specific,low,"Official navigation verifies event/date/URL but page content unavailable; coding limited to known Sustainable Home Program series context."
TC075-WEBC-002,Unidos MN,website,2026-03-10,official_navigation_candidate,"coping_efficacy;care_need","hope;reassurance","inform;provide_service;increase_efficacy",specific,low,"Official navigation verifies event/date/URL but page content unavailable; coding limited to known Sustainable Home Program series context."
TC007-WEB-U001,Keystone Community Services,website,2025-11_to_2026-01,window_confirmed_partial_date,"care_need;coping_efficacy","not_assessable","inform;provide_service;increase_efficacy",varied,low,"Official multi-month newsletter; summary confirms programming/resources but not enough item-level text for affect coding."
TC007-WEB-U002,Keystone Community Services,website,2026-02_to_2026-04,window_confirmed_partial_date,"care_need;coping_efficacy","not_assessable","inform;provide_service;increase_efficacy",varied,low,"Official multi-month newsletter overlapping Feb-Mar; affect not inferred from generic issue summary."
TC065-WEB-U001,Volunteer Lawyers Network,website,2025-11,window_confirmed_partial_date,"coping_efficacy","not_assessable","inform;increase_efficacy",general,low,"Month-only Tip of the Month: Minnesota Disaster Attorney Toolkit."
TC065-WEB-U002,Volunteer Lawyers Network,website,2025-12,window_confirmed_partial_date,"care_need;coping_efficacy","care;reassurance","inform;increase_efficacy",general,low,"Month-only title Winter Holiday Stress; emotion coding intentionally minimal without full text."
TC065-WEB-U003,Volunteer Lawyers Network,website,2026-01,window_confirmed_partial_date,"opportunity_hope;collective_efficacy","gratitude;pride;hope","inform;mobilize;celebrate",general,low,"Month-only title Golden Years: the Rewards of Volunteering."
TC065-WEB-U004,Volunteer Lawyers Network,website,2026-03,window_confirmed_partial_date,"coping_efficacy;care_need","care;reassurance","inform;provide_service;increase_efficacy",general,low,"Month-only title Non-Legal Referral Resources for Clients."
TC008-WEB-U001,Literacy Minnesota,website,2026-03,window_confirmed_partial_date,"coping_efficacy;opportunity_hope","hope","inform;provide_service;increase_efficacy",general,medium,"Tutor tip on inquiry-based learning and learner curiosity."
TC008-WEB-U002,Literacy Minnesota,website,2026-03,window_confirmed_partial_date,"coping_efficacy;opportunity_hope","hope","inform;provide_service;increase_efficacy",general,medium,"Tutor tip on learner-produced texts and student-centered teaching."
TC008-WEB-U003,Literacy Minnesota,website,2026-02,window_confirmed_partial_date,"coping_efficacy","not_assessable","inform;provide_service;increase_efficacy",general,low,"Technology resource for adult learners/educators; affect not inferred."
TC057-LI-U001,Immigrant Law Center of Minnesota,LinkedIn,2026-01-22,indexed_social_candidate,"threat;injustice;collective_efficacy","solidarity;defiance;urgency","inform;mobilize;advocate;build_solidarity",specific,medium,"Indexed organization-authored text supports ICE Out of Minnesota action; canonical LinkedIn URL unresolved."
D2-01-LI-U001,ACLU of Minnesota,LinkedIn,2026-01-15,indexed_social_candidate,"threat;injustice;norm_violation;vulnerability","moral_outrage;defiance;solidarity","inform;advocate;moral_evaluation;document_testify",none,high,"Organization-authored LinkedIn text is visible through partner embed/repost and matches first-party lawsuit release; canonical ACLU-MN post URL unresolved."
SRC001,COPAL,Instagram,2026-02-27,secondary_verified_candidate,"not_assessable","not_assessable","not_assessable",not_assessable,none,"Exact date/URL known but primary content unavailable; no substantive coding."
SRC002,COPAL,Facebook,2026-03-23,secondary_verified_candidate,"threat;collective_efficacy","solidarity;defiance;urgency","mobilize;advocate;build_solidarity",specific,low,"Direct URL slug/secondary citation indicate 'families are under attack' and march mobilization; kept low-confidence until primary content is retrievable."
