relation_id,news_item_id,org_id,outlet_id,media_layer,visibility_type,headline_presence,lead_presence,direct_quote,quote_count,paraphrased,spokesperson_named,spokesperson_name,spokesperson_title,source_prominence,source_function_primary,source_function_secondary,substantive_interpretation,resource_routing,mobilization_uptake,fundraising_uptake,service_uptake,legal_information_uptake,safety_guidance_uptake,testimonial_uptake,org_affect_terms,journalist_affect_terms,dominant_affect,frame_transformation,local_to_national_amplification,amplification_path_id,matched_org_item_id,match_confidence,evidence_fragment,verification_status,coder_notes
C0001,STY-0AAA8BA982A0,D2-08,,unmapped,named_mention,,,0,,0,0,,,supporting,community_mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_22_foxnews_national.csv; source_news_item_id=NM098; Fox News Digital identifies Defend the 612 as supporting an ICE-watch database and dispatching rapid responders. Preserve outlet framing separately from the organization's own framing during later qualitative analysis.
C0002,STY-0D89C6A76DB4,TC003,,unmapped,direct_quote,,,1,,0,1,Xavier Vázquez,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified_external,"source_batch=news_media_uptake_batch_18_centro_univision.csv; source_news_item_id=NM089; National Spanish-language interview with Centro executive director Xavier Vázquez about conditions in Minnesota during ICE-related protests. Vázquez distinguishes community protest from outside actors he says were involved in violent activity, giving Centro interpretive visibility beyond Minnesota media."
C0003,STY-1D051FC7269E,D2-08,,unmapped,named_mention,,,0,,0,0,,,supporting,community_mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_22_foxnews_national.csv; source_news_item_id=NM099; Fox News Digital describes Defend the 612 as central to local ICE-watch activity and notes its use of encrypted messaging to coordinate monitoring of federal enforcement. Store as a distinct national amplification item while treating evaluative labels as outlet framing, not dataset characterization."
C0004,STY-1D05A5934381,D2-08,NEWS027,national_amplification,direct_quote,,,1,,0,1,Andrew Fahlstrom,,supporting,community_mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_24_cnn_ap_expansion.csv; source_news_item_id=NM107; AP national-wire feature directly quotes Andrew Fahlstrom, described as helping run Defend the 612, and situates the group within Minneapolis volunteer ICE-watch networks. Syndicated versions should be deduplicated to the AP origin."
C0005,STY-24E8CDD22847,TC074,,unmapped,direct_quote,,,1,,0,1,Ryan Pérez,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_17_national_external_additions.csv; source_news_item_id=NM090; The Guardian quotes COPAL organizing director Ryan Pérez saying the enforcement presence affects every aspect of daily life. Distinct external/national-international amplification case.
C0006,STY-2E15B78576EC,D2-05,,unmapped,named_mention,,,0,,0,0,,,supporting,advocacy_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,candidate,source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM102; Search results identify CAIR-Minnesota in coverage of Brooklyn Park's support for immigrant communities. Keep as candidate until outlet and canonical article metadata are fully verified.
C0007,STY-47E944973E50,D2-10,,unmapped,named_mention,,,0,,0,0,,,supporting,community_mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM100; Guardian feature identifies Immigrant Defense Network as one of the groups organizing since the administration returned to office and providing training on documenting ICE and knowing rights.
C0008,STY-47E944973E50,TC074,,unmapped,direct_quote,,,1,,0,0,,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM103; Guardian reproduces a COPAL post-action statement emphasizing fear, unity and participation after the Jan. 23 action. Strong case for later message-transformation analysis."
C0009,STY-47E944973E50,TC077,,unmapped,named_mention,,,0,,0,0,,,supporting,faith_advocacy_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM102; Guardian credits ISAIAH, alongside labor groups, with helping carry out the Jan. 23 economic blackout and large rally."
C0010,STY-47E944973E50,TC084,,unmapped,named_mention,,,0,,0,0,,,supporting,community_mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM101; Same Guardian feature identifies MIRAC alongside Immigrant Defense Network as organizing trainings on documenting ICE and knowing rights. Store as a separate organization-story relation while deduplicating at story level.
