record_id,organization_name,origin,consolidation_status,merge_into,record_type,screening_priority,consolidation_notes
TC001,Caring Friends Network,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC002,Cedar Riverside Adult Education Collaborative,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC003,Centro Tyrone Guzman,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC004,East African Integration Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC005,International Education Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC006,Ka Joog,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC007,Keystone Community Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC008,Literacy Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC009,Minnesota Somali Community Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC010,Minnesota Africans United,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC011,MORE,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC012,MTA Center - Mothers Tutoring Academy,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC013,Sierra Leone Community in Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC014,Somali American Parent Association (SAPA),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC015,Aeon,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC016,Bridging,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC017,Casa Guadalupana,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC018,East African Housing Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC019,Esperanza United,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC020,Greater Metropolitan Housing Corporation,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC021,IAFR Jonathan House,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC022,Lutheran Social Service of Minnesota - Refugee Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC023,Missions Inc. Programs,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC024,Sakan,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC025,Twin Cities Habitat for Humanity,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC026,Volunteers of America Minnesota and Wisconsin,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC027,ZACAH,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC028,African Career Education and Resources Inc. (ACER),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC029,African Community Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC030,African Development Center of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC031,African Economic Development Solutions (AEDS),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC032,AFDN,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC033,African Immigrants Community Services (AICS),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC034,Al-Maa'uun,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC035,Arrive Ministries,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC036,Catholic Charities Twin Cities,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC037,CommonBond Communities,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC038,Comunidades Latinas Unidas En Servicio (CLUES),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC039,Darul Uloom Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC040,Igbo Women League of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC041,International Institute of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC042,Isuroon,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC043,Minnesota African Women's Association,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC044,Minnesota Council of Churches - Refugee Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC045,Neighborhood House,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
