date,event_type,event_label,event_phase,source_name,source_url,analysis_note
2025-12-01,enforcement_operation,"Operation Metro Surge begins / launch period",escalation,Reuters,https://www.reuters.com/legal/government/timeline-trumps-minnesota-immigration-crackdown-2026-02-12/,"Reuters timeline dates launch to Dec. 1; other sources date formal DHS announcement a few days later. Use Dec. 1 as phase boundary and retain source discrepancy in methods."
2026-01-06,enforcement_expansion,"Federal enforcement deployment expands sharply in Twin Cities",escalation,Background on Operation Metro Surge and ICE Activity in MN,https://storymaps.arcgis.com/stories/9f7a14bfc2e64b4c8878a50f7648c1f3,"External marker only; do not infer emotional effect."
2026-01-07,fatal_shooting,"Renee Good killed by ICE agent in Minneapolis",peak,Minnesota Reformer,https://minnesotareformer.com/2026/01/21/renee-good-shot-in-left-temple-per-independent-autopsy/,"External event marker for temporal analysis."
2026-01-10,public_demonstration,"Large Minneapolis march/protest following Jan. 7 shooting",peak,Minnesota Reformer,https://minnesotareformer.com/2026/01/12/ice-intensifies-twin-cities-operation-after-killing-of-renee-good-protests/,"Use as public-response marker; attendance estimates vary by source."
2026-01-14,nonfatal_shooting,"Federal immigration officer shoots and wounds man in Minneapolis",peak,Associated Press,https://apnews.com/article/e07bf436eac361700d07a79a0fa800ff,"External event marker; later legal allegations should not be projected backward into contemporaneous coding."
2026-01-23,general_strike_demonstration,"ICE Out general strike and mass demonstration in Minneapolis",peak,Reuters,https://www.reuters.com/legal/government/timeline-trumps-minnesota-immigration-crackdown-2026-02-12/,"Use as collective-action marker; exact crowd estimates vary."
2026-01-24,fatal_shooting,"Alex Pretti killed by federal agents in Minneapolis",peak,Minnesota Reformer,https://minnesotareformer.com/2026/02/20/a-chronology-of-operation-metro-surge/,"External event marker for temporal analysis."
2026-01-26,operation_leadership_change,"Federal operation leadership changes",sustained_response,PBS NewsHour,https://www.pbs.org/newshour/nation/a-timeline-of-trumps-immigration-crackdown-in-minnesota,"Marks transition from January peak-events period into sustained response."
2026-02-12,operation_end_announcement,"Federal officials announce end/drawdown of Operation Metro Surge",decline_normalization,Reuters,https://www.reuters.com/legal/government/timeline-trumps-minnesota-immigration-crackdown-2026-02-12/,"Use as boundary into decline/normalization phase; enforcement presence did not immediately fall to zero."
2026-03-27,residual_enforcement,"Reports indicate federal agents still remain in Minnesota",decline_normalization,Meet Minneapolis,https://www.minneapolis.org/safety-updates/federal-immigration-enforcement/,"Shows that post-Feb. 12 period should not be coded as complete absence of enforcement."
