org_id,organization,audit_status,verified_relation_count_min,search_notes,last_audited
TC010,Minnesota Africans United,searched_no_verified_substantive_coverage_yet,0,"Dedicated Sahan, Minnesota Spokesman-Recorder and broader searches completed. A Dec. 4, 2025 Spokesman-Recorder story lists Minnesota Africans United among event vendors, but this is a passing event mention rather than substantive organizational uptake under the news protocol.",2026-09-23
TC030,African Development Center of Minnesota,searched_no_verified_substantive_coverage_yet,0,"Dedicated Sahan, Minnesota Spokesman-Recorder and broader searches completed. ADC appears in an external institutional economic-response fund document during the crisis, but no sufficiently substantive independent news uptake was verified in-window in this pass.",2026-09-23
TC031,African Economic Development Solutions (AEDS),searched_no_verified_local_crisis_coverage_yet,0,"Dedicated Sahan, Minnesota Spokesman-Recorder and broader searches completed. Historical coverage is substantial and a Jan. 14, 2026 national political/investigative article mentions AEDS, but no sufficiently relevant local independent crisis-news uptake was verified for the primary corpus in this pass.",2026-09-23
TC033,African Immigrants Community Services (AICS),searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed. Current organization and Minnesota resource pages confirm active refugee/immigrant services in Somali, Amharic, Arabic and English, but no verified independent in-window news uptake was located.",2026-09-23
TC043,Minnesota African Women's Association,searched_no_verified_coverage_yet,0,"Dedicated Sahan, Minnesota Spokesman-Recorder and broader searches completed. Organization mission and services are readily documented, but no verified independent local-news uptake within the fixed study window was located in this pass.",2026-09-23
D4-01,Ethiopian Community in Minnesota,searched_no_verified_coverage_yet,0,"Dedicated Sahan and broader local-news searches completed. Current organization pages confirm referral, notary, housing and civic-engagement services, but no verified independent in-window news uptake was located.",2026-09-23
D3-05,India Association of Minnesota,searched_no_verified_news_coverage_yet_first_party_crisis_activity_present,0,"Dedicated local-news searches completed. IAM itself created multilingual Know Your Rights/community-safety materials and held a Jan. 28 immigration-rights session during the study window; no verified independent news uptake of IAM was located in this pass.",2026-09-23
D3-11,Association of Nepalis in Minnesota,searched_no_verified_news_coverage_yet_first_party_crisis_activity_present,0,"Dedicated local/community-media searches completed. ANMN published Jan. 16 immigrant-support resources routing people to MIRAC and ICOM and Jan. 21 rights/safety programming with immigration attorneys; no verified independent in-window news uptake of ANMN was located.",2026-09-23
D3-12,Tibetan American Foundation of Minnesota,searched_no_verified_coverage_yet,0,"Dedicated local-news searches completed. In-window organizational activity is visible, but the immigration-assistance program prominently indexed on the site is dated July 2026, outside the study window; no verified independent in-window news uptake was located.",2026-09-23
D3-06,Fil-Minnesotan Association,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; historical/community references located, but no verified independent local-news uptake within the study window was found.",2026-09-23
D3-07,Cultural Society of Filipino Americans,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no verified independent local-news uptake within the study window was found.",2026-09-23
D3-08,Chinese American Association of Minnesota,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no verified independent local-news uptake within the study window was found.",2026-09-23
D3-10,Korean Association of Minnesota,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no verified independent local-news uptake within the study window was found.",2026-09-23
D3-13,Vietnamese Community of Minnesota,searched_no_verified_coverage_yet,0,"Dedicated local/community-media searches completed; no verified independent local-news uptake within the study window was found.",2026-09-23
D3-19,Minnesota Hmong Chamber of Commerce,searched_no_verified_coverage_yet,0,"Dedicated Hmong/community-media and broader searches completed; no verified independent local-news uptake within the fixed study window was located in this pass.",2026-09-23
